Country,Region
Afghanistan,South Asia
Albania,Europe and Central Asia
Algeria,Middle East and North Africa
American Samoa,East Asia and Pacific
Andorra,Europe and Central Asia
Angola,Sub-Saharan Africa
Antigua and Barbuda,Latin America and Caribbean
Argentina,Latin America and Caribbean
Armenia,Europe and Central Asia
Aruba,Latin America and Caribbean
Australia,East Asia and Pacific
Austria,Europe and Central Asia
Azerbaijan,Europe and Central Asia
Bahamas,Latin America and Caribbean
Bahrain,Middle East and North Africa
Bangladesh,South Asia
Barbados,Latin America and Caribbean
Belarus,Europe and Central Asia
Belgium,Europe and Central Asia
Belize,Latin America and Caribbean
Benin,Sub-Saharan Africa
Bermuda,North America
Bhutan,South Asia
Bolivia,Latin America and Caribbean
Bosnia and Herzegovina,Europe and Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America and Caribbean
British Virgin Islands,Latin America and Caribbean
Brunei,East Asia and Pacific
Bulgaria,Europe and Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cambodia,East Asia and Pacific
Cameroon,Sub-Saharan Africa
Canada,North America
Cape Verde,Sub-Saharan Africa
Cayman Islands,Latin America and Caribbean
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Channel Islands,Europe and Central Asia
Chile,Latin America and Caribbean
China,East Asia and Pacific
Colombia,Latin America and Caribbean
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Costa Rica,Latin America and Caribbean
Cote d'Ivoire,Sub-Saharan Africa
Croatia,Europe and Central Asia
Cuba,Latin America and Caribbean
Curacao,Latin America and Caribbean
Cyprus,Europe and Central Asia
Czechia,Europe and Central Asia
Democratic Republic of Congo,Sub-Saharan Africa
Denmark,Europe and Central Asia
Djibouti,Middle East and North Africa
Dominica,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
Ecuador,Latin America and Caribbean
Egypt,Middle East and North Africa
El Salvador,Latin America and Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe and Central Asia
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Faeroe Islands,Europe and Central Asia
Fiji,East Asia and Pacific
Finland,Europe and Central Asia
France,Europe and Central Asia
French Polynesia,East Asia and Pacific
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,Europe and Central Asia
Germany,Europe and Central Asia
Ghana,Sub-Saharan Africa
Gibraltar,Europe and Central Asia
Greece,Europe and Central Asia
Greenland,Europe and Central Asia
Grenada,Latin America and Caribbean
Guam,East Asia and Pacific
Guatemala,Latin America and Caribbean
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Honduras,Latin America and Caribbean
Hong Kong,East Asia and Pacific
Hungary,Europe and Central Asia
Iceland,Europe and Central Asia
India,South Asia
Indonesia,East Asia and Pacific
Iran,Middle East and North Africa
Iraq,Middle East and North Africa
Ireland,Europe and Central Asia
Isle of Man,Europe and Central Asia
Israel,Middle East and North Africa
Italy,Europe and Central Asia
Jamaica,Latin America and Caribbean
Japan,East Asia and Pacific
Jordan,Middle East and North Africa
Kazakhstan,Europe and Central Asia
Kenya,Sub-Saharan Africa
Kiribati,East Asia and Pacific
Kosovo,Europe and Central Asia
Kuwait,Middle East and North Africa
Kyrgyzstan,Europe and Central Asia
Laos,East Asia and Pacific
Latvia,Europe and Central Asia
Lebanon,Middle East and North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Middle East and North Africa
Liechtenstein,Europe and Central Asia
Lithuania,Europe and Central Asia
Luxembourg,Europe and Central Asia
Macao,East Asia and Pacific
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,East Asia and Pacific
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,Middle East and North Africa
Marshall Islands,East Asia and Pacific
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mexico,Latin America and Caribbean
Micronesia,East Asia and Pacific
Moldova,Europe and Central Asia
Monaco,Europe and Central Asia
Mongolia,East Asia and Pacific
Montenegro,Europe and Central Asia
Morocco,Middle East and North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia and Pacific
Namibia,Sub-Saharan Africa
Nauru,East Asia and Pacific
Nepal,South Asia
Netherlands,Europe and Central Asia
New Caledonia,East Asia and Pacific
New Zealand,East Asia and Pacific
Nicaragua,Latin America and Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
North Korea,East Asia and Pacific
North Macedonia,Europe and Central Asia
Northern Mariana Islands,East Asia and Pacific
Norway,Europe and Central Asia
Oman,Middle East and North Africa
Pakistan,South Asia
Palau,East Asia and Pacific
Palestine,Middle East and North Africa
Panama,Latin America and Caribbean
Papua New Guinea,East Asia and Pacific
Paraguay,Latin America and Caribbean
