Domain,Area,Element,Item,Year,Unit,Value
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.004207"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.017894"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.028466"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.025143"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2012","index","0.072139"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2013","index","0.085372"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2014","index","0.085156"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2015","index","0.093216"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2016","index","0.118906"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2017","index","0.163052"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2018","index","0.185376"
"Credit to Agriculture","Afghanistan","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2019","index","0.139898"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2007","index","0.077885"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2008","index","0.075619"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2009","index","0.074213"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2010","index","0.082369"
"Credit to Agriculture","Albania","Agriculture orientation index US$","Credit to Agriculture, Forestry and Fishing","2011","index","0.093304"
