Domain,Area,Element,Item,Year,Unit,Value
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2001","%","54.063"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2002","%","45.1344"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2003","%","41.9034"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2004","%","35.6128"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2005","%","35.1476"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2006","%","34.3934"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2007","%","35.266"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2008","%","30.9046"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2009","%","32.7856"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2010","%","30.9138"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2011","%","29.8295"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2012","%","28.5562"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2013","%","27.8781"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2014","%","27.4791"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2015","%","25.5322"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2016","%","26.4075"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2017","%","25.5747"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2018","%","22.4409"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2019","%","25.5185"
"SDG Indicators","Afghanistan","Value","2.a.1 Agriculture value added share of GDP (%)","2020","%","27.0135"
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2001","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2002","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2003","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2004","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2005","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2006","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2007","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2008","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2009","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2010","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2011","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2012","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2013","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2014","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2015","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2016","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2017","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2018","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2019","%",""
"SDG Indicators","?land Islands","Value","2.a.1 Agriculture value added share of GDP (%)","2020","%",""
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2001","%","22.7162"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2002","%","22.0252"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2003","%","21.9782"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2004","%","20.5375"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2005","%","18.8453"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2006","%","17.7084"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2007","%","17.1536"
"SDG Indicators","Albania","Value","2.a.1 Agriculture value added share of GDP (%)","2008","%","16.8371"
