Domain,Area,Indicator,Sex,Year,Source,Unit,Value
"Employment Indicators: Rural","Afghanistan","Employment by status of employment, total, rural areas","Total","2008","Household income and expenditure survey","1000 persons","6253.794"
"Employment Indicators: Rural","Afghanistan","Employment by status of employment, total, rural areas","Total","2014","Household income and expenditure survey","1000 persons","5500.374"
"Employment Indicators: Rural","Afghanistan","Employment by status of employment, total, rural areas","Total","2017","Household income and expenditure survey","1000 persons","4966.018"
"Employment Indicators: Rural","Afghanistan","Employment by status of employment, total, rural areas","Total","2020","Labour force survey","1000 persons","4426.408"
"Employment Indicators: Rural","Albania","Employment by status of employment, total, rural areas","Total","2012","Household income and expenditure survey","1000 persons","318.083"
"Employment Indicators: Rural","Angola","Employment by status of employment, total, rural areas","Total","2004","Household income and expenditure survey","1000 persons","1209.837"
"Employment Indicators: Rural","Angola","Employment by status of employment, total, rural areas","Total","2009","Household income and expenditure survey","1000 persons","2924.702"
"Employment Indicators: Rural","Angola","Employment by status of employment, total, rural areas","Total","2011","Household income and expenditure survey","1000 persons","3658.694"
"Employment Indicators: Rural","Angola","Employment by status of employment, total, rural areas","Total","2014","Population census","1000 persons","2383.062"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2008","Labour force survey","1000 persons","430.52"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","509.926"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2015","Labour force survey","1000 persons","513.392"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2016","Labour force survey","1000 persons","485.252"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2017","Labour force survey","1000 persons","481.011"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2018","Labour force survey","1000 persons","502.496"
"Employment Indicators: Rural","Armenia","Employment by status of employment, total, rural areas","Total","2019","Labour force survey","1000 persons","448.602"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","1995","Labour force survey","1000 persons","1463.075"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","1996","Labour force survey","1000 persons","1438.822"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","1997","Labour force survey","1000 persons","1445.746"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","1998","Labour force survey","1000 persons","1438.991"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","1999","Labour force survey","1000 persons","1438.899"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2000","Labour force survey","1000 persons","1455.619"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2001","Labour force survey","1000 persons","1458.83"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2002","Labour force survey","1000 persons","1450.996"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2003","Labour force survey","1000 persons","1489.69"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2004","Labour force survey","1000 persons","1490.766"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2005","Labour force survey","1000 persons","1524.64"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2006","Labour force survey","1000 persons","1545.797"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2007","Labour force survey","1000 persons","1574.681"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2008","Labour force survey","1000 persons","1604.015"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2009","Labour force survey","1000 persons","1593.198"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2010","Labour force survey","1000 persons","1603.641"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2011","Labour force survey","1000 persons","1603.994"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2012","Labour force survey","1000 persons","1736.561"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2013","Labour force survey","1000 persons","1739.764"
"Employment Indicators: Rural","Austria","Employment by status of employment, total, rural areas","Total","2014","Labour force survey","1000 persons","1758.729"
