Domain,Area,Indicator,Sex,Year,Source,Unit,Value
"Employment Indicators: Agriculture","Afghanistan","Share of employment in agriculture, forestry and fishing in total employment","Total","2008","Household income and expenditure survey","%","59.1"
"Employment Indicators: Agriculture","Afghanistan","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Household income and expenditure survey","%","38.6"
"Employment Indicators: Agriculture","Afghanistan","Share of employment in agriculture, forestry and fishing in total employment","Total","2020","Labour force survey","%","44.7"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","1994","Official estimates","%","67.199997"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","1995","Official estimates","%","68.400002"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","1996","Official estimates","%","70.300003"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","1997","Official estimates","%","69.599998"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","1998","Official estimates","%","70.800003"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Official estimates","%","72.099998"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Official estimates","%","71.800003"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Official estimates","%","72.199997"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Official estimates","%","57.700001"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Official estimates","%","58.099998"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Official estimates","%","58.5"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Official estimates","%","58.5"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2006","Official estimates","%","58"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2007","Labour force survey","%","36.600002"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Labour force survey","%","44"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","42.099998"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2012","Labour force survey","%","45.900002"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","42.1"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","40"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2018","Labour force survey","%","37.3"
"Employment Indicators: Agriculture","Albania","Share of employment in agriculture, forestry and fishing in total employment","Total","2019","Labour force survey","%","36.4"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Labour force survey","%","21.1"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Labour force survey","%","20.699999"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2011","Labour force survey","%","10.8"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2013","Labour force survey","%","10.6"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Labour force survey","%","8.8"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2015","Labour force survey","%","8.7"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2016","Labour force survey","%","8.3"
"Employment Indicators: Agriculture","Algeria","Share of employment in agriculture, forestry and fishing in total employment","Total","2017","Labour force survey","%","10.1"
"Employment Indicators: Agriculture","American Samoa","Share of employment in agriculture, forestry and fishing in total employment","Total","1990","Population census","%","2.2"
"Employment Indicators: Agriculture","American Samoa","Share of employment in agriculture, forestry and fishing in total employment","Total","2000","Population census","%","3"
"Employment Indicators: Agriculture","American Samoa","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Population census","%","3"
"Employment Indicators: Agriculture","Angola","Share of employment in agriculture, forestry and fishing in total employment","Total","1992","Labour force survey","%","5"
"Employment Indicators: Agriculture","Angola","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Household income and expenditure survey","%","36.2"
"Employment Indicators: Agriculture","Angola","Share of employment in agriculture, forestry and fishing in total employment","Total","2009","Household income and expenditure survey","%","46.5"
"Employment Indicators: Agriculture","Angola","Share of employment in agriculture, forestry and fishing in total employment","Total","2010","Labour force survey","%","48.3"
"Employment Indicators: Agriculture","Angola","Share of employment in agriculture, forestry and fishing in total employment","Total","2014","Population census","%","44.4"
"Employment Indicators: Agriculture","Anguilla","Share of employment in agriculture, forestry and fishing in total employment","Total","1999","Labour force survey","%","1.6"
"Employment Indicators: Agriculture","Anguilla","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Population census","%","3.6"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","1973","Official estimates","%","11.2"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","1974","Official estimates","%","11.4"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","1975","Official estimates","%","11.6"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","1976","Official estimates","%","11.5"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2001","Population census","%","2.7"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2002","Official estimates","%","2.9"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2003","Official estimates","%","2.9"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2004","Official estimates","%","2.8"
"Employment Indicators: Agriculture","Antigua and Barbuda","Share of employment in agriculture, forestry and fishing in total employment","Total","2005","Official estimates","%","2.7"
