Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.1399993896484,24.1399993896484,24.0300006866455,24.0799999237061,24.1900005340576,24.2399997711182,24.3299999237061,24.4599990844727,24.5900001525879,24.6800003051758,24.7199993133545,25.5900001525879,25.9500007629395,26.1200008392334,26.5300006866455,26.9300003051758,27.6599998474121,28.2299995422363,29.4799995422363,30.7700004577637,31.6900005340576,32.8300018310547,33.8499984741211,34.8199996948242,35.7599983215332,36.8699989318848,37.9900016784668,38.4099998474121,38.9599990844727,..,..
Albania,ALB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.5100002288818,30.4400005340576,30.75,31.1299991607666,31.6100006103516,32.3400001525879,32.310001373291,33.0400009155273,33.7999992370605,34.3699989318848,35.0200004577637,35.3800010681152,35.9199981689453,36.4300003051758,36.8499984741211,37.2200012207031,37.5,37.5699996948242,36.0099983215332,37.3199996948242,35.75,36.7299995422363,38.9199981689453,40,40.0499992370605,40.5800018310547,42.5400009155273,42.9700012207031,43.4300003051758,..,..
Algeria,DZA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.7299995422363,50.0099983215332,50.4199981689453,50.810001373291,51.0499992370605,51.3499984741211,51.7599983215332,52.0499992370605,52.4700012207031,52.7599983215332,53.2799987792969,53.4799995422363,53.5900001525879,54.2599983215332,54.7000007629395,55.4199981689453,55.9900016784668,56.7900009155273,57.4000015258789,57.9300003051758,58.3699989318848,58.4900016784668,58.4500007629395,58.560001373291,58.7000007629395,58.7799987792969,58.8499984741211,59.2200012207031,59.9900016784668,..,..
American Samoa,ASM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.2999992370605,51.3400001525879,51.1300010681152,51.3499984741211,51.9500007629395,52.560001373291,53,53.3400001525879,53.6399993896484,53.9300003051758,54.1199989318848,54.6599998474121,54.6199989318848,54.7400016784668,53.0499992370605,51.2099990844727,49.4700012207031,47.6300010681152,45.7400016784668,43.2700004577637,40.8199996948242,40.8400001525879,40.9599990844727,41.1300010681152,41.2799987792969,41.4599990844727,41.8199996948242,42.1100006103516,42.4700012207031,..,..
Antigua and Barbuda,ATG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.75,67.2399978637695,69.8300018310547,70.9499969482422,72.2900009155273,74.2300033569336,73.6500015258789,74.3399963378906,75.5800018310547,76.5500030517578,77.1500015258789,78.8000030517578,76.8099975585938,75.8099975585938,75.4599990844727,75.2799987792969,74.9499969482422,74.7799987792969,75.5800018310547,75.3899993896484,75.3899993896484,75.7300033569336,75.4400024414063,75.2900009155273,76.0800018310547,76.9899978637695,77.5,77.9899978637695,78.0999984741211,..,..
Armenia,ARM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39.3199996948242,39.2099990844727,39.2799987792969,39.439998626709,39.7799987792969,40.1300010681152,40.439998626709,40.8300018310547,41.2099990844727,41.5299987792969,42.0299987792969,42.4799995422363,42.9799995422363,43.3199996948242,43.5999984741211,44.0499992370605,44.5,44.0099983215332,43.4700012207031,43.9900016784668,44.3899993896484,45.0699996948242,46.7200012207031,48.4500007629395,48.7599983215332,50.6199989318848,51.9500007629395,51.4300003051758,51.2000007629395,..,..
Aruba,ABW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
