Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.1420001983643,13.1199998855591,13.1129999160767,13.0950002670288,13.0550003051758,12.9670000076294,12.8889999389648,12.8159999847412,12.7749996185303,12.746000289917,12.8680000305176,12.9440002441406,13.1219997406006,13.3009996414185,13.4069995880127,13.2629995346069,13.0729999542236,12.9890003204346,12.8990001678467,12.9219999313354,13.2690000534058,13.5839996337891,14.4010000228882,15.2370004653931,16.1040000915527,17.0090007781982,17.9500007629395,18.2530002593994,18.5330009460449,13.4589996337891,12.0129995346069
Albania,ALB,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.1059989929199,40.5349998474121,42.0540008544922,43.6310005187988,45.1510009765625,44.9770011901855,44.3310012817383,41.4420013427734,40.1590003967285,40.5559997558594,39.7820014953613,39.8419990539551,39.8009986877441,39.6689987182617,39.3370018005371,39.0299987792969,38.4220008850098,39.1689987182617,38.6380004882813,39.306999206543,45.2350006103516,43.1769981384277,37.7750015258789,36.9739990234375,38.8720016479492,42.4889984130859,43.3219985961914,45.1119995117188,46.7540016174316,43.2299995422363,44.6800003051758
Algeria,DZA,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.21100044250488,8.85000038146973,8.67599964141846,8.52400016784668,8.06700038909912,8.45300006866455,8.83199977874756,8.8149995803833,8.75699996948242,8.71500015258789,9.06599998474121,9.27999973297119,9.60599994659424,10.673999786377,10.9460000991821,11.3599996566772,10.9919996261597,11.3330001831055,11.4180002212524,11.4720001220703,11.9090003967285,13.1309995651245,13.8990001678467,13.1859998703003,13.6000003814697,13.8540000915527,13.7220001220703,13.6009998321533,13.5069999694824,12.1319999694824,12.2119998931885
American Samoa,ASM,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.6620025634766,72.6679992675781,72.6729965209961,72.7470016479492,72.8209991455078,72.8470001220703,72.8830032348633,72.9369964599609,73.0019989013672,73.0790023803711,73.1190032958984,73.1800003051758,73.2259979248047,73.2939987182617,73.3550033569336,73.3730010986328,73.4029998779297,73.4300003051758,73.4550018310547,67.3450012207031,69.068000793457,69.0609970092773,69.0400009155273,69.0390014648438,69.0390014648438,69.036003112793,69.0619964599609,69.0869979858398,69.1340026855469,67.1589965820313,67.2279968261719
Antigua and Barbuda,ATG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.6689987182617,44.3009986877441,42.6129989624023,42.6839981079102,38.1110000610352,40.2200012207031,42,44.2770004272461,43.0880012512207,42.2569999694824,41.0830001831055,38.5639991760254,40.2350006103516,42.2239990234375,42.5960006713867,43.7309989929199,43.9459991455078,43.5530014038086,44.1399993896484,43.476001739502,44.0419998168945,43.9799995422363,43.7680015563965,43.6139984130859,43.568000793457,43.3499984741211,43.3120002746582,44.117000579834,44.8009986877441,40.8699989318848,43.3699989318848
Armenia,ARM,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.9049987792969,43.8209991455078,41.5950012207031,41.1360015869141,40.4420013427734,38.3849983215332,37.3919982910156,38.976001739502,38.2770004272461,38.5849990844727,38.8650016784668,39.1419982910156,39.4459991455078,39.7890014648438,40.0810012817383,40.4099998474121,40.7360000610352,38.1049995422363,36.5820007324219,36.9410018920898,39.7430000305176,40.7770004272461,41.0979995727539,39.8950004577637,39.3860015869141,38.806999206543,38.7000007629395,34.3139991760254,36.1230010986328,32.6110000610352,33.148998260498
Aruba,ABW,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.1969985961914,46.7560005187988,46.5089988708496,47.648998260498,49.2309989929199,49.3320007324219,49.2229995727539,49.6679992675781,50.0139999389648,51.1679992675781,51.4580001831055,51.7879981994629,52.5299987792969,52.5660018920898,53.9560012817383,54.6510009765625,55.25,55.8339996337891,55.5359992980957,55.4140014648438,55.6959991455078,55.5989990234375,55.3569984436035,54.9959983825684,55.4930000305176,55.8769989013672,56.4220008850098,57.2389984130859,57.8209991455078,56.3499984741211,58.1240005493164
