Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.4899988174439,98.4999990463256,98.5400018692017,98.6000032424927,98.5999975204467,98.6199998855591,98.6399984359741,98.6600036621094,98.6799974441529,98.7200021743775,98.7600030899048,98.6699991226197,98.5999975204468,98.5499982833862,98.4800033569336,98.4099998474121,98.3099985122681,98.2399997711182,97.8699998855591,97.4099988937378,96.9300012588501,96.2699975967407,95.4399967193603,94.4999980926514,93.4000034332275,92.0400009155273,90.2600002288819,89.9200038909912,89.4700012207031,..,..
Albania,ALB,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.9100017547607,61.1399993896484,60.7799997329712,60.3600006103516,59.2999992370606,58.850001335144,62.8500003814698,62.3199987411499,60.8800010681152,60.1900005340577,58.829999923706,58.7999992370605,58.3400001525879,57.9899978637695,58.4899978637695,57.4799995422364,57.1199989318848,66.6400012969971,64.8899993896484,62.5999984741211,64.1299991607666,67.0399990081787,61.8599987030029,58.1900005340577,56.3400001525879,55.4600009918213,53.6399993896484,51.7000007629394,51.0500011444092,..,..
Algeria,DZA,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.2900009155273,38.3600006103516,38.3600006103516,38.3400001525879,38.3600001335144,38.3300004005432,38.2100009918213,38.0999989509583,37.6000003814698,36.9400005340577,36.4399995803833,34.1900005340577,32.0699996948243,30.7600002288819,29.5199990272522,28.4199995994568,27.4299993515015,26.5,25.7400004863739,24.9000005722046,24.1599996089935,24.3000004291535,24.4199998378754,24.1099996566772,23.8899993896484,23.6199998855591,23.3600006103515,23.4000005722046,23.4599995613098,..,..
American Samoa,ASM,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.3899965286255,80.5700035095215,80.3500022888183,78.7499966621399,78.8299980163574,78.460000038147,78.6699967384338,78.7300028800964,76.529999256134,76.010003566742,76.1900029182434,76.2999973297119,76.2699995040893,75.0500016212464,74.9400010108947,75.7999968528748,76.1100034713745,76.9100031852722,80.4000005722046,80.3700008392334,81.0300016403198,81.3299970626831,82.3699998855591,83.0900020599366,83.7400007247924,83.799997329712,84.1200017929077,84.3499994277954,84.6800031661987,..,..
Antigua and Barbuda,ATG,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.529999256134,25.0300002098083,25.5099995136261,25.4200005531311,22.7600002288819,23.2399997711182,22.5099997520447,22.0700006484985,21.6499991416931,20.6399995088577,21.4200000762939,19.990000128746,19.0400004386902,18.6599993705749,18.3100008964539,17.4399999380112,16.5400002002716,16.3599996566773,16.899999499321,16.460000038147,16.0799995660782,16.1000000238419,16.6800003647805,17.2200004458428,17.6899995207786,18.4299991130829,19.0000004768372,19.9600000977516,21.010000526905,..,..
Armenia,ARM,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.439998626709,45.1199989318848,46.539999961853,48.5300006866455,49.6999988555908,51,52.1000003814698,52.4899997711182,53.2799987792969,54.2799987792968,54.2999992370606,54.3299999237061,53.829999923706,52.9600009918213,52.1300010681153,50.810001373291,49.0799999237061,47.5,47.2699985504151,49.7099990844727,48.2899990081787,48.25,47.9900016784668,44.9900007247924,42.5499992370606,40.5600004196167,38.5899991989136,31.549998998642,29.2000000476837,..,..
Aruba,ABW,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.93999981880188,10.0499995946884,10.2900002002716,10.0000004768372,9.73999965190887,9.65999996662139,10.0700001716614,9.37999975681305,9.20000004768372,9.24999988079071,8.94999957084656,9.18000036478043,8.91999989748001,8.7599995136261,8.96000021696091,8.50000014901161,8.27000007033349,8.42999964952469,8.45999962091446,8.51999980211258,8.35999992489814,8.28000023961068,7.88000011444092,8.27000001072884,8.21999981999398,8.39000010490418,8.33999966084957,8.13999985158443,8.18999977409839,..,..
Austria,AUT,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.5300002098083,12.289999961853,12.0900001525879,11.6700000762939,11.4000000953674,11.5500001907349,10.4500002861023,10.0599999427795,10.1400003433228,9.42000007629395,9.31000018119812,9.08999991416931,8.54999995231628,7.61999976634979,8.13000023365021,7.9300000667572,8.82999968528747,8.48000025749207,8.54999995231629,8.58999991416931,8.23000001907349,8.13999986648559,8.27999997138977,8.09999990463257,7.92000007629395,7.50000011920929,7.20000016689301,6.90999984741211,6.92999994754791,..,..
Azerbaijan,AZE,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.1700010299682,52.1800003051758,51.9199991226196,53.770001411438,56.2200012207031,57.5499992370606,58.5900001525878,59.0400009155273,59.3900012969971,59.5399990081787,60.400001525879,60.8699989318847,61.0799980163574,61.1000003814697,61.8500003814698,62.3499984741211,61.7100009918213,61.9600009918213,61.8400020599365,62.2499980926514,60.6099987030029,62.5699977874756,62.1299991607666,62.8200016021729,64.0099983215332,62.0100021362305,62.1800022125244,63.2599983215332,62.2999992370605,..,..
"Bahamas, The",BHS,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.66000002622604,4.06999999284744,4.83999997377395,5.28000018000603,6.06999993324279,6.5900000333786,4.93999977409839,5.15999975800514,5.36000001430512,4.79999995231629,4.4099997729063,5.26000016927719,5.1099997907877,6.10000014305114,5.77000015974045,5.45000016689301,5.24000006914139,5.00000002980233,4.13999992609024,4.1499999165535,4.19000008702278,4.04000002145768,4.09999996423721,4.05999997258186,4.10999992489814,4.0300000011921,4.06999996304512,4.21000003814697,4.21000003814697,..,..
