Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.0800018310547,89.269998550415,89.8799991607666,90.5400009155274,90.2700004577636,90.5799980163574,90.8699989318847,91.1299991607666,91.4400005340577,91.8799991607666,92.3999977111816,91.4600009918213,91.0399990081787,90.9600028991699,90.5099964141846,90.2499980926514,89.5799980163574,89.2599983215332,87.7600002288819,86.1599998474121,85.2299976348877,83.609998703003,82.2199974060058,81.0199975967408,79.9300012588501,78.7600011825561,77.1900005340576,76.9499959945678,76.6999969482422,..,..
Albania,ALB,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.8699979782104,62.9900007247925,63.229998588562,63.4200000762939,63.2799997329712,62.9899983406067,63.3799991607666,62.8200006484985,61.8399982452393,60.8899993896484,59.6699991226196,58.7900009155273,57.8199996948242,56.7699985504151,55.729998588562,54.3499994277954,53.2599992752076,52.4300003051758,50.7200012207031,49.8299989700318,55.579999923706,57.3299999237061,54.769998550415,54.3899993896484,56.5300006866455,56.2200012207031,54.4599990844727,52.5400009155274,51.3000011444091,..,..
Algeria,DZA,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.0900011062622,30.1700000762939,30.3900003433228,30.6099996566773,30.6499996185303,30.6300010681152,30.7100009918213,30.5299997329712,30.4200000762939,30.2600011825562,30.0599994659424,29.380000114441,28.5900001525879,28.3499994277954,28.1399993896484,28.3400011062622,28.5499999523163,28.940000295639,29.4800004959106,29.990000963211,30.5899999141693,29.0299999713898,27.4700000286102,27.5500006675721,27.6299995183944,27.7200003862381,27.8199998140335,28.0900008678436,28.4299995899201,..,..
American Samoa,ASM,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.2499992847442,49.9699985980988,50.6200015544891,49.8599991798401,49.6599984169006,48.9599987268448,48.899998664856,48.7899994850158,46.9999983310699,46.5799994468689,46.6700004339218,46.0699994564056,45.989999294281,44.7899990081787,44.6600012779236,45.5699982643127,45.850001335144,46.7400007247925,51.4300017356873,53.0000014305115,54.5700016021728,54.6499996185302,55.770001411438,57.1699981689453,58.6199979782104,59.6499996185302,60.7100019454956,61.8799991607667,62.7099990844727,..,..
Antigua and Barbuda,ATG,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.6400005817414,23.8800000548362,25.2900003790855,24.6900002956391,25.0299994945526,25.4099995493889,24.4200003147125,24.1299991607666,24.0900007486344,24.3700005412102,25.4600003957748,27.849999666214,24.9399996995926,23.6500001549721,23.3400004506111,22.2199998497963,21.009999871254,20.9800003767013,21.4799996912479,20.8200006186963,20.369999319315,21.0599993169308,21.7599993944168,22.2099993824958,22.3500006794929,23.0200007557869,23.320000231266,22.8399993181229,23.98000061512,..,..
Armenia,ARM,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.0799999237061,35.579999923706,38.2600002288819,39.9099998474121,41.4699993133545,42.5399990081788,43.4500007629394,43.8700008392334,44.4400005340576,44.6599998474121,44.8900012969971,44.2700004577637,43.2999992370605,42.5299987792968,41.289999961853,39.9299993515014,38.1599998474121,37.0900001525879,38.6399993896484,36.9399995803833,39.8999996185303,38.5999994277954,37.5000004768371,40.7999997138977,41.3200001716614,41.1999983787537,39.5800002813339,37.3300018310547,36.2900013923645,..,..
Aruba,ABW,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
