Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Antigua and Barbuda,2000,Latin America and Caribbean,1.61278,0.384769,,783.837037,15973.0,,19.84,6.216,,73.94,0.099308153982053,12.6,1.76934686581224,67.873,,,11.86,,,,,76007.0
Antigua and Barbuda,2001,Latin America and Caribbean,1.61278,0.342373,,773.766667,16534.0,,19.635,6.124,,74.171,0.0995149802975,12.3,1.57294440575692,68.26,,,12.12,,,,,77212.0
Antigua and Barbuda,2002,Latin America and Caribbean,1.73138,0.298467,,802.52963,15896.0,,19.339,6.051,,74.395,0.0951662299236648,11.9,1.39671745207427,68.902,,,10.65,,,,,78298.0
Antigua and Barbuda,2003,Latin America and Caribbean,1.74801,0.216797,,839.996296,17443.0,,18.977,5.999,,74.613,0.0970533197653173,11.5,1.28547728798399,69.536,,,12.45,,,,,79311.0
Antigua and Barbuda,2004,Latin America and Caribbean,1.60917,0.272001,,898.355556,17653.0,,18.566,5.967,,74.821,0.0896482920620249,11.0,1.29779220681331,70.163,,,12.13,,,,,80347.0
Antigua and Barbuda,2005,Latin America and Caribbean,1.75667,0.189686,,1014.981481,17975.0,,18.137,5.955,,75.019,0.0851731764287246,10.6,1.37818990118547,70.782,,,11.53,,,,,81462.0
Antigua and Barbuda,2006,Latin America and Caribbean,1.65247,0.170004,,1149.025926,18097.0,,17.72,5.96,,75.204,0.0960604173703046,10.1,1.52643102127801,71.394,,,8.37,,,,,82715.0
Antigua and Barbuda,2007,Latin America and Caribbean,1.60578,0.166035,,1302.388889,18263.0,,17.341,5.976,,75.376,0.0985649652209231,9.6,1.57610132986139,71.998,,,8.45,,,,,84029.0
Antigua and Barbuda,2008,Latin America and Caribbean,1.54737,0.15107,,1370.07037,22463.0,,17.014,5.999,,75.535,0.0991712927948866,9.2,1.61138633575081,72.595,,,8.08,,,,,85394.0
Antigua and Barbuda,2009,Latin America and Caribbean,1.49146,0.149668,,1228.32963,21633.0,,16.749,6.026,,75.683,0.088538396729918,8.7,1.56738832134701,73.182,,,6.33,,,,,86743.0
Antigua and Barbuda,2010,Latin America and Caribbean,1.63315,0.114015,,1148.7,13353.0,,16.547,6.055,,75.823,0.0867488441024099,8.3,1.47279415442432,73.762,,,13.9,,,,,88030.0
Antigua and Barbuda,2011,Latin America and Caribbean,1.93295,0.103761,,1137.637037,14437.0,,16.396,6.085,,75.956,0.0844955856974399,7.9,1.37637551869337,74.297,,,12.99,,,,,89250.0
Antigua and Barbuda,2012,Latin America and Caribbean,1.89925,0.102111,,1199.948148,14281.0,,16.272,6.116,,76.087,0.0865496427765522,7.5,1.28802773688723,74.474,,,14.63,,,,,90407.0
Antigua and Barbuda,2013,Latin America and Caribbean,2.01786,0.089699,,1181.448148,14118.0,,16.152,6.151,,76.218,0.0847560687845126,7.1,1.2126557898666,74.65,,,13.3,,,,,91510.0
Antigua and Barbuda,2014,Latin America and Caribbean,1.65556,0.032736,,1249.733333,14612.0,,16.026,6.188,,76.349,0.0820725207824337,6.8,1.14304343305706,74.825,,,15.11,,,,,92562.0
Antigua and Barbuda,2015,Latin America and Caribbean,1.61219,0.031542,,1336.692593,14706.0,,15.883,6.227,,76.483,0.0845745358364229,6.5,1.08418161589205,75.0,,,11.82,,,,,93571.0
Antigua and Barbuda,2016,Latin America and Caribbean,1.5676,0.030992,,1436.585185,29418.0,,15.717,6.27,,76.617,0.083550562080159,6.2,1.00909459019292,75.154,,,11.61,,,,,94520.0
Antigua and Barbuda,2017,Latin America and Caribbean,1.79362,0.012025,,1467.977778,33689.0,,15.53,6.316,,76.752,0.0827386431396182,6.0,0.952914631258636,75.287,,,11.61,,,,,95425.0
Antigua and Barbuda,2018,Latin America and Caribbean,1.73669,0.008356,,1605.944444,32849.0,,15.327,6.366,,76.885,0.0827386431396182,5.8,0.894078681398432,75.401,,,12.68,,,,,96282.0
Antigua and Barbuda,2019,Latin America and Caribbean,1.75997,0.021173,,1687.533333,33427.0,,15.107,6.422,,77.016,0.0827386431396182,5.6,0.861445783881833,75.494,,,11.3,,,,,97115.0
Antigua and Barbuda,2020,Latin America and Caribbean,2.13631,0.021173,,1370.351852,32205.0,,14.876,6.484,,77.146,0.0827386431396182,5.4,0.833667148911523,75.567,,,11.3,,,,,97928.0
