,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
210,Austria,2000,1.6707,,1455.619,196799.627787,3659384.0,1.03878569286877,9.8,9.6,1.0162002142,78.1268292682927,0.0089031728653071,4.6,0.240466652446524,39.787,0.968,0.968,13.38,30.069,11.0332202911377,65.62,47.15,8069276.0,Europe and Central Asia
211,Austria,2001,1.6707,,1458.83,197336.113323,3831774.0,0.890210310899519,9.4,9.3,0.86443711868,78.5756097560976,0.0082098111045879,4.5,0.382799394483217,40.066,0.968,0.968,13.29,29.419,10.8563203811646,65.27,47.33,8097755.0,Europe and Central Asia
212,Austria,2002,1.56277,,1450.996,213387.477629,3873988.0,0.870835687651877,9.7,9.4,0.79907523638,78.6780487804878,0.0079852621300712,4.4,0.49198046425522,40.345,0.968,0.968,13.51,28.878,10.5323295593262,64.63,48.36,8134403.0,Europe and Central Asia
213,Austria,2003,1.49193,,1489.69,261685.687441,4720898.0,0.866717400529149,9.5,9.5,0.61155683412,78.6317073170732,0.0079614689044854,4.3,0.487133894826838,40.625,0.968,0.968,13.62,29.01,10.7396202087402,64.74,48.6,8175855.0,Europe and Central Asia
214,Austria,2004,1.47648,,1490.766,300917.298368,5103811.0,1.00227155853998,9.7,9.1,0.71804021269,79.1804878048781,0.006957955905924,4.2,0.620413127334181,40.906,0.968,0.968,13.03,26.799,9.87333011627197,61.36,47.07,8216809.0,Europe and Central Asia
215,Austria,2005,1.2594,,1524.64,315966.559717,4937583.0,0.995631418244597,9.5,9.1,0.65425552022,79.3317073170732,0.0072977938817226,4.1,0.681267248299787,41.187,0.968,0.968,13.67,27.575,10.2618503570557,62.79,48.3,8253656.0,Europe and Central Asia
216,Austria,2006,1.30319,,1545.797,335981.345831,5350622.0,0.981658929967225,9.4,9.0,0.73623970999,79.8804878048781,0.0068388481389379,3.9,0.494797775098466,41.468,0.968,0.968,13.78,28.163,10.3745803833008,63.44,49.08,8285344.0,Europe and Central Asia
217,Austria,2007,1.41639,,1574.681,388671.495783,6802800.0,0.840833568766733,9.2,9.0,0.54127322618,80.1804878048781,0.0068332584215982,3.8,0.324146535285463,41.751,0.968,0.968,14.09,27.328,10.4522895812988,64.54,50.05,8313731.0,Europe and Central Asia
218,Austria,2008,1.34222,,1604.015,430310.227057,7530933.0,0.831391242979792,9.3,9.0,0.69531650388,80.4317073170732,0.0066004722495671,3.8,0.313041437661508,42.034,0.969,0.968,14.39,26.274,10.5551500320435,64.85,51.03,8341525.0,Europe and Central Asia
219,Austria,2009,1.14682,,1593.198,400148.193471,6246869.0,0.608415680868827,9.2,9.3,0.60912556084,80.3317073170732,0.0070283995422978,3.7,0.261953189906348,42.317,0.969,0.968,13.76,25.0,10.583930015564,63.63,51.3,8372657.0,Europe and Central Asia
220,Austria,2010,1.26733,,1603.641,391892.746545,6345092.0,0.602286669093771,9.4,9.2,0.68965968267,80.5804878048781,0.0071554103114342,3.6,0.240394299500766,42.601,0.969,0.968,14.0,24.825,10.7891302108765,63.75,51.65,8409945.0,Europe and Central Asia
221,Austria,2011,1.40191,,1603.994,431120.310089,7548229.0,0.540039830550599,9.3,9.1,0.88720637757,80.9829268292683,0.0072774613792078,3.5,0.337080841831645,42.885,0.969,0.968,14.32,26.048,10.9884901046753,63.86,52.01,8453501.0,Europe and Central Asia
222,Austria,2012,1.34855,,1736.561,409425.234155,7135291.0,0.523864798766988,9.4,9.4,0.92916799475,80.9365853658537,0.0069506640625039,3.3,0.45593747231891,42.853,0.969,0.968,14.51,26.226,10.7011804580688,63.62,52.37,8502230.0,Europe and Central Asia
223,Austria,2013,1.25472,,1739.764,430068.712972,7234620.0,0.51207110915285,9.4,9.4,0.72462150506,81.1365853658537,0.0070315899776766,3.2,0.589387254692989,42.664,0.97,0.968,14.37,25.906,10.7402896881104,63.33,52.37,8556191.0,Europe and Central Asia
224,Austria,2014,1.20074,,1758.729,441996.131737,7101967.0,0.509888898608253,9.6,9.2,0.52233231827,81.490243902439,0.0074936595931018,3.1,0.781541632525841,42.474,0.97,0.968,14.34,25.751,10.4111604690552,62.56,52.33,8615205.0,Europe and Central Asia
225,Austria,2015,1.12979,,1753.323,381817.565894,5704913.0,0.47861005363571,9.8,9.6,0.53003531533,81.190243902439,0.007493172969722,3.0,0.752568122885555,42.285,0.969,0.968,14.69,25.73,10.6934795379639,62.36,52.42,8678667.0,Europe and Central Asia
226,Austria,2016,1.11032,,1758.544,395568.644341,5737011.0,0.493672942116627,10.0,9.2,0.65162919875,81.6414634146342,0.0073933485107261,3.0,0.723594613245269,42.095,0.969,0.968,14.96,25.7,10.9538497924805,62.49,52.81,8747306.0,Europe and Central Asia
227,Austria,2017,1.21059,,1694.958,417261.151845,6216310.0,0.459861533502446,10.0,9.5,0.79365961209,81.6439024390244,0.0074339501143947,2.9,0.694621103604983,41.906,0.962,0.963,15.1,25.582,10.9501600265503,62.49,52.81,8819902.0,Europe and Central Asia
228,Austria,2018,1.13438,,1703.733,455168.151939,6928354.0,0.496608177017669,9.7,9.5,0.96722860774,81.6926829268293,0.0074339501143947,2.9,0.487071924768999,41.703,0.947,0.93,15.36,25.582,10.9501600265503,62.49,52.81,8891383.0,Europe and Central Asia
229,Austria,2019,1.08562,,1718.611,445011.872704,6287813.0,0.496608177017669,9.6,9.4,0.96722860774,81.8951219512195,0.0074339501143947,2.9,0.444673639004876,41.485,0.948,0.935,15.69,25.582,10.9501600265503,62.49,52.81,8955108.0,Europe and Central Asia
230,Austria,2020,1.17093,,1708.152,433258.467677,6588675.0,0.496608177017669,9.4,9.4,0.96722860774,81.1926829268293,0.0074339501143947,3.0,0.415176731565556,41.252,0.947,0.94,15.69,25.582,10.9501600265503,62.49,52.81,9006400.0,Europe and Central Asia
