Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Azerbaijan,2000,14.8375,,,5272.617196,880117.0,2.03751078406971,14.5,5.8,2.7823113448,66.763,0.0998514479702061,60.9,0.821519963674211,48.614,0.402,0.319,4.75,10.878,21.1190795898438,,,8122743.0,Europe and Central Asia
Azerbaijan,2001,14.8375,,,5707.618247,848338.0,2.04645523878444,13.6,5.6,2.6594138676,67.054,0.0902450660331089,57.2,0.774765939386613,48.413,0.402,0.308,4.71,10.789,20.8775501251221,,,8197295.0,Europe and Central Asia
Azerbaijan,2002,13.9546,,,6236.086669,923394.0,2.05567552896473,13.5,5.7,2.5612943719,67.391,0.0838845689516996,53.5,0.746173582716985,48.213,0.402,0.295,3.17,11.489,13.6307201385498,,,8277065.0,Europe and Central Asia
Azerbaijan,2003,12.4256,,,7276.413079,1118062.0,1.93063043493195,13.8,6.0,2.1886200607,67.791,0.084955376487243,50.1,0.757650955616913,48.012,0.356,0.282,3.6,11.403,15.1708402633667,,,8361433.0,Europe and Central Asia
Azerbaijan,2004,10.9881,,,8680.410158,1258428.0,1.92557212075857,15.8,6.0,2.3789972183,68.249,0.0739429342005705,47.0,0.875427280482454,47.811,0.37,0.238,3.57,11.9,14.2350397109985,,,8448938.0,Europe and Central Asia
Azerbaijan,2005,9.14754,,,13245.421881,1575733.0,1.93649889501484,16.9,6.2,2.2486095512,68.747,0.0779118584498424,44.1,1.02226559239828,47.611,0.364,0.238,4.08,12.012,13.2231502532959,,,8538610.0,Europe and Central Asia
Azerbaijan,2006,7.09105,,,20981.929498,2294327.0,1.9349201408905,17.6,6.2,2.2015832164,69.259,0.0666371120397321,41.5,1.09858657441812,47.411,0.374,0.23,3.42,12.354,10.1004199981689,,,8630153.0,Europe and Central Asia
Azerbaijan,2007,6.54008,,,33049.426816,3095229.0,1.91549848512102,17.7,6.3,2.1663785612,69.752,0.065034181716698,39.1,1.13385546615645,47.21,0.374,0.21,3.48,12.625,9.77937030792236,,,8724237.0,Europe and Central Asia
Azerbaijan,2008,5.57088,,,48851.318826,3763400.0,1.88652635971963,17.4,6.0,2.1764095568,70.201,0.06422478944953,36.8,1.1524995467243233,47.01,0.374,0.2,2.75,12.13,7.76384019851685,,,8821869.0,Europe and Central Asia
Azerbaijan,2009,6.12193,,,44292.408817,4317107.0,1.84247822990773,17.0,5.9,2.22853579545,70.597,0.0651343631503269,34.7,1.171143627292197,46.81,0.378,0.192,3.28,12.7,9.3439302444458,,,8924383.0,Europe and Central Asia
Azerbaijan,2010,5.54457,,,52905.998879,4962478.0,1.81659244591071,18.3,5.9,2.2806620341,70.938,0.0657141956932351,32.5,1.18978770786007,46.594,0.365,0.205,3.16,13.7,8.70083999633789,,,9032465.0,Europe and Central Asia
Azerbaijan,2011,5.07622,,,65952.763949,5247741.0,1.79938572769838,19.2,5.9,2.23049232205,71.234,0.0655638073271164,30.5,1.30300085487651,46.363,0.361,0.185,2.81,14.086,7.2198600769043,,,9146277.0,Europe and Central Asia
Azerbaijan,2012,5.13977,,,69679.91351,5488213.0,1.77100198732572,18.8,5.9,2.18032261,71.506,0.0650991772120978,28.5,1.32876382733755,46.117,0.361,0.175,3.04,14.271,5.64367008209229,,,9264684.0,Europe and Central Asia
Azerbaijan,2013,5.36626,,,74160.553009,5996107.0,1.74272674746369,18.3,5.8,2.354704353,71.768,0.0645622269981632,26.7,1.29344702700591,45.855,0.398,0.179,2.81,14.375,6.46412992477417,,,9385467.0,Europe and Central Asia
Azerbaijan,2014,5.31941,,,75239.737489,5690979.0,1.71047386074509,17.9,5.8,2.4827428333,72.022,0.0636003715788883,24.9,1.24820899735588,45.578,0.381,0.172,3.1,14.304,7.23872995376587,,,9505616.0,Europe and Central Asia
Azerbaijan,2015,6.17764,,,53076.244755,4658694.0,1.6806446948948,17.2,5.7,2.3382111188,72.266,0.0620613196940794,23.3,1.19120985807018,45.286,0.377,0.163,3.37,14.064,7.63110017776489,,,9622741.0,Europe and Central Asia
Azerbaijan,2016,5.60512,,,37867.007023,3002200.0,1.64903404234084,16.3,5.8,2.1363919893,72.493,0.060127104067198,21.8,1.11785721013911,44.979,0.345,0.207,3.29,14.408,8.20689964294434,,,9736041.0,Europe and Central Asia
Azerbaijan,2017,5.60736,,,40866.632048,3210062.0,1.62901684264353,14.6,5.8,2.0415799757,72.693,0.0576744057446423,20.3,0.98126180450475,44.657,0.405,0.182,2.82,14.183,6.95039987564087,,,9845316.0,Europe and Central Asia
Azerbaijan,2018,5.21238,,,47112.479289,3470611.0,1.60966261118113,14.0,5.8,2.2011074485,72.864,0.0576744057446423,19.2,0.866316916370841,44.32,0.353,0.169,2.8,14.183,7.43546009063721,,,9949537.0,Europe and Central Asia
Azerbaijan,2019,5.71687,,,48174.235294,3898278.0,1.60966261118113,14.1,5.6,2.2011074485,73.005,0.0576744057446423,18.2,0.846646726414021,43.969,0.378,0.172,3.85,14.183,7.43546009063721,,,10047719.0,Europe and Central Asia
Azerbaijan,2020,6.92578,,,42607.176471,4216724.0,1.60966261118113,12.5,5.6,2.2011074485,73.123,0.0576744057446423,17.3,0.684365325388407,43.603,0.376,0.147,3.85,14.183,7.43546009063721,,,10139175.0,Europe and Central Asia
