,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
462,Botswana,2000,2.59033,0.217621,,5788.311645,87036.0,1.69857150136735,29.302,13.535,,50.629,0.810540193470649,43.9,2.03308399053272,46.781,0.912,0.814,8.18,21.154,,,,1643333.0,Sub-Saharan Africa
463,Botswana,2001,2.59033,0.359043,,5489.649947,66478.0,1.643433988187,29.163,13.83,,50.281,0.818141785760389,43.9,1.889202292238,45.938,0.912,0.814,8.18,25.668,,,,1674674.0,Sub-Saharan Africa
464,Botswana,2002,2.4257,0.274321,,5438.851395,84921.5,1.67377623046464,29.05,13.951,,50.232,0.825918462953216,43.9,1.77336653734728,45.43,0.912,0.814,8.18,24.927,,,,1704637.0,Sub-Saharan Africa
465,Botswana,2003,2.72235,0.277667,,7511.527477,103365.0,1.62621269003457,28.935,13.872,,50.518,0.822709633683267,43.1,1.7301852005081,44.971,0.912,0.814,8.18,22.7,,,,1734387.0,Sub-Saharan Africa
466,Botswana,2004,2.25956,0.627776,,8957.511538,105903.0,1.50504491054013,28.803,13.588,,51.15,0.795168895687067,42.1,1.77985909527579,44.512,0.912,0.831,8.18,20.3,,,,1765533.0,Sub-Saharan Africa
467,Botswana,2005,1.82837,0.776979,,9931.248536,90514.0,1.60802727214254,28.654,13.103,,52.13,0.74063775962525,38.9,1.88211278084523,44.056,0.912,0.831,8.18,17.406,,,,1799077.0,Sub-Saharan Africa
468,Botswana,2006,2.04839,0.553603,,10126.990325,87969.0,1.5620251798459,28.498,12.44,,53.435,0.700158395776294,38.1,2.0267060468961,43.6,0.912,0.83,8.18,15.17,,,,1835911.0,Sub-Saharan Africa
469,Botswana,2007,2.24069,0.474891,,10939.025528,95460.0,1.49589851824452,28.348,11.658,,54.983,0.671327885736899,39.5,2.13120801829791,42.072,0.905,0.838,8.18,14.935,,,,1875458.0,Sub-Saharan Africa
470,Botswana,2008,2.52605,0.269141,,10945.13971,104362.0,1.43475578500054,28.212,10.817,,56.679,0.653260407758332,40.3,2.11967861163802,40.556,0.905,0.822,7.64,15.157,,,,1915636.0,Sub-Saharan Africa
471,Botswana,2009,2.8191,0.293801,,10267.088625,109879.0,1.31762556344179,28.079,9.965,,58.447,0.616133509444194,40.1,1.95703936239624,39.063,0.907,0.818,6.25,15.395,,,,1953495.0,Sub-Saharan Africa
472,Botswana,2010,2.48807,0.277976,,12786.612324,133107.0,1.3526517771912,27.934,9.146,,60.211,0.586304004380486,39.5,1.70592328995544,37.588,0.918,0.815,8.06,15.325,,,,1987106.0,Sub-Saharan Africa
473,Botswana,2011,2.51089,0.288362,,15351.912768,127661.33333333331,1.24527388909709,27.754,8.391,,61.91,0.575762134672305,41.1,1.41413550355517,36.135,0.918,0.814,9.63,15.416,,,,2015406.0,Sub-Saharan Africa
474,Botswana,2012,2.6953,0.484901,,14420.2595,122215.66666666669,1.16612377126649,27.524,7.713,,63.511,0.557398526543527,40.2,1.19090216555368,35.232,0.911,0.814,10.68,15.331,,,,2039551.0,Sub-Saharan Africa
475,Botswana,2013,2.29853,0.79286,,14901.698534,116770.0,1.10449582395388,27.231,7.122,,64.976,0.53948495449296,39.4,1.22342687432676,34.428,0.915,0.789,11.93,15.236,,,,2062551.0,Sub-Saharan Africa
476,Botswana,2014,2.08771,0.850422,,16250.740393,96298.0,1.09092835925414,26.87,6.634,,66.265,0.524720552509208,40.1,1.25595158309984,33.632,0.916,0.789,10.96,15.096,,,,2088619.0,Sub-Saharan Africa
477,Botswana,2015,2.20075,0.982049,,14420.571192,85982.0,0.919824047879908,26.44,6.259,,67.338,0.505992108416099,39.6,1.52506854883531,32.845,0.919,0.798,10.42,14.895,,,,2120716.0,Sub-Saharan Africa
478,Botswana,2016,2.04974,1.085689,,15646.416113,73038.0,0.900964933443718,25.943,6.0,,68.178,0.47971068359586,39.3,1.83197313579572,32.067,0.912,0.798,11.21,14.809,,,,2159925.0,Sub-Saharan Africa
479,Botswana,2017,1.98983,1.138291,,17405.496707,52548.0,0.87955217112567,25.396,5.834,,68.812,0.449505199158556,38.2,2.06884765539921,31.3,0.911,0.808,14.32,14.908,,,,2205076.0,Sub-Saharan Africa
480,Botswana,2018,1.99316,1.040659,,18663.281037,92049.0,0.857633750365686,24.821,5.742,,69.275,0.449505199158556,37.6,2.1974164684246,30.554,0.911,0.823,14.32,14.908,,,,2254067.0,Sub-Saharan Africa
481,Botswana,2019,1.94929,1.224263,,18362.405202,76908.0,0.857633750365686,24.234,5.708,,69.592,0.449505199158556,36.9,2.1781688165261,29.828,0.921,0.801,14.32,14.908,,,,2303703.0,Sub-Saharan Africa
482,Botswana,2020,2.144,1.224263,,15781.675078,136274.0,0.857633750365686,23.654,5.718,,69.793,0.449505199158556,36.1,2.05887502746375,29.123,0.917,0.784,14.32,14.908,,,,2351625.0,Sub-Saharan Africa
