,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
714,China,2000,,,,1389774.245411,306877731.0,0.532157174698457,14.03,6.45,2.0811167787,71.397,0.0991362360626394,29.9,0.787956592953992,64.123,0.276,0.228,6.09,18.785,,,,1290550767.0,East Asia and Pacific
715,China,2001,,,,1515665.164958,282489646.0,0.51562524975598,13.38,6.43,1.996648031,71.732,0.091242355055636,27.8,0.726380637838525,62.907,0.286,0.231,5.59,18.962,,,,1299129747.0,East Asia and Pacific
716,China,2002,,,,1644277.832676,299169292.0,0.505975130101036,12.86,6.41,2.0098638205,72.061,0.0838775441270954,25.6,0.669999567758626,61.575,0.297,0.238,6.03,19.568,,,,1307352256.0,East Asia and Pacific
717,China,2003,,,,1829912.22704,356528211.0,0.498433213738116,12.41,6.4,1.8545529296,72.381,0.0776707660286389,23.4,0.622860936133583,60.224,0.3,0.245,6.88,20.818,,,,1315303522.0,East Asia and Pacific
718,China,2004,,,,2135090.302733,457825189.0,0.494898713225388,12.29,6.42,1.8676809685,72.689,0.0726570204826699,21.4,0.593932815112141,58.856,0.297,0.248,7.27,21.217,,,,1323084639.0,East Asia and Pacific
719,China,2005,,,,2479691.785892,490162159.0,0.491672553741705,12.4,6.51,1.5607430604,72.985,0.0688685183219361,19.4,0.588124989556992,57.478,0.309,0.188,7.49,21.818,,,,1330776380.0,East Asia and Pacific
720,China,2006,,,,2960522.12012,543770439.0,0.469341666279151,12.09,6.81,1.3428634132,73.271,0.0657272780139138,17.7,0.558374367373002,56.132,0.309,0.188,7.56,22.467,,,,1338408644.0,East Asia and Pacific
721,China,2007,,,,3780360.249774,648989717.0,0.374013029203448,12.1,6.93,1.1975537265,73.553,0.0632322473511324,16.2,0.522271866392275,54.801,0.312,0.186,7.9,22.812,,,,1345993891.0,East Asia and Pacific
722,China,2008,,,,4834648.116645,806750059.0,0.372919311084143,12.14,7.06,1.0942179341,73.835,0.0631821137437833,14.8,0.51238693163744,53.461,0.312,0.191,7.71,23.268,,,,1353569480.0,East Asia and Pacific
723,China,2009,,,,5337330.418562,808474450.0,0.38004668542522,11.95,7.08,1.0775293576,74.119,0.0589480323264918,13.6,0.497381400884935,52.12,0.3,0.19,8.38,23.549,,,,1361169410.0,East Asia and Pacific
724,China,2010,,,,6344068.420847,897765460.0,0.379817293179376,11.9,7.11,0.97968265009,74.409,0.0568797084557192,12.5,0.482959688678361,50.774,0.299,0.184,8.75,23.978,,,,1368810604.0,East Asia and Pacific
725,China,2011,,,,7836902.03283,1193489746.0,0.378367377476658,13.27,7.14,0.87286746537,74.708,0.0546657205871149,11.5,0.546457594880274,49.489,0.302,0.182,8.6,24.248,,,,1376497633.0,East Asia and Pacific
726,China,2012,,,,8838004.954137,1232069016.0,0.383194517289207,14.57,7.13,0.81534082885,75.013,0.0528441981112804,10.6,0.678345458846803,48.235,0.295,0.186,9.04,24.169,,,,1384206408.0,East Asia and Pacific
727,China,2013,,,,9897700.345081,1295783654.0,0.382051299395083,13.03,7.13,0.76443188394,75.321,0.0514510259626605,9.8,0.666072977690069,46.987,0.285,0.146,9.42,23.948,,,,1391883335.0,East Asia and Pacific
728,China,2014,,,,10821985.896759,1199402142.0,0.38119694475323,13.83,7.12,0.72049529638,75.629,0.050272197259157,9.0,0.630326389541893,45.741,0.277,0.128,9.63,23.774,,,,1399453966.0,East Asia and Pacific
729,China,2015,,,,11416015.781966,1217877439.0,0.361548990891014,11.99,7.07,0.65394419747,75.928,0.0491306979916147,8.3,0.581456146657648,44.5,0.288,0.113,9.4,23.745,,,,1406847868.0,East Asia and Pacific
730,China,2016,,,,11599238.144664,1219617053.0,0.342441206742533,13.57,7.04,0.61058689229,76.21,0.0480276497709717,7.6,0.573050906069647,43.264,0.292,0.101,9.06,23.858,,,,1414049353.0,East Asia and Pacific
731,China,2017,,,,12702190.669259,1126027296.0,0.342359967875126,12.64,7.06,0.56227146084,76.47,0.0472011591299657,7.0,0.605245013482969,42.04,0.27,0.083,9.07,23.89,,,,1421021794.0,East Asia and Pacific
732,China,2018,,,,14311899.452936,1192902560.0,0.342881376073371,10.86,7.08,0.52709078934,76.704,0.0472011591299657,6.4,0.467672053461959,40.848,0.26,0.068,8.85,23.89,,,,1427647789.0,East Asia and Pacific
733,China,2019,,,,14700827.670843,1531948684.0,0.342881376073371,10.41,7.09,0.52709078934,76.912,0.0472011591299657,5.9,0.354740890170827,39.692,0.26,0.062,8.78,23.89,,,,1433783692.0,East Asia and Pacific
734,China,2020,,,,15096578.260838,1555973863.0,0.342881376073371,10.41,7.07,0.52709078934,77.097,0.0472011591299657,5.5,0.354740890170827,38.572,0.26,0.07,8.78,23.89,,,,1439323774.0,East Asia and Pacific
