Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Denmark,2000,2.33951,,1095.198,164157.842127,5684252.0,0.761374427528505,12.6,10.9,1.0858999265,76.5926829268293,0.0138342807841254,4.7,0.334233618829261,14.9,0.993,0.988,12.78,25.455,15.3441495895386,68.2,57.22,5341192.0,Europe and Central Asia
Denmark,2001,2.33951,,1081.103,164791.096044,6012600.0,0.749642781202742,12.2,10.9,0.97050069811,76.7926829268293,0.0138034921720987,4.7,0.358315678955486,14.85,0.993,0.988,13.34,25.468,15.5485401153564,68.29,56.81,5358059.0,Europe and Central Asia
Denmark,2002,1.78115,,1071.067,178634.843166,5611260.0,0.785280454092747,11.9,10.9,0.89338925454,76.8951219512195,0.0148062795792586,4.6,0.319487125340996,14.75,0.993,0.988,13.71,23.582,15.4338798522949,68.24,57.64,5372798.0,Europe and Central Asia
Denmark,2003,1.61079,,1063.228,218096.916362,6456633.0,0.794279792024107,12.0,10.7,1.2066156695,77.1439024390244,0.0131092551036614,4.5,0.272010444031566,14.64,0.993,0.988,13.93,22.928,15.1417503356934,67.81,56.29,5386968.0,Europe and Central Asia
Denmark,2004,1.62251,,1098.384,251374.821136,7484977.0,0.72451242901072,12.0,10.3,0.7958903922,77.4926829268293,0.0127050204830831,4.3,0.258432282052875,14.434,0.993,0.988,14.2,23.733,15.4868602752686,68.1,57.1,5402754.0,Europe and Central Asia
Denmark,2005,1.14566,,1017.311,264466.895451,7176020.0,0.723939970897613,11.9,10.1,0.97755298568,77.8439024390244,0.0115892203868727,4.2,0.275481733409308,14.144,0.993,0.988,14.86,23.892,15.7793397903442,67.94,57.2,5421701.0,Europe and Central Asia
Denmark,2006,1.16522,,1045.851,282885.978374,7433170.0,1.02340248577641,12.0,10.2,0.53266787809,78.0951219512195,0.0110114604083744,4.0,0.328645158919929,13.902,0.993,0.988,15.43,23.377,15.5126399993896,68.74,58.17,5444293.0,Europe and Central Asia
Denmark,2007,1.1744,,952.405,319423.375611,8968403.0,1.0236004737223,11.7,10.2,0.71299031796,78.1951219512195,0.0112426062782495,3.8,0.443466054321374,13.707,0.993,0.988,15.74,23.54,15.3566999435425,68.5,58.12,5469920.0,Europe and Central Asia
Denmark,2008,0.857799,,985.118,353358.901702,10543907.0,1.02654895115783,11.8,9.9,0.98222339361,78.4463414634146,0.0106660621639485,3.7,0.587547590258978,13.513,0.993,0.988,15.85,22.721,14.8302602767944,68.96,58.67,5497731.0,Europe and Central Asia
Denmark,2009,0.833614,,964.956,321243.301145,8057077.0,0.64276189360327,11.4,9.9,0.85046492384,78.5975609756098,0.0099878764996507,3.6,0.535079062079429,13.346,0.993,0.988,15.95,20.371,14.9441699981689,65.55,57.41,5526389.0,Europe and Central Asia
Denmark,2010,1.20193,,904.607,321995.279402,8302628.0,0.644467124496186,11.4,9.8,0.75609616031,79.1,0.0092335265973411,3.5,0.444197154509531,13.205,0.993,0.988,15.29,19.606,15.1033401489258,63.3,55.94,5554849.0,Europe and Central Asia
Denmark,2011,1.31212,,1020.7645,344003.137611,10243489.0,0.569855246374924,10.6,9.4,0.82393273843,79.8,0.0086210614405221,3.4,0.411737855195019,13.043,0.993,0.988,15.04,19.94,15.0362596511841,63.14,55.17,5582980.0,Europe and Central Asia
Denmark,2012,1.65472,,1136.922,327148.943812,10320648.0,0.598980270913205,10.4,9.4,0.83765393451,80.0512195121951,0.0077797129589183,3.5,0.376272242619955,12.858,0.993,0.989,14.84,19.6,12.4887104034424,62.33,54.6,5610909.0,Europe and Central Asia
Denmark,2013,1.30213,,1146.185,343584.391648,10764713.0,0.6034520262656,10.0,9.3,0.8513427804,80.3,0.0071108879815577,3.5,0.416901360752097,12.708,0.991,0.989,15.35,19.481,15.2174396514893,61.77,54.33,5638152.0,Europe and Central Asia
Denmark,2014,1.38247,,1146.53,352993.631618,10522401.0,0.600727928574846,10.1,9.1,1.306451274,80.7,0.0071671320429791,3.5,0.507053283010163,12.59,0.991,0.989,15.51,19.293,13.8268203735352,62.2,54.09,5664199.0,Europe and Central Asia
Denmark,2015,0.957594,,1159.471,302673.070847,7880420.0,0.574661711190256,10.2,9.2,1.0898808954,80.7024390243902,0.0067136780841472,3.5,0.706423849687002,12.474,0.992,0.989,15.79,19.215,14.303753534952834,62.79,54.08,5688695.0,Europe and Central Asia
Denmark,2016,0.961139,,1074.488,313115.929314,7707139.0,0.548874925722904,10.8,9.2,0.9805044205,80.8536585365854,0.0067490656701633,3.5,0.674887376712179,12.358,0.992,0.986,16.26,19.19,14.780686696370466,63.86,55.49,5711346.0,Europe and Central Asia
Denmark,2017,1.30481,,1056.14,332121.063806,9024947.0,0.506709851858308,10.6,9.2,1.2386002979,81.1024390243903,0.0061790199224007,3.4,0.643350903737356,12.243,0.992,0.986,16.69,19.167,15.2576198577881,63.86,55.49,5732277.0,Europe and Central Asia
Denmark,2018,1.03725,,1068.803,356841.21641,8266377.0,0.486173885287104,10.6,9.5,1.0083219593,80.9536585365854,0.0061790199224007,3.3,0.495838925879129,12.126,0.991,0.986,16.71,19.167,15.2576198577881,63.86,55.49,5752131.0,Europe and Central Asia
Denmark,2019,1.32809,,1068.084,347561.349211,9157892.0,0.486173885287104,10.5,9.3,1.0083219593,81.4512195121951,0.0061790199224007,3.2,0.358130915892652,12.006,0.991,0.984,16.84,19.167,15.2576198577881,63.86,55.49,5771877.0,Europe and Central Asia
Denmark,2020,1.30633,,1060.792,356084.867686,9552505.0,0.486173885287104,10.4,9.4,1.0083219593,81.5512195121951,0.0061790199224007,3.1,0.291641177476633,11.884,0.991,0.986,16.84,19.167,15.2576198577881,63.86,55.49,5792203.0,Europe and Central Asia
