,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
945,Dominica,2000,11.2963,0.179348,,333.47037,,,,,2.8715003589,,,14.1,0.0301462093425082,34.735,,,8.64,,,,,69840.0,Latin America and Caribbean
946,Dominica,2001,11.2963,0.160294,,340.203704,,,,,1.4353174204,,,14.5,0.0301462093425082,34.618,,,8.78,,,,,69840.0,Latin America and Caribbean
947,Dominica,2002,10.8403,0.17537,,333.196296,,,,,12.886597938,,,14.9,0.242274921210693,34.311,,,8.4,,,,,69840.0,Latin America and Caribbean
948,Dominica,2003,11.0396,0.167671,,343.311111,,,,,11.411942598,,,15.5,0.374441277267655,34.006,,,8.67,,,,,70102.0,Latin America and Caribbean
949,Dominica,2004,11.1983,0.165886,,367.2,,,,,11.36573515,,,16.1,0.40572627174751,33.701,,,8.53,,,,,70387.0,Latin America and Caribbean
950,Dominica,2005,11.489,0.149701,,364.255556,,,,,11.33465571,,,16.8,0.27382312256254,33.399,,,8.72,,,,,70580.0,Latin America and Caribbean
951,Dominica,2006,10.501,0.143253,,390.251852,,,,,7.0703356995,,,17.5,0.19533191393755,33.097,,,8.74,,,,,70718.0,Latin America and Caribbean
952,Dominica,2007,10.4469,0.128217,,421.374074,,,,,9.8874246084,,,18.3,0.111648953406258,32.797,,,7.1,,,,,70797.0,Latin America and Caribbean
953,Dominica,2008,11.5651,0.098054,,458.188889,,,,,9.8829575456,,,19.2,0.0451894433854592,32.498,,,7.29,,,,,70829.0,Latin America and Caribbean
954,Dominica,2009,12.5524,0.087486,,489.074074,,,,,18.349141825,,,20.2,0.0268215731754775,32.201,,,7.42,,,,,70848.0,Latin America and Caribbean
955,Dominica,2010,11.4655,0.101154,,493.825926,,,,,21.16342396,,,21.3,0.0409243258489963,31.906,,,7.44,,,,,70877.0,Latin America and Caribbean
956,Dominica,2011,12.5002,0.063057,,501.025926,,,,,8.4611913357,,,22.5,0.0493691340102498,31.611,,,9.09,,,,,70912.0,Latin America and Caribbean
957,Dominica,2012,12.0185,0.054647,,485.996296,,,,,9.860737676466668,,,23.7,0.0592108062919439,31.315,,,9.49,,,,,70954.0,Latin America and Caribbean
958,Dominica,2013,13.9856,0.042527,,498.296296,,,,,11.260284017233332,,,25.0,0.091566712743407,31.018,,,9.59,,,,,71019.0,Latin America and Caribbean
959,Dominica,2014,13.4542,0.032651,,520.207407,,,,,12.659830358,,,26.2,0.101329964338399,30.72,,,9.92,,,,,71091.0,Latin America and Caribbean
960,Dominica,2015,14.0548,0.021897,,540.737037,,,,,12.644889357,,,27.5,0.118088664559983,30.421,,,9.73,,,,,71175.0,Latin America and Caribbean
961,Dominica,2016,16.2713,0.010504,,576.22963,,,,,22.438189799,,,28.7,0.1852866155223,30.12,,,7.28,,,,,71307.0,Latin America and Caribbean
962,Dominica,2017,13.4486,0.009469,,520.7,,,,,26.588301147,,,29.7,0.214335327593936,29.819,,,6.77,,,,,71460.0,Latin America and Caribbean
963,Dominica,2018,11.1075,0.011128,,554.77037,,,,,26.588301147,,,30.6,0.23202839477624,29.517,,,6.16,,,,,71626.0,Latin America and Caribbean
964,Dominica,2019,13.0477,0.010776,,611.537037,,,,,26.588301147,,,31.2,0.253775391715059,29.214,,,7.57,,,,,71808.0,Latin America and Caribbean
965,Dominica,2020,15.3489,0.010776,,506.614815,,,,,26.588301147,,,31.7,0.254522074272768,28.91,,,7.57,,,,,71991.0,Latin America and Caribbean
