,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1029,El Salvador,2000,6.68649,0.791295,,11784.927669,930542.0,1.25672763832077,24.931,6.772,60.309820259,68.875,0.241689500892577,27.4,0.591095778305081,41.088,0.628,0.774,18.81,24.3,13.2963399887085,,,5887930.0,Latin America and Caribbean
1030,El Salvador,2001,6.68649,0.791295,,12282.5336,869229.0,1.25321571671755,24.04,6.736,60.570261419,69.162,0.237235804431568,26.0,0.591095778305081,40.536,0.628,0.774,17.69,23.547,14.39098978042605,,,5927001.0,Latin America and Caribbean
1031,El Salvador,2002,5.82295,0.791295,,12664.190271,847960.0,1.25075457850005,23.21,6.711,47.550048733,69.432,0.206634323125701,24.7,0.591095778305081,39.986,0.621,0.774,17.78,24.221,15.4856395721436,,,5962139.0,Latin America and Caribbean
1032,El Salvador,2003,5.48842,0.855084,,13243.892169,831580.0,1.15332804340204,22.47,6.701,55.988622098,69.68,0.193675342665054,23.5,0.534217202054578,39.439,0.621,0.771,17.4,24.6,14.0681896209717,,,5994075.0,Latin America and Caribbean
1033,El Salvador,2004,5.72795,0.734052,,13724.810917,958510.0,0.635731141671413,21.835,6.705,64.693372175,69.908,0.182172639724391,22.4,0.494697409468476,38.893,0.632,0.768,18.69,23.7,14.3620047569275,,,6023801.0,Latin America and Caribbean
1034,El Salvador,2005,6.17166,0.63788,,14698.00142,1193031.0,0.665433396771317,21.311,6.72,64.142770373,70.124,0.173236790371042,21.2,0.469082938733706,38.352,0.651,0.775,18.94,22.278,14.6558198928833,,,6052124.0,Latin America and Caribbean
1035,El Salvador,2006,6.04617,0.612826,,15999.886383,1393419.0,1.13930669118889,20.884,6.742,64.595243441,70.333,0.162420696765376,20.2,0.449589963729516,37.813,0.651,0.777,19.48,22.977,15.7517700195313,,,6079395.0,Latin America and Caribbean
1036,El Salvador,2007,6.99311,0.534961,,17011.750854,1441256.0,1.3140180641647,20.525,6.769,57.273318364,70.542,0.154265823980249,19.2,0.433559244636088,37.226,0.651,0.777,18.19,23.377,16.4373302459717,,,6105810.0,Latin America and Caribbean
1037,El Salvador,2008,7.09011,0.570509,,17986.886243,1739436.0,1.29940597458992,20.207,6.797,51.844761877,70.756,0.147353109087215,18.3,0.42421860025302,36.322,0.651,0.778,16.86,23.524,19.4488296508789,,,6131767.0,Latin America and Caribbean
1038,El Salvador,2009,6.66859,0.576005,,17601.61601,1601813.0,1.26554921915613,19.918,6.824,71.163188462,70.978,0.142808432461909,17.4,0.421679553379335,35.43,0.651,0.827,16.06,20.679,18.5469799041748,,,6157678.0,Latin America and Caribbean
1039,El Salvador,2010,6.98171,0.554195,,18447.922436,1729138.0,1.28286401562489,19.654,6.848,64.47411551,71.21,0.134443556991181,16.6,0.424566261779668,34.548,0.651,0.857,17.36,21.479,16.1642208099365,,,6183877.0,Latin America and Caribbean
1040,El Salvador,2011,7.33019,0.504794,,20283.783661,2003843.0,1.26073035709895,19.418,6.87,70.380047426,71.449,0.128909467043463,15.8,0.43067750767237,33.675,0.657,0.857,19.26,21.379,15.872579574585,,,6210567.0,Latin America and Caribbean
1041,El Salvador,2012,6.51436,0.508173,,21386.153018,1792588.0,1.22869703716637,19.213,6.891,41.584360946,71.692,0.123545302430489,15.1,0.439491797451583,32.813,0.652,0.849,16.55,21.1,15.279990196228,,,6237922.0,Latin America and Caribbean
1042,El Salvador,2013,5.61331,0.574113,,21990.962051,1579490.0,1.2032766377694,19.036,6.913,40.104843925,71.935,0.118473401283887,14.4,0.450320730659221,31.964,0.65,0.84,17.04,20.354,15.5589895248413,,,6266076.0,Latin America and Caribbean
1043,El Salvador,2014,5.86687,0.552639,,22593.472396,1805919.0,1.5564465013708,18.881,6.935,62.286302859,72.175,0.114150581222287,13.8,0.462504406912423,31.126,0.652,0.84,17.36,20.218,16.1105804443359,,,6295124.0,Latin America and Caribbean
1044,El Salvador,2015,5.52977,0.58716,,23438.23794,1802003.0,1.55676178543696,18.734,6.959,105.23118846,72.412,0.110496704618855,13.3,0.475379938992478,30.3,0.647,0.84,18.15,20.192,16.6015605926514,,,6325121.0,Latin America and Caribbean
1045,El Salvador,2016,5.73215,0.551805,,24191.43,1890244.0,1.52042554329567,18.587,6.984,83.00639209,72.644,0.107071373618177,12.8,0.489163801354667,29.499,0.649,0.851,18.15,20.195,16.1131992340088,,,6356137.0,Latin America and Caribbean
1046,El Salvador,2017,5.39301,0.587289,,24979.19,1700383.0,1.5309603933256,18.429,7.011,61.708257385,72.872,0.103712092188749,12.3,0.501983868180685,28.725,0.634,0.871,16.62,20.194,15.5920495986938,,,6388124.0,Latin America and Caribbean
1047,El Salvador,2018,5.09113,0.67002,,26020.853736,1695986.0,1.50518618246338,18.253,7.04,52.018926167,73.096,0.103712092188749,11.9,0.509273429616579,27.977,0.628,0.797,16.76,20.194,14.9449996948242,,,6420740.0,Latin America and Caribbean
1048,El Salvador,2019,5.08085,0.61053,,26896.661015,1862643.0,1.50518618246338,18.054,7.07,52.018926167,73.317,0.103712092188749,11.5,0.509699113997832,27.254,0.628,0.719,16.9,20.194,14.9449996948242,,,6453550.0,Latin America and Caribbean
