Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Equatorial Guinea,2000,Sub-Saharan Africa,3.79626,,,1510.819217,5211.0,0.752112967367699,41.136,13.686,,53.279,2.66019218858263,107.1,4.11103855461091,50.908,0.214,0.169,1.41,12.227,,,,606180.0
Equatorial Guinea,2001,Sub-Saharan Africa,3.79626,,,2207.701642,4775.0,0.719841994682167,40.947,13.406,,53.581,2.45724675666879,104.4,4.11774692906339,49.168,0.214,0.169,1.41,14.173,,,,631662.0
Equatorial Guinea,2002,Sub-Saharan Africa,2.95254,,,2716.640964,4463.0,0.986844928046133,40.723,13.148,,53.84,2.28119859998175,101.7,4.14399822360046,47.427,0.22,0.169,1.41,15.075,,,,658388.0
Equatorial Guinea,2003,Sub-Saharan Africa,2.72018,,,3697.915667,6136.0,0.530080001304812,40.468,12.906,,54.064,2.14885241382798,99.0,4.20594042783324,45.693,0.22,0.169,1.45,15.356,,,,686670.0
Equatorial Guinea,2004,Sub-Saharan Africa,2.3374,,,5620.779669,8911.0,0.386492847949849,40.182,12.677,,54.263,2.06192404980207,96.1,4.31508808900031,43.967,0.22,0.1665,1.49,16.417,,,,716949.0
Equatorial Guinea,2005,Sub-Saharan Africa,1.53198,,,8519.677076,12927.0,0.365624028811174,39.859,12.455,,54.449,1.98308472007934,93.2,4.44376325471441,42.26,0.22,0.164,1.46,17.288,,,,749527.0
Equatorial Guinea,2006,Sub-Saharan Africa,1.51826,,,10086.536163,12625.0,0.3479500532922925,39.493,12.232,,54.638,1.89227688308825,90.3,4.55965830504695,40.569,0.224,0.164,1.44,18.147,,,,784494.0
Equatorial Guinea,2007,Sub-Saharan Africa,1.37289,,,13071.717523,16806.0,0.330276077773411,39.082,12.005,,54.842,1.8281129759564,87.4,4.63194029833499,38.9,0.224,0.164,1.47,18.589,,,,821686.0
Equatorial Guinea,2008,Sub-Saharan Africa,0.892713,,,19749.902196,15469.5,0.31251855578925,38.626,11.771,,55.07,1.77192632445556,84.5,4.65491681290194,37.255,0.224,0.168,1.5,18.856,,,,860839.0
Equatorial Guinea,2009,Sub-Saharan Africa,1.05817,,,15027.797585,14133.0,0.389717366337277,38.132,11.526,,55.329,1.72689437551049,81.7,4.62512670461,35.642,0.216,0.178,1.48,20.699,,,,901589.0
Equatorial Guinea,2010,Sub-Saharan Africa,1.06138,,,16298.535261,12841.0,0.368121770219507,37.604,11.273,,55.622,1.69053410576264,79.1,4.55859753598786,34.06,0.205,0.165,1.46,20.431,,,,943640.0
Equatorial Guinea,2011,Sub-Saharan Africa,1.05352,,,21329.355297,14416.0,0.351860194216165,37.049,11.014,,55.945,1.66552347331981,76.7,4.47844612368567,32.512,0.208,0.159,1.47,20.028,,,,986861.0
Equatorial Guinea,2012,Sub-Saharan Africa,1.05567,,,22389.603208,12595.0,0.33576081620402,36.476,10.753,,56.288,1.62635801183303,74.3,4.39405251755149,31.0,0.208,0.159,1.49,20.818,,,,1031191.0
Equatorial Guinea,2013,Sub-Saharan Africa,1.19198,,,21942.553595,12937.0,0.319860424542018,35.899,10.496,,56.642,1.57984596081417,72.1,4.29188431716242,30.456,0.211,0.165,1.46,19.161,,,,1076412.0
Equatorial Guinea,2014,Sub-Saharan Africa,1.29422,,,21736.59987,13840.0,0.304347324856184,35.326,10.245,,57.001,1.5409587409742,69.9,4.17228049316185,29.917,0.211,0.165,1.49,19.486,,,,1122273.0
Equatorial Guinea,2015,Sub-Saharan Africa,1.88843,,,13175.520652,9302.0,0.289672516442207,34.768,10.002,,57.359,1.52686474821808,67.6,4.04289647772825,29.384,0.211,0.159,1.33,19.217,,,,1168575.0
Equatorial Guinea,2016,Sub-Saharan Africa,2.33222,,,11240.814853,9074.0,0.307379872765931,34.234,9.768,,57.713,1.52794929996518,65.6,3.910797910143,28.862,0.215,0.168,2.5,18.394,,,,1215181.0
Equatorial Guinea,2017,Sub-Saharan Africa,2.31548,,,12200.908721,9438.0,0.204379442698136,33.725,9.542,,58.061,1.50331932572322,63.6,3.78110663523236,28.354,0.208,0.1603333333333333,2.94,17.992,,,,1262008.0
Equatorial Guinea,2018,Sub-Saharan Africa,2.21893,,,13097.012124,10528.0,0.28509185856298,33.241,9.323,,58.402,1.50331932572322,61.7,3.65334093213133,27.857,0.234,0.1526666666666666,3.23,17.992,,,,1308966.0
Equatorial Guinea,2019,Sub-Saharan Africa,2.52587,,,11417.277643,8177.0,0.28509185856298,32.783,9.112,,58.735,1.50331932572322,60.0,3.52884025293578,27.373,0.233,0.145,3.85,17.992,,,,1355982.0
Equatorial Guinea,2020,Sub-Saharan Africa,2.99485,,,10021.855908,8959.0,0.28509185856298,32.349,8.908,,59.057,1.50331932572322,58.3,3.40761945937311,26.9,0.232,0.145,3.85,17.992,,,,1402985.0
