Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Eswatini,2000,12.0995,,,1738.093759,,,32.318,14.877,12.730846044,47.49,1.90680685452606,67.8,1.13297439995452,77.314,0.338,0.159,9.79,16.556,,,,1005432.0,Sub-Saharan Africa
Eswatini,2001,12.0995,,,1542.46283,,,32.1,15.989,18.152974325,45.799,1.86633652907051,69.0,0.809894275552992,77.445,0.338,0.166,9.28,17.244,,,,1013608.0,Sub-Saharan Africa
Eswatini,2002,12.5023,,,1432.221789,,,31.998,16.965,13.149450373,44.41,1.83952993377362,69.6,0.535850331354973,77.575,0.338,0.166,9.19,17.232,,,,1019054.0,Sub-Saharan Africa
Eswatini,2003,12.3853,,,2197.598421,,,31.979,17.753,13.19911302,43.372,1.81749030875043,69.8,0.366530762721816,77.704,0.338,0.166,11.4,17.322,,,,1022796.0,Sub-Saharan Africa
Eswatini,2004,9.65943,,,2770.043119,,,32.008,18.308,14.226040084,42.731,1.79248896881781,69.1,0.340738113352496,77.834,0.338,0.166,9.74,17.253,,,,1026287.0,Sub-Saharan Africa
Eswatini,2005,10.9714,,,3178.112337,,,32.022,18.586,13.487616137,42.518,1.75701121399269,68.3,0.416946417604593,77.962,0.338,0.166,12.61,17.484,,,,1030575.0,Sub-Saharan Africa
Eswatini,2006,11.1844,,,3291.32994,,,31.957,18.566,12.257563254,42.733,1.72309275094376,58.8,0.534193957109777,78.09,0.336,0.177,12.62,17.953,,,,1036095.0,Sub-Saharan Africa
Eswatini,2007,10.7541,,,3469.381233,,,31.77,18.28,11.605033707,43.308,1.67219021076802,59.3,0.630766985171411,78.171,0.334,0.177,12.37,17.888,,,,1042651.0,Sub-Saharan Africa
Eswatini,2008,9.99951,,,3294.084181,,,31.442,17.773,20.667690209,44.17,1.61667228509228,61.1,0.697413080694152,77.955,0.332,0.168,13.34,17.675,,,,1049948.0,Sub-Saharan Africa
Eswatini,2009,9.25041,,,3580.427986,,,30.972,17.08,17.683850578,45.275,1.56334419625158,57.9,0.713105835295099,77.738,0.332,0.176,13.33,17.668,,,,1057462.0,Sub-Saharan Africa
Eswatini,2010,10.1563,,,4438.765108,,,30.39,16.233,19.533432691,46.601,1.51263051092187,54.7,0.695379475450237,77.52,0.3365,0.176,13.76,17.947,,,,1064841.0,Sub-Saharan Africa
Eswatini,2011,9.72003,,,4820.478599,,,29.747,15.266,16.044342084,48.141,1.47824263206696,51.5,0.672762228049404,77.3,0.341,0.176,14.28,16.141,,,,1072029.0,Sub-Saharan Africa
Eswatini,2012,10.203,,,4886.677642,,,29.111,14.226,9.6360090245,49.862,1.45064858119825,50.6,0.674567033429102,77.151,0.341,0.176,12.65,16.512,,,,1079285.0,Sub-Saharan Africa
Eswatini,2013,10.1154,,,4597.723865,,,28.53,13.171,9.3849801673,51.699,1.43246811459681,49.5,0.697837862901262,77.001,0.343,0.216,11.66,16.69,,,,1086843.0,Sub-Saharan Africa
Eswatini,2014,9.23565,,,4422.322926,,,28.021,12.153,10.776039203,53.569,1.42457398742133,50.1,0.749729090602264,76.851,0.343,0.216,8.54,16.936,,,,1095022.0,Sub-Saharan Africa
Eswatini,2015,9.32174,,,4058.639148,,,27.579,11.235,10.144578357,55.359,1.41855768474394,45.2,0.819991316155699,76.7,0.343,0.216,8.58,16.936,,,,1104038.0,Sub-Saharan Africa
Eswatini,2016,8.9021,,,3816.015732,,,27.176,10.462,10.412982476,56.962,1.40440731951528,42.6,0.897738794178433,76.541,0.343,0.216,8.22,16.927,,,,1113994.0,Sub-Saharan Africa
Eswatini,2017,8.34299,,,4401.526105,,,26.773,9.843,11.55752804,58.319,1.39128869307163,43.5,0.966059893032549,76.375,0.366,0.226,9.97,16.952,,,,1124808.0,Sub-Saharan Africa
Eswatini,2018,8.57625,,,4665.138448,,,26.342,9.376,11.55752804,59.401,1.39128869307163,39.4,1.014213397419,76.201,0.418,0.197,9.97,16.952,,,,1136274.0,Sub-Saharan Africa
Eswatini,2019,8.55359,,,4471.045112,,,25.881,9.059,11.55752804,60.194,1.39128869307163,37.7,1.03826564467004,76.019,0.422,0.206,9.97,16.952,,,,1148133.0,Sub-Saharan Africa
Eswatini,2020,9.10034,,,3835.240301,,,25.4,8.877,11.55752804,60.721,1.39128869307163,37.4,1.04242295901109,75.829,0.415,0.186,9.97,16.952,,,,1160164.0,Sub-Saharan Africa
