Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Fiji,2000,East Asia and Pacific,12.4891,,,1707.940615,161723.0,1.1578553871703,24.738,6.939,,65.687,0.165646117396829,19.1,0.582325537105146,52.092,0.77,0.636,10.59,3.064,,,,811011.0
Fiji,2001,East Asia and Pacific,12.4891,,,1682.428665,169164.0,1.13826320547927,24.393,6.974,,65.863,0.15668890765559,19.0,0.358414940831578,51.7,0.762,0.636,7.9,3.11,,,,813923.0
Fiji,2002,East Asia and Pacific,12.7754,,,1867.106046,182324.0,1.12238484331508,24.058,7.031,,66.022,0.150931190800752,19.0,0.163763402218504,51.308,0.794,0.672,8.04,3.042,,,,815257.0
Fiji,2003,East Asia and Pacific,12.0001,,,2344.80934,213601.0,1.10818409787482,23.725,7.112,,66.152,0.146540497644655,19.2,0.100653767535693,50.915,0.794,0.672,8.61,2.977,,,,816078.0
Fiji,2004,East Asia and Pacific,11.8229,,,2761.510568,265735.0,0.936972952714098,23.399,7.217,,66.247,0.141971788811558,19.4,0.218612498031826,50.521,0.794,0.672,9.25,3.028,,,,817864.0
Fiji,2005,East Asia and Pacific,11.9275,,,2980.602811,296765.0,1.2302127960584,23.094,7.343,,66.313,0.136738086425374,19.7,0.45648977999864,50.129,0.794,0.672,10.36,2.966,,,,821606.0
Fiji,2006,East Asia and Pacific,12.1221,,,3076.277306,279294.0,1.19830439927503,22.827,7.484,,66.362,0.131549427174742,19.9,0.759396789650427,49.736,0.785,0.663,9.97,2.994,,,,827869.0
Fiji,2007,East Asia and Pacific,12.3391,,,3378.287465,307079.0,1.16354835706972,22.613,7.63,,66.413,0.126040952796081,20.1,0.999495116135123,49.343,0.622,0.21,10.59,2.945,,,,836185.0
Fiji,2008,East Asia and Pacific,10.5658,,,3523.166619,311359.0,1.12833387399331,22.456,7.771,,66.477,0.120984585541235,20.2,1.09079599403503,48.854,0.622,0.224,9.78,2.939,,,,845356.0
Fiji,2009,East Asia and Pacific,9.93461,,,2870.571191,240828.0,0.958336984140892,22.353,7.899,,66.559,0.116929429981432,20.1,0.974703300910947,48.342,0.618,0.191,8.37,2.983,,,,853636.0
Fiji,2010,East Asia and Pacific,9.12649,,,3140.527461,201646.0,0.933007402747307,22.292,8.007,,66.655,0.11291514546248,20.0,0.721353944911169,47.829,0.661,0.214,8.79,2.988,,,,859816.0
Fiji,2011,East Asia and Pacific,9.21672,,,3774.772293,268771.0,0.914418286275627,22.259,8.086,,66.759,0.111235458736175,20.0,0.421873730679218,47.317,0.661,0.214,7.47,3.006,,,,863451.0
Fiji,2012,East Asia and Pacific,9.67591,,,3972.027667,251724.0,0.929654381062675,22.23,8.137,,66.859,0.110630093353016,20.0,0.186749844268206,46.804,0.658,0.22,7.51,2.968,,,,865065.0
Fiji,2013,East Asia and Pacific,10.1142,,,4189.863717,287538.0,0.947900670842846,22.185,8.165,,66.95,0.108999942837545,20.1,0.0620570008249373,46.294,0.687,0.25,7.47,3.066,,,,865602.0
Fiji,2014,East Asia and Pacific,8.09869,,,4857.075446,335324.0,0.968030114033947,22.108,8.174,,67.03,0.108059602154981,20.3,0.0975723050605574,45.784,0.721,0.36,7.1,2.937,,,,866447.0
Fiji,2015,East Asia and Pacific,7.87218,,,4682.442417,288662.0,0.976982297080777,21.983,8.172,,67.103,0.106263134010371,20.6,0.251861863930646,45.274,0.755,0.437,7.04,2.908,,,,868632.0
Fiji,2016,East Asia and Pacific,10.664,,,4930.244731,394270.0,0.982028871648826,21.799,8.17,,67.175,0.103232733816848,21.1,0.433535156741165,44.765,0.751,0.452,7.66,2.921,,,,872406.0
Fiji,2017,East Asia and Pacific,10.5324,,,5353.491805,449060.0,1.1189812794432,21.56,8.18,,67.252,0.10022662711441,21.5,0.577645837253693,44.258,0.778,0.458,7.18,2.899,,,,877460.0
Fiji,2018,East Asia and Pacific,10.7456,,,5581.399255,550877.0,1.12413324874509,21.277,8.208,,67.341,0.10022662711441,22.1,0.684860282111394,43.752,0.749,0.464,7.17,2.899,,,,883490.0
Fiji,2019,East Asia and Pacific,10.6472,,,5496.254429,495708.0,1.12413324874509,20.954,8.257,,67.444,0.10022662711441,22.6,0.729092657357544,43.25,0.743,0.501,8.33,2.899,,,,889955.0
Fiji,2020,East Asia and Pacific,14.8937,,,4494.085849,482828.0,1.12413324874509,20.604,8.327,,67.561,0.10022662711441,23.0,0.726492630179755,42.753,0.711,0.501,8.33,2.899,,,,896444.0
