Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Finland,2000,Europe and Central Asia,2.76434,,1327.728,125706.555412,2002255.0,1.35724665309162,11.0,9.5,2.8527629298,77.4658536585366,0.0090308320107816,3.5,0.2076065154133,17.817,0.99,0.979,11.2,27.952,12.1709203720093,61.42,51.32,5187953.0
Finland,2001,Europe and Central Asia,2.76434,,1330.106,129419.870963,1985561.0,1.35723394189045,10.8,9.4,2.9997259866,77.9658536585366,0.0084448923408028,3.4,0.227687341886374,17.632,0.99,0.979,11.69,27.148,12.6344499588013,61.67,52.23,5200475.0
Finland,2002,Europe and Central Asia,2.67231,,1276.2,139744.733982,2154797.0,1.33035851446603,10.7,9.5,2.531952473,78.119512195122,0.008335942382916,3.3,0.242381050233372,17.497,0.99,0.979,12.09,27.176,12.6825304031372,60.82,52.74,5213368.0
Finland,2003,Europe and Central Asia,2.53577,,1274.455,171267.6618,2470045.0,1.14850295882598,10.9,9.4,1.9704976329,78.3682926829268,0.0077978440891297,3.3,0.238457240068217,17.362,0.99,0.979,12.44,26.721,12.7759704589844,60.29,52.49,5227106.0
Finland,2004,Europe and Central Asia,2.37972,,1254.25,197125.526935,2706445.0,1.18704497407073,11.0,9.1,2.8232556143,78.7146341463415,0.0086361470111525,3.2,0.290350361518584,17.228,0.99,0.979,12.77,26.098,12.7789602279663,59.95,51.69,5242175.0
Finland,2005,Europe and Central Asia,2.27826,,1254.049,204804.009352,2730214.0,1.17965139398644,11.0,9.1,2.2628164306,78.8170731707317,0.0081512765021468,3.1,0.342248594286999,17.095,0.99,0.979,13.16,25.806,12.2496995925903,59.69,51.88,5258933.0
Finland,2006,Europe and Central Asia,2.00119,,1318.714,216896.428799,2749496.0,1.20242348453308,11.2,9.1,2.2548597913,79.2146341463415,0.0075426307873843,3.0,0.383777136305104,16.963,0.99,0.979,13.57,25.717,12.2838201522827,60.46,52.46,5277490.0
Finland,2007,Europe and Central Asia,2.38037,,1341.327,256039.417632,3504365.0,1.18927806361746,11.1,9.3,2.4350001255,79.2634146341464,0.0078558934645176,2.8,0.425429832100631,16.832,0.99,0.979,13.65,25.745,12.1499500274658,61.09,53.25,5297741.0
Finland,2008,Europe and Central Asia,2.20524,,1358.902,284564.517773,4082755.0,1.1769422305262,11.2,9.2,2.5002575453,79.5682926829268,0.0075473228927985,2.7,0.465549284507694,16.701,0.99,0.979,13.74,25.342,12.1154003143311,61.85,53.55,5319452.0
Finland,2009,Europe and Central Asia,2.25368,,1412.605,252481.317677,3282111.0,0.93139053818757,11.3,9.3,2.2462378324,79.719512195122,0.0079022297729562,2.6,0.478246393482911,16.571,0.99,0.979,13.38,23.811,11.8433198928833,58.54,52.64,5342266.0
Finland,2010,Europe and Central Asia,2.41891,,1407.613,249181.190476,3047127.0,0.932198993038461,11.4,9.5,2.2177560632,79.8707317073171,0.0074451835770154,2.5,0.457494535465831,16.23,0.99,0.979,13.32,23.285,11.9454898834229,58.31,51.74,5365784.0
