Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
France,2000,2.10701,,9019.222,1494354.627461,41288456.0,1.42322943624435,13.3,8.9,1.7809003839,79.0560975609756,0.0174513722354848,3.7,0.684945783642239,24.129,0.98,0.969,13.5,26.297,,57.56,43.09,59015092.0,Europe and Central Asia
France,2001,2.10701,,9195.072,1494354.627461,38938221.0,1.36501042242333,13.1,8.8,1.7630974311,79.1585365853659,0.0175864480440355,3.7,0.727789664461319,23.873,0.98,0.969,13.65,26.055,,58.32,43.73,59384126.0,Europe and Central Asia
France,2002,2.01086,,9412.743,1494354.627461,41033055.0,1.30311194152982,12.9,8.8,1.871130009,79.2609756097561,0.0175845279139459,3.7,0.727226637519812,23.62,0.98,0.969,13.86,25.417,,58.05,44.26,59803434.0,Europe and Central Asia
France,2003,1.85016,,4465.684,1840409.841231,46739221.0,1.2723976766668,12.8,9.1,1.6381310163,79.1146341463415,0.0174402884299495,3.6,0.708771177676303,23.368,0.98,0.969,13.75,24.142,,58.27,45.73,60251591.0,Europe and Central Asia
France,2004,1.82269,,4293.823,2115834.435318,50641237.0,1.25598663574086,12.8,8.3,1.631026352,80.1634146341463,0.0171138763395082,3.4,0.736332748710216,23.117,0.98,0.969,13.94,24.331,,57.86,45.19,60697977.0,Europe and Central Asia
France,2005,1.6801,,4418.409,2196071.481868,50108329.0,1.24714390150801,12.8,8.5,1.5968552945,80.1634146341463,0.0172901727508716,3.3,0.753799176960609,22.87,0.98,0.969,13.91,23.775,,57.69,45.78,61120128.0,Europe and Central Asia
France,2006,1.51849,,4541.179,2318474.882627,53489628.0,1.22320731107554,13.1,8.3,1.4290609278,80.8121951219512,0.0173788351372398,3.3,0.697191228293622,22.623,0.98,0.969,14.0,23.793,,57.42,45.93,61508924.0,Europe and Central Asia
France,2007,1.61299,,4664.732,2657076.867804,63786793.0,1.20942296032274,12.8,8.3,1.6049981809,81.1121951219512,0.0173399202044674,3.2,0.618708359125178,22.379,0.98,0.966,13.95,23.316,,57.65,46.78,61869229.0,Europe and Central Asia
France,2008,1.51522,,4723.366,2918490.999002,69794769.0,1.20065752495778,12.9,8.5,1.6412361598,81.2146341463415,0.0180759558038245,3.2,0.558843467315968,22.132,0.98,0.975,13.92,23.196,,57.96,47.3,62209207.0,Europe and Central Asia
France,2009,1.32316,,4611.224,2690060.238351,59155708.0,1.153487074942,12.8,8.5,1.3095015143,81.4146341463415,0.0183075999192736,3.1,0.51448954376938,21.883,0.98,0.975,13.96,22.668,,56.8,46.92,62542883.0,Europe and Central Asia
