Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Guinea-Bissau,2000,38.4767,0.007875,,362.680625,96178.0,1.96162388709483,41.828,15.031,,50.368,6.9286567425923,105.0,2.12492707454135,63.757,0.476,0.662,13.39,5.121,,,,1201305.0,Sub-Saharan Africa
Guinea-Bissau,2001,38.4767,0.007875,,380.098722,87757.0,2.32669230832585,41.529,14.698,,50.744,6.70734164460745,102.1,2.12492707454135,63.378,0.491,0.662,15.14,5.251,,,,1227105.0,Sub-Saharan Africa
Guinea-Bissau,2002,42.5391,0.007875,,408.256132,96845.0,2.26796054150067,41.262,14.371,,51.123,6.47275202958703,99.1,2.20426815172286,62.996,0.537,0.662,12.34,5.359,,,,1254454.0,Sub-Saharan Africa
Guinea-Bissau,2003,42.3456,0.03498,,476.38997,115791.0,2.77541606809542,41.01,14.05,,51.501,6.18154085295756,95.9,2.27321293856526,62.613,0.559,0.667,13.19,5.457,,,,1283297.0,Sub-Saharan Africa
Guinea-Bissau,2004,41.9913,0.029453,,531.109347,154388.0,1.7123385407451,40.765,13.734,,51.883,5.77149388918083,92.6,2.32566919847819,62.228,0.559,0.675,14.03,5.337,,,,1313492.0,Sub-Saharan Africa
Guinea-Bissau,2005,44.3575,0.017704,,586.795628,179661.0,1.66600335051785,40.518,13.417,,52.275,5.30986917954392,89.2,2.36534710953437,61.843,0.559,0.69,13.33,5.252,,,,1344931.0,Sub-Saharan Africa
Guinea-Bissau,2006,42.2597,0.03338,,591.83946,200292.0,1.62233486433675,40.264,13.095,,52.691,4.90267571163072,85.9,2.39870777812616,61.455,0.569,0.681,12.56,5.3,,,,1377582.0,Sub-Saharan Africa
Guinea-Bissau,2007,43.1759,0.047705,,695.990234,303120.0,1.57894736842105,40.0,12.765,,53.136,4.58552418103582,82.5,2.43550607770275,61.066,0.565,0.681,10.68,5.231,,,,1411545.0,Sub-Saharan Africa
Guinea-Bissau,2008,46.6674,0.053871,,864.654881,407670.0,1.02373879645855,39.722,12.427,,53.612,4.36894655690025,79.1,2.47633680500724,60.675,0.559,0.681,10.18,5.236,,,,1446936.0,Sub-Saharan Africa
Guinea-Bissau,2009,43.9998,0.064341,,826.797829,336497.0,1.07105659451104,39.421,12.084,,54.113,4.19102902760474,75.9,2.52390177053107,60.284,0.544,0.681,12.94,5.279,,,,1483920.0,Sub-Saharan Africa
Guinea-Bissau,2010,45.088,0.059274,,849.050091,402503.0,1.04061424922856,39.089,11.741,,54.628,4.03750105876656,72.6,2.57341352656849,59.889,0.564,0.694,5.6,5.311,,,,1522603.0,Sub-Saharan Africa
Guinea-Bissau,2011,45.0227,0.090402,,1098.37843,460024.0,1.01097654064204,38.714,11.404,,55.144,3.90774786616782,69.6,2.61831220530319,59.492,0.562,0.694,2.52,5.385,,,,1562996.0,Sub-Saharan Africa
Guinea-Bissau,2012,46.8923,0.148409,,989.326865,435560.0,0.981460291181769,38.298,11.082,,55.645,3.78110920503231,66.8,2.65074262506761,59.092,0.523,0.683,3.89,5.435,,,,1604981.0,Sub-Saharan Africa
Guinea-Bissau,2013,44.136,0.077476,,1045.790295,399476.0,0.953025449473398,37.841,10.779,,56.117,3.655509259621,64.3,2.66076608274062,58.69,0.638,0.712,4.44,5.578,,,,1648259.0,Sub-Saharan Africa
Guinea-Bissau,2014,41.132,0.02241,,1053.512571,344669.0,0.925377288515422,37.346,10.499,,56.556,3.52958574014168,62.1,2.644755927701,58.285,0.643,0.708,2.6,5.588,,,,1692433.0,Sub-Saharan Africa
Guinea-Bissau,2015,46.7884,0.004659,,1047.436699,352829.0,0.620396691403532,36.819,10.244,,56.959,3.39486923055564,60.0,2.6111512533031,57.877,0.65,0.708,2.5,5.695,,,,1737207.0,Sub-Saharan Africa
Guinea-Bissau,2016,46.3486,0.012296,,1179.004191,371143.0,0.603487206749292,36.265,10.014,,57.328,3.27743203325531,58.1,2.57011948297183,57.467,0.65,0.7,2.36,5.756,,,,1782434.0,Sub-Saharan Africa
Guinea-Bissau,2017,49.1579,0.017598,,1350.177012,457404.0,0.527790129532893,35.697,9.805,,57.673,3.16953758468731,56.3,2.53224925787499,57.055,0.649,0.672,2.75,5.813,,,,1828146.0,Sub-Saharan Africa
Guinea-Bissau,2018,50.0843,0.010664,,1382.453563,511930.0,0.571168199408295,35.125,9.612,,58.003,3.16953758468731,54.6,2.4935051959006,56.64,0.653,0.688,2.75,5.813,,,,1874304.0,Sub-Saharan Africa
Guinea-Bissau,2019,53.2198,0.013146,,1322.269762,496089.0,0.571168199408295,34.559,9.434,,58.322,3.16953758468731,53.0,2.45652856791883,56.223,0.709,0.693,2.75,5.813,,,,1920917.0,Sub-Saharan Africa
Guinea-Bissau,2020,30.8634,0.013146,,1314.998924,550999.0,0.571168199408295,34.006,9.268,,58.634,3.16953758468731,51.4,2.42141061795942,55.804,0.714,0.704,2.75,5.813,,,,1967998.0,Sub-Saharan Africa
