,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1470,Guyana,2000,27.0381,0.630606,,1136.500134,15547.0,1.12639618624053,25.704,7.638,10.1778717,65.242,0.755289449073285,37.0,-0.395350937367065,71.306,0.743,0.665,7.82,21.887,17.6568393707275,,,746718.0,Latin America and Caribbean
1471,Guyana,2001,27.0381,0.585267,,1232.255272,14312.0,1.14027182609015,25.101,7.536,10.735286619,65.532,0.699453203036932,36.2,-0.202691359299226,71.394,0.729,0.665,6.8,22.081,16.5555591583252,,,745206.0,Latin America and Caribbean
1472,Guyana,2002,30.4043,0.471791,,1363.257116,11679.0,1.15604349706887,24.47,7.445,19.200068744,65.828,0.722309156623433,35.4,-0.055973343653804,71.482,0.745,0.676,7.51,25.375,16.9000091552734,,,744789.0,Latin America and Caribbean
1473,Guyana,2003,34.3754,0.258021,,1513.671921,12105.0,1.15880052931018,23.836,7.371,28.048345148,66.122,0.708940188105137,34.7,0.0473847455492804,71.693,0.745,0.718,7.36,25.435,13.8145599365234,,,745142.0,Latin America and Caribbean
1474,Guyana,2004,36.2582,0.244633,,1741.294602,11413.0,0.748999149885965,23.223,7.317,17.566514736,66.412,0.680075931799119,34.0,0.079818688383112,71.936,0.747,0.718,7.35,25.687,11.0807399749756,,,745737.0,Latin America and Caribbean
1475,Guyana,2005,34.6321,0.280825,,1978.251755,12164.0,1.12430714572145,22.664,7.279,19.030872901,66.694,0.676778476992326,33.4,0.0561702496112777,72.178,0.747,0.718,6.28,23.345,13.8234395980835,,,746156.0,Latin America and Caribbean
1476,Guyana,2006,34.0001,0.234412,,2379.817987,11495.0,1.11247492296111,22.188,7.251,20.500177534,66.972,0.653600390363638,32.8,0.0239867444236802,72.418,0.736,0.716,5.7,26.582,13.4816904067993,,,746335.0,Latin America and Caribbean
1477,Guyana,2007,30.3848,0.2204,,2730.969364,46461.0,1.10060643414521,21.804,7.226,15.405699037,67.247,0.597615965174715,32.2,0.0190244987886296,72.657,0.736,0.732,6.61,26.643,11.5261602401733,,,746477.0,Latin America and Caribbean
1478,Guyana,2008,31.7276,0.246937,,3025.188904,52469.0,1.08860125624585,21.513,7.199,21.156511318,67.521,0.53961532208405,31.7,0.0452691109002456,72.895,0.741,0.729,7.02,26.768,10.8826651573181,,,746815.0,Latin America and Caribbean
1479,Guyana,2009,29.4242,0.322758,,3165.661865,77242.0,0.932651780109407,21.309,7.171,15.647610463,67.792,0.511078798907713,31.1,0.12084043776661,73.131,0.741,0.728,7.34,26.456,10.2391700744629,,,747718.0,Latin America and Caribbean
1480,Guyana,2010,28.5286,0.367006,,3432.912791,86526.0,0.921704728345256,21.176,7.143,18.680864123,68.059,0.486406016016419,30.6,0.228701604144641,73.366,0.759,0.728,7.52,25.946,11.8387203216553,,,749430.0,Latin America and Caribbean
1481,Guyana,2011,25.6836,0.481106,,3691.384743,76428.0,0.38586201574317,21.088,7.123,17.286567406,68.321,0.486405710804789,30.0,0.346196945211445,73.6,0.762,0.721,8.55,25.717,11.7207202911377,,,752029.0,Latin America and Caribbean
1482,Guyana,2012,25.44,0.439502,,4063.088529,110536.0,0.381470255723788,21.011,7.117,18.401139547,68.575,0.497922196174221,29.4,0.445663749260621,73.6,0.758,0.728,8.17,25.603,10.1866998672485,,,755388.0,Latin America and Caribbean
1483,Guyana,2013,25.6476,0.438904,,4167.800936,137166.0,0.376912402131268,20.918,7.13,20.414049607,68.819,0.471409356619026,28.8,0.514040832989459,73.6,0.757,0.769,8.75,25.548,14.46119451522825,,,759281.0,Latin America and Caribbean
1484,Guyana,2014,24.594,0.386806,,4127.660158,221274.0,1.15188638334779,20.793,7.162,19.518687506,69.049,0.467269161480801,28.1,0.537221878235554,73.586,0.757,0.765,9.35,25.64,18.735689163208,,,763371.0,Latin America and Caribbean
1485,Guyana,2015,25.443,0.363035,,4279.840194,442276.0,1.13986857985785,20.629,7.213,19.415375674,69.262,0.460316728482047,27.4,0.530702759294195,73.559,0.863,0.837,10.77,25.499,17.8026790618896,,,767433.0,Latin America and Caribbean
1486,Guyana,2016,20.3873,0.424472,,4482.697337,389971.0,1.12916670818015,20.427,7.283,18.40897217,69.454,0.451284441979243,26.6,0.510790065048753,73.518,0.874,0.861,10.0,25.57,18.7175102233887,,,771363.0,Latin America and Caribbean
1487,Guyana,2017,22.758,0.425312,,4748.174334,671915.0,0.986907033357458,20.202,7.365,14.834536866,69.624,0.446441592492075,25.9,0.498520023687447,73.462,0.868,0.873,10.55,25.353,17.6357307434082,,,775218.0,Latin America and Caribbean
1488,Guyana,2018,19.5357,0.479265,,4787.637006,870015.0,1.10867275567135,19.967,7.456,14.248909188,69.774,0.446441592492075,25.2,0.487575158848574,73.394,0.848,0.864,10.61,25.353,15.9973802566528,,,779007.0,Latin America and Caribbean
1489,Guyana,2019,17.5953,0.433871,,5173.764988,730111.0,1.10867275567135,19.723,7.551,14.248909188,69.906,0.446441592492075,24.5,0.482526666451711,73.311,0.833,0.835,10.34,25.353,15.9973802566528,,,782775.0,Latin America and Caribbean
1490,Guyana,2020,16.8511,0.433871,,5471.270983,667917.0,1.10867275567135,19.473,7.65,14.248909188,70.023,0.446441592492075,23.8,0.482243720375381,73.214,0.855,0.836,10.34,25.353,15.9973802566528,,,786559.0,Latin America and Caribbean
