Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
India,2000,21.156,0.470467,,476148.034907,95003339.0,0.597727171660936,26.401,8.692,4.5587842811,62.505,1.3209400075577,66.7,1.76812551036934,72.333,0.728,0.891,3.29,15.984,,,,1056575548.0,South Asia
India,2001,21.156,0.454129,,490658.804656,94126834.0,0.578453622662131,25.944,8.555,4.3181391573,62.907,1.23888240254361,64.4,1.72876856952673,72.082,0.728,0.891,3.18,15.779,,,,1075000094.0,South Asia
India,2002,19.0405,0.512459,,512774.618109,89338866.0,0.57260347418051,25.489,8.427,4.1832325096,63.304,1.15374188651752,62.1,1.68956166096073,71.756,0.724,0.891,2.87,16.546,,,,1093317187.0,South Asia
India,2003,19.138,0.524858,,599470.430509,108209894.0,0.564823877636922,25.034,8.306,3.988311009,63.699,1.07258235002152,60.0,1.65149126857663,71.428,0.713,0.897,2.75,16.998,,,,1111523146.0,South Asia
India,2004,17.8147,0.613711,,703128.958274,124835309.0,0.597284922589261,24.571,8.189,4.1155306524,64.095,0.998534707827735,57.8,1.61530829494259,71.097,0.713,0.89,2.81,18.298,,,,1129623466.0,South Asia
India,2005,17.6202,0.612531,,823611.578011,141629431.0,0.678489507778798,24.087,8.074,3.9294710735,64.5,0.921805829580586,55.7,1.57970914338086,70.765,0.717,0.891,3.03,18.981,,,,1147609924.0,South Asia
India,2006,16.8094,0.678608,,939066.417429,162891164.0,0.572977503223463,23.564,7.958,3.8577030332,64.918,0.851671707928284,53.6,1.5456964390645,70.431,0.717,0.905,2.95,19.828,,,,1165486291.0,South Asia
India,2007,16.7501,0.705801,,1184724.488414,229195378.0,0.566550681909616,22.996,7.839,3.8338097447,65.35,0.783803408013228,51.5,1.50922198555755,70.094,0.717,0.905,2.96,20.699,,,,1183209471.0,South Asia
India,2008,16.7909,0.675494,,1267470.121376,234343144.0,0.564452299527623,22.39,7.72,3.8311117225,65.794,0.71697879191304,49.4,1.46488991482359,69.754,0.717,0.905,2.97,21.315,,,,1200669762.0,South Asia
India,2009,16.7443,0.649016,,1315230.229768,227845433.0,0.570457147797953,21.755,7.602,3.763079037,66.244,0.652477820512578,47.2,1.41058271379931,69.413,0.717,0.905,3.19,21.797,,,,1217726217.0,South Asia
India,2010,17.0265,0.685256,,1669619.794642,308794672.0,0.567140993268504,21.114,7.492,3.7641342502,66.693,0.591636997017842,45.1,1.35033831370532,69.07,0.723,0.902,3.11,22.455,,,,1234281163.0,South Asia
India,2011,17.192,0.657959,,1871918.500922,348988890.0,0.570809711867251,20.495,7.393,3.8103222877,67.13,0.537493103630749,43.0,1.28851296178524,68.724,0.723,0.902,3.38,24.598,,,,1250287939.0,South Asia
India,2012,16.8454,0.579238,,1860877.235564,336664112.0,0.587119611304827,19.923,7.312,3.75088806,67.545,0.490994455295343,40.9,1.23148489388617,68.366,0.723,0.889,3.44,24.766,,,,1265780243.0,South Asia
India,2013,17.1484,0.713638,,1917053.695705,306939260.0,0.586120653545098,19.416,7.251,3.5818622233,67.931,0.452158124117317,38.8,1.18290421490412,67.997,0.7246666666666667,0.882,3.24,24.138,,,,1280842119.0,South Asia
India,2014,16.7919,0.677085,,2042939.289738,327886836.0,0.580947281519871,18.984,7.212,3.6551383088,68.286,0.417570710009899,36.9,1.14567340150608,67.616,0.7263333333333333,0.846,3.25,24.106,,,,1295600768.0,South Asia
India,2015,16.1745,0.720282,,2146758.593732,325785602.0,0.586386423624844,18.625,7.194,3.386857916,68.607,0.38945010375612,34.9,1.11689591278599,67.223,0.728,0.675,3.38,24.183,,,,1310152392.0,South Asia
India,2016,16.3638,0.727291,,2290591.030769,340402083.0,0.619519640840416,18.332,7.195,3.2221550908,68.897,0.364669980461471,33.1,1.09045932094686,66.818,0.728,0.65,3.39,24.328,,,,1324517250.0,South Asia
India,2017,16.3578,0.753371,,2624329.038245,392375343.0,0.625542834090968,18.083,7.21,3.124876793,69.165,0.346716328493853,31.4,1.06335942989132,66.4,0.715,0.591,3.4,24.481,,,,1338676779.0,South Asia
India,2018,15.4067,0.791466,,2761338.202695,389583571.0,0.620653686202205,17.857,7.234,3.0792324418,69.416,0.346716328493853,29.8,1.03782784787162,65.97,0.732,0.575,3.13,24.481,,,,1352642283.0,South Asia
India,2019,16.0428,0.743104,,2889949.137794,407768370.0,0.620653686202205,17.644,7.265,3.0792324418,69.656,0.346716328493853,28.3,1.01326124930492,65.528,0.732,0.558,3.39,24.481,,,,1366417756.0,South Asia
India,2020,18.319,0.743104,,2664748.748048,403454686.0,0.620653686202205,17.437,7.301,3.0792324418,69.887,0.346716328493853,27.0,0.989413800188014,65.074,0.732,0.524,3.39,24.481,,,,1380004385.0,South Asia
