,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1617,Iraq,2000,6.00188,,,23643.118767,1341454.0,8.42661988573222,35.821,5.627,,69.082,0.40977239499095,35.6,3.00468935302498,31.504,0.125,0.048,1.34,18.669,,,,23497589.0,Middle East and North Africa
1618,Iraq,2001,6.00188,,,24733.102824,1341454.0,7.9582015486967,35.47,5.616,,68.983,0.389051240130587,34.9,2.97926898180147,31.45,0.125,0.048,1.34,18.557,,,,24208178.0,Middle East and North Africa
1619,Iraq,2002,7.35922,,,24390.082339,1341454.0,7.12856465360621,35.104,5.627,,68.827,0.370241473467024,34.3,2.94584804720206,31.396,0.148,0.048,1.34,18.658,,,,24931922.0,Middle East and North Africa
1620,Iraq,2003,8.64637,,,23145.237199,1341454.0,6.9101701869345,34.742,5.653,,68.636,0.664406725861727,33.7,2.81802502251722,31.342,0.421,0.269,1.34,18.864,,,,25644503.0,Middle East and North Africa
1621,Iraq,2004,6.93857,,,36638.237233,1522541.0,2.78185169684406,34.396,5.686,,68.437,0.590645267739311,33.1,2.57657198487226,31.288,0.371,0.627,2.98,17.818,,,,26313838.0,Middle East and North Africa
1622,Iraq,2005,6.88687,,,49954.890353,2125913.0,3.43710253770214,34.092,5.716,,68.266,0.606737302098272,32.4,2.28591989338176,31.234,0.346,0.637,3.2,18.328,,,,26922279.0,Middle East and North Africa
1623,Iraq,2006,5.82604,,,64805.393085,2230290.0,7.35631773942585,33.854,5.728,,68.157,0.742237389766957,31.8,1.93436637394105,31.181,0.333,0.637,3.2,17.7,,,,27448124.0,Middle East and North Africa
1624,Iraq,2007,4.9295,,,88840.049181,2809267.0,5.29486162932253,33.681,5.716,,68.13,0.655082868246521,31.1,1.67317235579873,31.127,0.333,0.637,4.42,22.326,,,,27911242.0,Middle East and North Africa
1625,Iraq,2008,3.84778,,,123638.472958,2290104.0,8.29733030162018,33.558,5.677,,68.19,0.433646855923028,30.3,1.68573244240896,31.073,0.333,0.641,4.16,18.218,,,,28385739.0,Middle East and North Africa
1626,Iraq,2009,5.22994,,,128635.819786,3271854.0,9.28979971130115,33.464,5.608,,68.34,0.363781298135531,29.5,2.04829094840914,31.02,0.341,0.635,4.96,18.055,,,,28973157.0,Middle East and North Africa
1627,Iraq,2010,5.16228,,,138516.72265,4047897.0,11.017164066086,33.349,5.514,,68.567,0.339082739376558,28.7,2.61896343035427,30.897,0.344,0.618,4.81,18.757,,,,29741977.0,Middle East and North Africa
1628,Iraq,2011,4.56378,,,185749.664444,5527377.0,10.558401817982,33.152,5.401,,68.848,0.320455411548773,27.9,3.25271672235618,30.732,0.341,0.612,4.82,18.542,,,,30725305.0,Middle East and North Africa
1629,Iraq,2012,4.12425,,,218000.992454,5990029.0,10.0757502032667,32.834,5.281,,69.148,0.306351283264627,27.1,3.72062751428444,30.568,0.341,0.601,2.35,18.961,,,,31890012.0,Middle East and North Africa
1630,Iraq,2013,4.76845,,,234637.675129,7342335.0,2.08670690157159,32.378,5.164,,69.437,0.33496776417858,26.3,3.89628381431623,30.405,0.31,0.611,2.38,19.879,,,,33157061.0,Middle East and North Africa
1631,Iraq,2014,4.92941,,,228415.656175,6501041.0,2.30083519216598,31.791,5.057,,69.7,0.394808665342512,25.5,3.71481632582884,30.242,0.263,0.622,2.37,20.101,,,,34411949.0,Middle East and North Africa
1632,Iraq,2015,4.19187,,,166774.104911,3182086.0,2.20173798243477,31.109,4.965,,69.929,0.346482408239329,24.8,3.3162514919462,30.079,0.282,0.615,1.68,20.716,,,,35572269.0,Middle East and North Africa
1633,Iraq,2016,3.97719,,,166602.488748,3102247.0,2.12951463470724,30.388,4.889,,70.122,0.319300416090456,24.1,2.87723163897077,29.906,0.339,0.643,1.68,20.876,,,,36610632.0,Middle East and North Africa
1634,Iraq,2017,2.92323,,,187217.652027,2855745.0,2.13183861186094,29.693,4.826,,70.294,0.314870726323741,23.4,2.54089597268518,29.722,0.336,0.583,5.0,21.034,,,,37552789.0,Middle East and North Africa
1635,Iraq,2018,2.48077,,,227367.469034,2835345.0,3.30592531029208,29.075,4.776,,70.454,0.314870726323741,22.7,2.31845313270607,29.527,0.357,0.63,6.19,21.034,,,,38433604.0,Middle East and North Africa
1636,Iraq,2019,3.29297,,,235097.208122,5092306.0,3.30592531029208,28.556,4.736,,70.604,0.314870726323741,22.0,2.25413907484826,29.322,0.312,0.614,5.99,21.034,,,,39309789.0,Middle East and North Africa
1637,Iraq,2020,6.06998,,,166756.984396,6267473.0,3.30592531029208,28.139,4.707,,70.748,0.314870726323741,21.3,2.29530432997508,29.107,0.285,0.55,5.99,21.034,,,,40222503.0,Middle East and North Africa
