,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1638,Ireland,2000,1.99515,2.700503,1020.116,99958.730042,3882312.0,0.615412607396189,14.4,7.5,0.97803518019,76.5365853658537,0.0134843972329558,6.0,1.33304266586712,40.845,0.965,0.975,14.81,28.515,13.3974103927612,68.09,45.14,3783095.0,Europe and Central Asia
1639,Ireland,2001,1.99515,2.700503,1053.201,109251.079475,4006983.0,0.550790778188685,15.0,7.5,1.3533726176,77.1341463414634,0.0128399746349024,5.8,1.59215149039299,40.601,0.965,0.975,15.43,28.981,12.5937204360962,68.45,45.88,3842253.0,Europe and Central Asia
1640,Ireland,2002,1.73585,2.700503,1085.619,127991.793638,3864266.0,0.538036627483936,15.4,7.5,1.3306055919,77.6341463414634,0.0123200294133698,5.5,1.68514885730282,40.351,0.965,0.975,15.87,27.685,12.3696603775024,67.52,46.96,3907995.0,Europe and Central Asia
1641,Ireland,2003,1.48044,2.700503,1117.71,164301.626079,4802290.0,0.520907942543854,15.4,7.3,0.9296302559,78.1390243902439,0.011422325468814,5.1,1.62895096193019,40.075,0.965,0.975,16.72,27.78,12.7479200363159,67.17,47.17,3980077.0,Europe and Central Asia
1642,Ireland,2004,1.5748,2.356474,1159.838,194023.76664,5443166.0,0.488628873177842,15.2,7.0,0.7392565691,78.5390243902439,0.0126018992354101,4.7,1.82831381790901,39.798,0.965,0.975,17.18,27.637,13.5298204421997,67.47,47.54,4058131.0,Europe and Central Asia
1643,Ireland,2005,1.03401,2.993154,1243.407,211792.724059,5038809.0,0.462659449796129,14.8,6.8,1.2556692258,78.9439024390244,0.0135864272373074,4.4,2.17870301355631,39.523,0.965,0.975,18.07,27.601,13.5624198913574,69.01,49.74,4141218.0,Europe and Central Asia
1644,Ireland,2006,0.921164,3.070109,1308.422,231974.370212,5129447.0,0.445554171367263,15.3,6.7,1.4655065843,79.2414634146342,0.0134950036835364,4.1,2.69600564359576,39.262,0.965,0.975,17.26,27.825,13.429759979248,70.09,50.8,4230619.0,Europe and Central Asia
1645,Ireland,2007,1.04291,2.357125,1423.245,269722.531357,6330603.0,0.429630590729173,16.2,6.4,1.8036145824,79.6414634146341,0.0130764893374777,3.9,2.36735682738389,39.06,0.965,0.976,17.2,27.351,13.1224203109741,70.05,52.21,4324649.0,Europe and Central Asia
1646,Ireland,2008,0.848503,2.930855,1412.043,274337.074019,6786847.0,0.425796996172511,16.7,6.3,1.154925042,80.0951219512195,0.0147898879360012,3.8,2.03870801117202,38.859,0.965,0.976,17.25,25.799,13.021369934082,67.36,51.78,4415871.0,Europe and Central Asia
1647,Ireland,2009,0.557451,4.349197,1287.454,235495.27957,5154001.0,0.452850904251473,16.7,6.3,1.1792001552,80.190243902439,0.0150822000831793,3.6,1.01566327592341,38.658,0.966,0.976,17.18,21.386,13.0517797470093,59.86,49.29,4494572.0,Europe and Central Asia
1648,Ireland,2010,0.952933,2.656818,1242.145,221659.743015,5872186.0,0.459995153779546,16.5,6.1,1.2076419583,80.7439024390244,0.0126501351598297,3.5,0.544884384079014,38.458,0.966,0.976,12.29,19.478,9.28400993347168,56.98,47.76,4554330.0,Europe and Central Asia
1649,Ireland,2011,1.21045,1.882873,1225.323,238662.833378,7538271.0,0.395036214612079,16.2,6.2,0.91481045454,80.7463414634146,0.0143922387584791,3.5,0.436072439258428,38.258,0.966,0.976,16.37,18.876,12.5687599182129,55.88,47.06,4591115.0,Europe and Central Asia
1650,Ireland,2012,0.989526,2.524296,803.562,225509.709142,6912610.0,0.416479028387834,15.6,6.3,1.1284234904,80.8463414634146,0.0134701489407412,3.4,0.4237438032978,38.058,0.966,0.978,17.98,18.263,13.7161102294922,55.64,46.79,4608199.0,Europe and Central Asia
1651,Ireland,2013,1.08346,2.510552,824.735,238211.547168,7682503.0,0.413032569053745,14.9,6.4,1.1049900919,80.9487804878049,0.0120693030356282,3.3,0.526556158855653,37.859,0.97,0.974,17.82,18.22,13.2143402099609,57.61,47.3,4615426.0,Europe and Central Asia
1652,Ireland,2014,1.24408,2.482672,828.815,258625.193038,8188107.0,0.401336140628184,14.4,6.3,1.1238742886,81.3487804878049,0.0115358629346159,3.3,0.731001376585771,37.66,0.969,0.974,17.86,18.232,13.0170097351074,58.93,47.7,4626852.0,Europe and Central Asia
1653,Ireland,2015,0.895432,4.024293,887.4,291462.799653,6698347.0,0.398582971834638,13.9,6.4,0.66631989373,81.4536585365854,0.0119043557575576,3.2,0.944845307474728,37.462,0.971,0.974,17.97,20.359,13.0119895935059,60.38,48.61,4652420.0,Europe and Central Asia
1654,Ireland,2016,0.944383,4.175713,916.355,298725.229188,6560555.0,0.391941172644918,13.4,6.4,0.78793983547,81.6536585365854,0.0113526425718866,3.1,1.12883406399428,37.263,0.971,0.974,19.11,18.08,13.4112195968628,61.39,49.78,4695790.0,Europe and Central Asia
1655,Ireland,2017,1.15917,3.735819,897.404,335430.830073,8032454.0,0.383923829512225,12.9,6.3,0.86256209132,82.1560975609756,0.0088711113425238,3.0,1.08867556062,37.053,0.974,0.974,19.62,17.723,13.468939781189,61.39,49.78,4753281.0,Europe and Central Asia
1656,Ireland,2018,0.888877,5.41134,897.113,385041.711267,8287689.0,0.362604683762604,12.5,6.4,0.8716054599,82.2048780487805,0.0088711113425238,2.8,1.23887545258946,36.83,0.968,0.974,19.85,17.723,13.468939781189,61.39,49.78,4818694.0,Europe and Central Asia
1657,Ireland,2019,0.916771,5.596218,941.403,399122.063647,8104654.0,0.362604683762604,12.0,6.3,0.8716054599,82.7024390243903,0.0088711113425238,2.7,1.36762695363797,36.595,0.976,0.9735,20.32,17.723,13.468939781189,61.39,49.78,4882498.0,Europe and Central Asia
1658,Ireland,2020,0.929475,5.596218,967.841,399122.063647,8454771.0,0.362604683762604,12.0,6.4,0.8716054599,82.2048780487805,0.0088711113425238,2.6,1.03496745513795,36.347,0.976,0.973,20.32,17.723,13.468939781189,61.39,49.78,4937796.0,Europe and Central Asia
