,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1659,Israel,2000,1.4862,1.75966,,132454.51864,1923615.0,6.52058391196742,21.7,6.0,2.5899986697,78.9536585365854,0.0203011885048833,5.6,2.01405839404727,8.797,0.919,0.87,9.43,23.793,12.95934009552,62.43,47.76,5945949.0,Middle East and North Africa
1660,Israel,2001,1.4862,0.817873,,130817.722825,1991566.0,6.04954275686306,21.2,5.8,3.184461675,79.4073170731707,0.0204200854783804,5.4,2.01405839404727,8.733,0.919,0.875,9.36,23.231,12.9230098724365,61.78,47.68,6060679.0,Middle East and North Africa
1661,Israel,2002,1.5272,0.698897,,121147.704274,1988615.0,5.9249554579676,21.2,5.8,3.3715272256,79.4512195121951,0.0210363740831907,5.2,2.01405839404727,8.67,0.919,0.872,8.73,22.395,12.5676498413086,59.99,46.87,6169311.0,Middle East and North Africa
1662,Israel,2003,1.43591,0.542999,,127045.576985,2098006.0,5.96964011598158,21.7,5.8,2.7236351323,79.6487804878049,0.0182336407755415,4.9,1.80551975888109,8.607,0.919,0.872,9.27,22.405,13.5619096755981,59.6,47.15,6278374.0,Middle East and North Africa
1663,Israel,2004,1.36974,0.57633,,135571.706499,2308090.0,5.84555641393713,21.3,5.6,2.4857301113,80.1463414634146,0.0168843158528196,4.7,1.76762364154994,8.544,0.919,0.872,9.59,22.191,13.4424495697021,60.64,47.57,6396511.0,Middle East and North Africa
1664,Israel,2005,1.60786,0.557175,,142656.89284,2576039.0,5.70404436190865,20.8,5.6,2.5882652038,80.1512195121951,0.0167176417338024,4.5,1.76289766113006,8.482,0.919,0.872,9.6,21.598,13.1957702636719,61.57,49.22,6529470.0,Middle East and North Africa
1665,Israel,2006,1.54292,0.614248,,154145.208819,2649813.0,5.83416772443807,21.0,5.5,2.2901993985,80.5536585365854,0.0159568612390105,4.3,1.76780587358185,8.42,0.919,0.872,9.86,21.439,13.4257698059082,62.39,49.74,6680641.0,Middle East and North Africa
1666,Israel,2007,1.47846,0.653023,,179162.581215,3267025.0,5.67184020249389,21.1,5.6,1.971623806,80.5048780487805,0.0140450050544611,4.1,1.7761008691798,8.35899999999999,0.919,0.866,9.91,21.786,13.305290222168,63.72,50.87,6847148.0,Middle East and North Africa
1667,Israel,2008,1.53103,0.609122,,216710.134344,4304677.0,5.56098294130908,21.5,5.4,1.7091991377,80.9512195121951,0.0132085491647419,3.9,1.7765791059698,8.298,0.919,0.866,9.98,21.595,13.1729402542114,64.66,51.89,7020832.0,Middle East and North Africa
1668,Israel,2009,1.8175,0.45731,,207951.499457,4120359.0,5.40966763740717,21.5,5.2,2.0027713348,81.4048780487805,0.0130500727197073,3.8,1.8016657579241349,8.23699999999999,0.919,0.866,10.1,20.563,13.0576496124268,62.54,52.13,7190037.0,Middle East and North Africa
1669,Israel,2010,1.54337,0.525389,,234654.671401,4385666.0,5.28024344912197,21.8,5.2,2.041803615,81.6024390243903,0.0121315024396761,3.7,1.82675240987847,8.17400000000001,0.916,0.859,10.73,20.22,13.7137899398804,63.42,52.95,7346446.0,Middle East and North Africa
1670,Israel,2011,1.56698,0.531131,,262293.79256,4687731.0,5.20845680663883,21.4,5.3,1.9633783196,81.6560975609756,0.0120378762981376,3.5,1.84807786159597,8.108,0.916,0.859,10.77,20.015,13.993049621582,64.27,53.18,7487095.0,Middle East and North Africa
1671,Israel,2012,1.27285,0.623459,,258417.195711,4527398.0,5.06494383540058,21.6,5.3,1.6809048941,81.7048780487805,0.0116218184910241,3.4,1.84615132126711,8.04000000000001,0.916,0.861,10.82,17.82,14.1083498001099,64.63,54.07,7614946.0,Middle East and North Africa
1672,Israel,2013,1.26324,0.5931,,294167.323577,5137616.0,4.966210923726,21.3,5.2,1.6419227614,82.0560975609756,0.0111179462642059,3.3,1.86605289478673,7.96899999999999,0.91,0.846,10.9,18.56,14.5855197906494,65.11,54.59,7734834.0,Middle East and North Africa
