Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Italy,2000,Europe and Central Asia,2.48963,1.505149,2675.849,1143828.954127,30263907.0,2.16103995892177,9.5,9.8,1.3511564153,79.7780487804878,0.0049191307640975,4.7,0.045303631138613,32.778,0.953,0.949,11.81,31.788,9.22249984741211,56.53,30.38,56692178.0
Italy,2001,Europe and Central Asia,2.48963,1.505149,2658.444,1167002.353446,29296954.0,2.0620619106529,9.4,9.6,1.2465901627,80.1268292682927,0.0046387785607525,4.5,0.0561676014374784,32.718,0.953,0.931,12.2,31.736,9.82544040679932,56.85,31.5,56875148.0
Italy,2002,Europe and Central Asia,2.37138,1.603279,2700.852,1270770.111571,29144489.0,1.99064460418899,9.4,9.8,1.1262182722,80.2292682926829,0.0043968157393697,4.3,0.148916429490753,32.618,0.953,0.92,12.63,31.595,9.50514030456543,57.42,32.13,57182521.0
Italy,2003,Europe and Central Asia,2.35796,1.64266,2833.616,1574085.122752,35813431.0,1.89474343618208,9.5,10.2,1.2490317615,79.9829268292683,0.004275028836789,4.1,0.444507312655549,32.499,0.953,0.92,12.51,31.767,9.64083957672119,57.87,32.88,57564589.0
Italy,2004,Europe and Central Asia,2.34703,1.713642,3576.697,1803305.333606,42667954.0,1.81518022577742,9.8,9.5,1.2321302077,80.7804878048781,0.0039112407160403,3.9,0.647182705470772,32.38,0.953,0.92,13.28,30.838,9.38801002502441,58.01,34.52,57948421.0
Italy,2005,Europe and Central Asia,2.0336,1.995775,3258.324,1857478.112719,39092286.0,1.82706107372479,9.6,9.8,1.0466495299,80.7829268292683,0.0037814162544692,3.8,0.491389107503214,32.262,0.953,0.92,13.68,30.684,9.0137300491333,57.31,34.24,58281209.0
Italy,2006,Europe and Central Asia,1.94584,1.998519,3264.441,1947819.927261,40360988.0,1.80364636627155,9.6,9.6,1.0675982911,81.2829268292683,0.0035454630001967,3.7,0.30055968851778,32.144,0.953,0.932,13.72,30.051,9.52719020843506,57.54,34.84,58542619.0
Italy,2007,Europe and Central Asia,1.89629,1.925529,3234.625,2210179.192828,45430400.0,1.78842813164636,9.7,9.8,1.0740816406,81.4341463414634,0.0034427048204807,3.6,0.504933687397673,32.026,0.953,0.948,13.48,30.131,8.80193042755127,57.49,34.97,58747862.0
Italy,2008,Europe and Central Asia,1.87462,2.082342,3237.084,2398945.461193,50750634.0,1.7645702304213,9.8,9.9,1.043750703,81.4853658536585,0.0032533005470038,3.5,0.662469252941527,31.908,0.953,0.931,13.86,29.715,9.20516967773438,57.07,35.38,58922116.0
Italy,2009,Europe and Central Asia,1.80274,2.282264,3256.988,2191109.883225,43981482.0,1.33409362294034,9.6,10.0,0.99821299571,81.6365853658537,0.0032125899584442,3.4,0.455613449577732,31.791,0.953,0.916,13.71,29.329,8.8671703338623,55.57,34.7,59105622.0
