,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1701,Jamaica,2000,6.12101,0.615893,,9005.069387,1687751.0,0.248920514701246,21.372,6.52,33.412463489,74.142,0.21665561868813,18.9,0.675804506977749,48.186,0.849,0.9,11.84,17.214,16.7966003417969,,,2654698.0,Latin America and Caribbean
1702,Jamaica,2001,6.12101,0.492973,,9194.725544,1714160.0,0.247833521962181,20.838,6.632,42.584119526,74.139,0.214244618034226,18.4,0.675804506977749,47.947,0.849,0.9,8.2,17.346,19.9911499023438,,,2674706.0,Latin America and Caribbean
1703,Jamaica,2002,5.5445,0.423883,,9719.001964,1547603.0,0.246828663060774,20.334,6.743,38.806569859,74.14,0.206363599497282,18.0,0.675804506977749,47.749,0.849,0.9,8.67,17.419,18.3639297485352,,,2692843.0,Latin America and Caribbean
1704,Jamaica,2003,5.21387,0.274988,,9430.240115,1570847.0,0.245937925267662,19.881,6.844,35.985322417,74.142,0.202739464864454,17.6,0.614372047606307,47.563,0.849,0.9,6.14,17.466,13.3623399734497,,,2709438.0,Latin America and Caribbean
1705,Jamaica,2004,4.98218,0.217323,,10174.661928,1783091.0,0.162588539621608,19.485,6.931,53.981314612,74.146,0.200805248343018,17.3,0.57334333162701,47.375,0.849,0.9,7.65,18.376,11.7330198287964,,,2725017.0,Latin America and Caribbean
1706,Jamaica,2005,5.18621,0.26736,,11243.85905,1649810.0,0.242117853286266,19.144,7.005,61.094890511,74.148,0.198362424422655,17.0,0.548325377212091,47.189,0.849,0.909,7.43,18.006,14.2693700790405,,,2740000.0,Latin America and Caribbean
1707,Jamaica,2006,5.15583,0.290509,,11930.186772,1859120.0,0.239874881261934,18.845,7.068,48.649186361,74.143,0.191588429381959,16.7,0.524679540592904,47.002,0.849,0.914,6.26,18.009,15.721210002899149,,,2754414.0,Latin America and Caribbean
1708,Jamaica,2007,4.61749,0.240178,,12799.597772,2019243.0,0.237800629537533,18.566,7.127,57.220699588,74.129,0.189204294131269,16.5,0.50030497413499,46.816,0.849,0.914,8.23,18.381,17.1730499267578,,,2768229.0,Latin America and Caribbean
1709,Jamaica,2008,4.89912,0.380435,,13709.404612,1908932.0,0.235701557830163,18.291,7.187,58.198283241,74.103,0.186224911509644,16.2,0.491523841970547,46.629,0.849,0.914,8.36,18.2,19.1193809509277,,,2781869.0,Latin America and Caribbean
1710,Jamaica,2009,5.47232,0.418376,,12120.459316,1577533.0,0.220303926002792,18.016,7.249,60.196599303,74.071,0.182626841720439,15.8,0.500923648630643,46.443,0.849,0.914,7.45,16.6,17.5528392791748,,,2795839.0,Latin America and Caribbean
1711,Jamaica,2010,5.26899,0.341273,,13220.545746,1524570.0,0.218195331853512,17.742,7.31,51.486160292,74.038,0.179106965151038,15.4,0.521735381598588,46.257,0.851,0.914,9.03,15.932,16.1029396057129,,,2810464.0,Latin America and Caribbean
