Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Japan,2000,1.38261,,,4968359.152796,71539619.0,0.367605970624543,9.4,7.7,0.53166392742,81.0760975609756,0.0120577184413577,3.3,0.167275578113187,21.351,0.973,0.929,15.31,31.667,9.72432994842529,72.66,47.09,127524168.0,East Asia and Pacific
Japan,2001,1.38261,,,4374709.98422,61924617.0,0.372929369218892,9.3,7.7,0.54575141372,81.4170731707317,0.0113019501758093,3.1,0.240952587521069,20.01,0.973,0.929,16.08,30.873,9.45740032196045,71.74,46.84,127713824.0,East Asia and Pacific
Japan,2002,1.39211,,,4182845.406489,56969776.0,0.375299577193243,9.3,8.1,0.51761989459,81.5634146341463,0.0106585684111138,3.0,0.232527187105684,18.353,0.973,0.929,16.12,29.984,9.61713027954102,70.57,46.06,127893075.0,East Asia and Pacific
Japan,2003,1.3148,,,4519563.042184,63029533.0,0.375914388264123,9.2,8.4,0.54428305693,81.76,0.0103015273542381,2.9,0.213980948779682,16.804,0.973,0.929,16.4,29.626,9.67133045196533,70.06,45.93,128058368.0,East Asia and Pacific
Japan,2004,1.24233,,,4893135.49052,68981455.0,0.376188000957646,8.69,8.05,0.54522401972,82.030243902439,0.010036406588331,2.8,0.0336622582725446,15.36,0.973,0.929,17.22,28.716,9.63943004608154,69.82,46.12,128204183.0,East Asia and Pacific
Japan,2005,1.12536,,,4831466.523976,67044841.0,0.407594987127116,8.41,8.53,0.50106714444,81.9251219512195,0.0098193678559734,2.8,0.0093920965576633,14.022,0.973,0.929,17.78,28.255,9.68995952606201,69.94,46.32,128326115.0,East Asia and Pacific
Japan,2006,1.09429,,,4601662.66103,60848099.0,0.377258814697117,8.65,8.53,0.48200186353,82.3219512195122,0.0093468074384421,2.7,0.0633735894181335,12.882,0.973,0.929,17.9,28.486,9.6221399307251,70.02,46.58,128422740.0,East Asia and Pacific
Japan,2007,1.0609,,,4579749.785985,58367082.0,0.360440053814594,8.63,8.71,0.44671329139,82.5070731707317,0.008942289980173,2.6,0.114908847726211,11.854,0.973,0.929,18.27,28.267,9.77482032775879,70.25,46.64,128494050.0,East Asia and Pacific
Japan,2008,1.05841,,,5106679.413138,66925874.0,0.360669320586783,8.7,9.1,0.50879640523,82.5875609756098,0.0088330550968441,2.5,0.0484253945978966,10.897,0.973,0.929,18.13,27.68,9.75986957550049,69.78,46.55,128538644.0,East Asia and Pacific
Japan,2009,1.08261,,,5289493.7349,71639654.0,0.389134122104741,8.5,9.1,0.39360524953,82.9314634146342,0.0085611557352618,2.4,-0.0124946312294096,10.011,0.973,0.931,18.08,27.585,9.48557996749878,68.21,46.21,128555196.0,East Asia and Pacific
