Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Kyrgyzstan,2001,Europe and Central Asia,34.5336,0.105761,,1527.209964,546636.0,0.671274486534953,,,,,,,,,0.623,0.448,7.13,15.937,13.7213897705078,,,4962839.0
Kyrgyzstan,2002,Europe and Central Asia,34.3968,0.075646,,1605.696848,531062.0,0.744149998174726,,,,,,,,,0.623,0.455,7.56,14.594,15.1464700698853,,,4991478.0
Kyrgyzstan,2003,Europe and Central Asia,33.6144,0.084696,,1921.528579,608218.0,0.731106753081339,,,,,,,,,0.611,0.461,8.07,15.0,15.9395303726196,,,5013538.0
Kyrgyzstan,2004,Europe and Central Asia,29.8977,0.065328,,2212.211701,619625.0,0.766201672392897,,,,,,,,,0.611,0.461,8.21,17.618,16.2438106536865,,,5038995.0
Kyrgyzstan,2005,Europe and Central Asia,28.4768,0.070136,,2460.246796,727461.0,0.778698949794683,,,,,,,,,0.608,0.543,13.07,17.6,16.7684001922607,,,5075340.0
Kyrgyzstan,2006,Europe and Central Asia,28.6737,0.113868,,2834.168893,952862.0,0.881820514252529,,,,,,,,,0.587,0.588,14.46,19.5,19.0526008605957,,,5124379.0
Kyrgyzstan,2007,Europe and Central Asia,26.8742,0.45487,,3802.570572,1343742.0,0.876374081528663,,,,,,,,,0.574,0.539,10.43,20.259,21.8514595031738,,,5184384.0
Kyrgyzstan,2008,Europe and Central Asia,23.4801,0.488196,,5139.958956,1688012.0,0.873342105569594,,,,,,,,,0.569,0.514,10.39,20.621,21.2062397003174,,,5254969.0
Kyrgyzstan,2009,Europe and Central Asia,18.7565,0.652159,,4690.061344,1517391.0,0.846094217568151,,,,,,,,,0.56,0.486,10.7,22.817,19.1530094146729,,,5334708.0
Kyrgyzstan,2010,Europe and Central Asia,17.4482,0.727697,,4794.361821,1239365.0,0.833568966390826,,,,,,,,,0.613,0.652,9.2,23.541,15.6813097000122,,,5422298.0
Kyrgyzstan,2011,Europe and Central Asia,16.5653,0.768592,,6197.765942,1777276.0,0.819595071823045,,,,,,,,,0.67,0.774,9.88,23.583,18.1725292205811,,,5517927.0
Kyrgyzstan,2012,Europe and Central Asia,16.6542,0.909292,,6605.142864,1671218.0,0.817188846333646,,,,,,,,,0.651,0.787,10.4,21.707,18.1950092315674,,,5621583.0
Kyrgyzstan,2013,Europe and Central Asia,14.6378,1.185053,,7335.033799,2036477.0,0.823845979571043,,,,,,,,,0.65,0.735,10.35,20.208,17.7737903594971,,,5731312.0
Kyrgyzstan,2014,Europe and Central Asia,14.7186,1.24433,,7468.102369,2020947.0,0.813470107964231,,,,,,,,,0.651,0.721,7.14,20.432,14.197190284729,,,5844521.0
Kyrgyzstan,2015,Europe and Central Asia,14.0607,1.339397,,6678.177483,1809933.0,0.801444170966899,,,,,,,,,0.643,0.767,7.12,20.904,15.6386404037476,,,5959126.0
Kyrgyzstan,2016,Europe and Central Asia,12.8344,1.613366,,6813.095396,1488374.0,0.800508244253901,,,,,,,,,0.658,0.75,6.42,20.984,16.510570526123,,,6074327.0
Kyrgyzstan,2017,Europe and Central Asia,12.5146,1.589284,,7702.938395,2050493.0,0.829857809791848,,,,,,,,,0.674,0.739,6.34,20.992,15.7302598953247,,,6189727.0
Kyrgyzstan,2018,Europe and Central Asia,11.6753,1.585365,,8271.106196,1917359.0,0.827328930940598,,,,,,,,,0.6835,0.759,7.33,19.82875,14.700520038604726,,,6304025.0
Kyrgyzstan,2019,Europe and Central Asia,12.0898,1.56463,,8871.019823,1805049.0,0.7782662558814243,,,,,,,,,0.693,0.687,7.09,18.6655,13.67078018188475,,,6415851.0
Kyrgyzstan,2020,Europe and Central Asia,13.5068,0.8245075,,7735.934995,1620841.0,0.7292035808222507,,,,,,,,,0.631,0.646,7.074999999999999,17.50225,12.641040325164774,,,6524191.0
Kyrgyzstan,2000,Europe and Central Asia,13.5068,0.084385,,1370.076479,433377.0,0.680140905763077,,,,,,,,,0.642,0.46,7.06,16.339,11.6113004684448,,,4920712.0
