Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Lesotho,2000,Sub-Saharan Africa,8.2687,,,822.09882,,0.222814413418775,30.952,16.21,,47.691,2.17125602508965,70.0,0.645178333843277,80.452,0.789,0.689,7.69,9.377,,,,2032805.0
Lesotho,2001,Sub-Saharan Africa,8.2687,,,752.958073,,0.222455058516803,30.96,17.244,,46.197,2.18465432276115,70.5,0.144179403195988,79.933,0.789,0.689,9.03,10.411,,,,2035738.0
Lesotho,2002,Sub-Saharan Africa,6.45535,,,700.042059,,0.223074117490907,30.935,18.209,,44.898,2.20958343083313,71.2,-0.290537570598001,79.403,0.789,0.689,7.87,11.596,,,,2029832.0
Lesotho,2003,Sub-Saharan Africa,6.29689,,,1033.046679,,0.224251197221079,30.851,19.054,,43.845,2.23229384886111,72.2,-0.567020779918575,78.863,0.803,0.689,8.05,12.289,,,,2018355.0
Lesotho,2004,Sub-Saharan Africa,6.05816,,,1315.577563,,0.225412561340393,30.695,19.734,,43.083,2.22987439758836,73.0,-0.616356365474055,78.311,0.792,0.689,8.23,13.379,,,,2005953.0
Lesotho,2005,Sub-Saharan Africa,5.70018,,,1458.54598,,0.226223871142883,30.469,20.204,,42.658,2.19716134753271,74.0,-0.491646809435697,77.751,0.804,0.689,5.85,14.059,,,,1996115.0
Lesotho,2006,Sub-Saharan Africa,5.03864,,,1523.029996,,0.22716095375798,30.188,20.433,,42.595,2.169984348825,74.5,-0.310182163213837,77.18,0.811,0.689,7.29,16.355,,,,1989933.0
Lesotho,2007,Sub-Saharan Africa,4.8309,,,1682.131788,,0.227376855537252,29.887,20.434,,42.854,2.12651645944592,73.8,-0.151224902520221,76.696,0.814,0.687,9.83,18.168,,,,1986926.0
Lesotho,2008,Sub-Saharan Africa,4.84046,,,1766.902643,,0.227057280875533,29.59,20.236,,43.384,2.07783870840823,73.69999999999999,0.0102665891058898,76.204,0.82,0.687,8.3,21.57,,,,1987130.0
Lesotho,2009,Sub-Saharan Africa,5.42734,,,1740.894928,,0.226433123543044,29.306,19.858,,44.146,2.03377709688353,73.6,0.151108893764884,75.707,0.817,0.683,7.53,20.494,,,,1990135.0
Lesotho,2010,Sub-Saharan Africa,4.78784,,,2234.320198,,0.225623369166085,29.042,19.325,,45.1,1.9975057376555,70.9,0.27297537342346,75.202,0.838,0.7,8.64,20.158,,,,1995575.0
Lesotho,2011,Sub-Saharan Africa,4.46968,,,2578.971918,,0.224538713280904,28.797,18.669,,46.207,1.97041359131043,69.0,0.41096551086715,74.69,0.843,0.7,8.96,19.954,,,,2003793.0
Lesotho,2012,Sub-Saharan Africa,4.80131,,,2478.315271,,0.223173187973197,28.559,17.936,,47.416,1.94733089646912,70.2,0.557135557161302,74.296,0.838,0.698,8.35,20.209,,,,2014988.0
Lesotho,2013,Sub-Saharan Africa,4.95083,,,2365.677209,,0.221550677501972,28.318,17.177,,48.663,1.92613541988496,71.0,0.669716682610783,73.899,0.793,0.6993333333333333,7.86,20.507,,,,2028528.0
Lesotho,2014,Sub-Saharan Africa,3.86749,,,2441.063149,,0.218513084017188,28.068,16.433,,49.891,1.89574377846503,71.9,0.732817028859017,73.498,0.79,0.7006666666666667,9.85,19.498,,,,2043448.0
Lesotho,2015,Sub-Saharan Africa,3.7618,,,2359.686745,,0.215534892943819,27.799,15.75,,51.038,1.86133829660451,72.6,0.758719326998128,73.092,0.743,0.702,10.29,19.8,,,,2059011.0
Lesotho,2016,Sub-Saharan Africa,5.57631,,,2131.522808,,0.213143947830887,27.501,15.157,,52.059,1.8022051876762,72.9,0.775514209299446,72.683,0.728,0.674,9.44,20.257,,,,2075041.0
Lesotho,2017,Sub-Saharan Africa,5.39882,,,2304.459267,,0.210383697788026,27.17,14.656,,52.947,1.73446994046862,73.1,0.791589928337923,72.27,0.731,0.684,10.75,19.962,,,,2091532.0
Lesotho,2018,Sub-Saharan Africa,4.37983,,,2512.815653,,0.207732639783293,26.808,14.246,,53.705,1.73446994046862,72.1,0.799793018141496,71.847,0.753,0.735,9.36,19.962,,,,2108327.0
Lesotho,2019,Sub-Saharan Africa,4.37752,,,2453.706774,,0.207732639783293,26.415,13.926,,54.331,1.73446994046862,71.4,0.800269955388003,71.415,0.775,0.779,8.76,19.962,,,,2125267.0
Lesotho,2020,Sub-Saharan Africa,6.36809,,,2273.495416,,0.207732639783293,25.998,13.689,,54.836,1.73446994046862,69.9,0.796017062223488,70.972,0.843,0.786,8.76,19.962,,,,2142252.0
