Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Liberia,2000,Sub-Saharan Africa,75.2873,0.185213,,644.944279,,1.23493075743243,42.914,14.973,,51.734,4.97206536895371,127.9,3.6361876600404,55.669,0.175,0.388,4.96,5.283,,,,2848447.0
Liberia,2001,Sub-Saharan Africa,75.2873,0.185213,,637.808642,,1.19178715634817,42.468,14.532,,52.236,5.05492586469111,119.7,3.6361876600404,55.327,0.175,0.388,6.38,6.064,,,,2953928.0
Liberia,2002,Sub-Saharan Africa,76.3354,0.105844,,686.682868,,1.16386163081844,41.958,14.053,,52.826,5.56448897233881,111.9,2.36850293947216,54.983,0.165,0.388,3.69,6.075,,,,3024727.0
Liberia,2003,Sub-Saharan Africa,76.4431,0.119929,,529.063491,,1.13780917119704,41.406,13.512,,53.554,4.86284418291489,104.3,1.71521312569623,54.639,0.184,0.436,5.42,6.146,,,,3077055.0
Liberia,2004,Sub-Saharan Africa,71.5368,0.111316,,643.917921,,1.1119991383601548,40.821,12.913,,54.422,4.73319550871906,97.2,1.88647940352331,54.294,0.739,0.78,5.69,6.53,,,,3135654.0
Liberia,2005,Sub-Saharan Africa,57.2052,0.18564,,706.232558,,1.08618910552327,40.213,12.276,,55.393,4.59436070539946,90.7,2.59577089044564,53.949,0.79,0.838,4.49,6.799,,,,3218114.0
Liberia,2006,Sub-Saharan Africa,54.5731,0.130133,,815.419829,,0.139993476304004,39.588,11.637,,56.4,4.34629831464543,85.3,3.39398653084424,53.604,0.826,0.91,6.33,5.785,,,,3329211.0
Liberia,2007,Sub-Saharan Africa,54.373,0.08969,,949.0,,0.134633534251444,38.95,11.036,,57.365,4.12466453052289,80.8,3.90854097587244,53.258,0.826,0.91,4.77,6.544,,,,3461911.0
Liberia,2008,Sub-Saharan Africa,53.1335,0.09604,,1101.0,,0.129132898413731,38.309,10.501,,58.229,3.95648875499139,77.2,4.12948815641383,52.912,0.826,0.91,6.34,6.686,,,,3607863.0
Liberia,2009,Sub-Saharan Africa,57.4026,0.05619,,1155.0,,0.126462062621038,37.674,10.044,,58.971,3.80042333154838,74.2,3.97406706153879,52.555,0.826,0.91,4.06,9.032,,,,3754129.0
Liberia,2010,Sub-Saharan Africa,49.4582,0.063796,,1292.0,,0.121809443456235,37.053,9.662,,59.6,3.65847803224475,71.8,3.59016390667023,52.187,0.832,0.907,3.17,10.644,,,,3891357.0
Liberia,2011,Sub-Saharan Africa,48.4395,0.095534,,1538.0,,0.118456574397663,36.451,9.338,,60.146,3.5352226061205,69.9,3.18884373580466,51.807,0.832,0.907,5.05,10.039,,,,4017446.0
Liberia,2012,Sub-Saharan Africa,55.8247,0.080442,,1734.0,,0.114920427414296,35.872,9.046,,60.663,3.4338982087108,68.3,2.90010350523034,51.417,0.825,0.909,2.84,11.419,,,,4135662.0
Liberia,2013,Sub-Saharan Africa,64.9793,0.08467,,1936.0,,0.111685884810992,35.316,8.763,,61.186,3.34297473327801,66.9,2.68801998464313,51.015,0.795,0.864,1.03,11.486,,,,4248337.0
Liberia,2014,Sub-Saharan Africa,79.6883,0.085297,,2053.0,,0.108503383717718,34.789,8.485,,61.723,3.27419874083992,66.0,2.58315947137196,50.603,0.795,0.845,2.51,11.521,,,,4359508.0
Liberia,2015,Sub-Saharan Africa,59.5208,0.118256,,2669.0,,0.105415638435673,34.297,8.213,,62.269,3.31944672179407,64.4,2.55277350982765,50.18,0.795,0.855,3.25,11.593,,,,4472229.0
Liberia,2016,Sub-Saharan Africa,64.4164,0.068377,,2757.0,,0.100048608982706,33.843,7.957,,62.802,3.13199191028845,63.1,2.52930549204178,49.746,0.79,0.862,3.9,11.643,,,,4586788.0
Liberia,2017,Sub-Saharan Africa,64.1701,0.076945,,2763.0,,0.0949564363609085,33.426,7.729,,63.295,3.08034672596234,62.0,2.48555913100141,49.303,0.846,0.87,4.25,11.693,,,,4702224.0
Liberia,2018,Sub-Saharan Africa,64.4851,0.08448,,2744.956787,,0.096982907917038,33.042,7.538,,63.73,3.08034672596234,60.8,2.45258690738409,48.849,0.823,0.834,5.29,11.693,,,,4818976.0
Liberia,2019,Sub-Saharan Africa,67.663,0.057667,,2582.242493,,0.096982907917038,32.687,7.381,,64.104,3.08034672596234,59.5,2.4272153554856,48.385,0.775,0.836,4.05,11.693,,,,4937374.0
Liberia,2020,Sub-Saharan Africa,42.5973,0.057667,,2480.889253,,0.096982907917038,32.355,7.257,,64.423,3.08034672596234,58.1,2.40736760615038,47.911,0.777,0.861,4.05,11.693,,,,5057677.0
