,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
1974,Liechtenstein,2000,0.152439,,,2747.178267,,,12.9,7.3,0.0,79.2756097560976,,,1.0760365786224,84.87,,,,,,75.1,50.58,33184.0,Europe and Central Asia
1975,Liechtenstein,2001,0.152439,,,2755.926673,,,12.1,6.6,0.0,79.2756097560976,,,1.0760365786224,85.038,,,,,,74.42,50.31,33543.0,Europe and Central Asia
1976,Liechtenstein,2002,0.154589,,,2973.606261,,,11.7,6.4,0.0,79.6365853658537,,,1.01442407547354,85.094,,,,,,73.0,49.42,33885.0,Europe and Central Asia
1977,Liechtenstein,2003,0.142044,,,3396.302748,,,10.2,6.4,0.0,79.9609756097561,,,0.843415670129601,85.15,,,,,,71.63,49.5,34172.0,Europe and Central Asia
1978,Liechtenstein,2004,0.157351,,,3820.531355,,,10.8,6.300000000000001,2.9032632679,81.7707317073171,,,0.79282215445468,85.205,,,,,,70.07,49.45,34444.0,Europe and Central Asia
1979,Liechtenstein,2005,0.134715,,,4046.135188,,,11.0,6.2,0.0,80.6682926829268,,,0.792346761243869,85.261,,,,,,69.58,49.35,34718.0,Europe and Central Asia
1980,Liechtenstein,2006,0.119697,,,4424.104115,,,10.3,6.3,0.0,80.9487804878049,,,0.73752361051874,85.316,,,,,,70.26,49.82,34975.0,Europe and Central Asia
1981,Liechtenstein,2007,0.118681,,,5089.173411,,,10.0,6.4,0.0,81.2951219512195,,,0.689540001294995,85.371,,,,,,70.67,50.9,35217.0,Europe and Central Asia
1982,Liechtenstein,2008,0.125892,,,5620.107027,,,9.9,6.4,2.8193633877,82.6829268292683,,,0.713015498459127,85.426,,,,,,70.25,51.34,35469.0,Europe and Central Asia
1983,Liechtenstein,2009,0.12794,,,4981.831948,,,11.4,6.4,0.0,81.5,,,0.713566349468843,85.481,,,,,,68.88,50.89,35723.0,Europe and Central Asia
1984,Liechtenstein,2010,0.112426,,,5621.057217,,,9.1,6.6,2.7780864541,81.8414634146342,,,0.76130821279276,85.536,,,,,,68.55,50.77,35996.0,Europe and Central Asia
1985,Liechtenstein,2011,0.121476,,,6348.10371,,,10.9,6.8,0.0,81.7926829268293,,,0.838237151027754,85.59,,,,,,69.3,52.93,36299.0,Europe and Central Asia
1986,Liechtenstein,2012,0.114905,,,6034.435862,,,9.7,6.1,0.0,82.3829268292683,,,0.866779983105325,85.633,,,,,,68.84,52.39,36615.0,Europe and Central Asia
1987,Liechtenstein,2013,0.116529,,,6391.711429,,,9.2,6.7,0.0,82.2609756097561,,,0.883698225806073,85.666,,,,,,67.89,51.9,36940.0,Europe and Central Asia
1988,Liechtenstein,2014,0.123144,,,6657.45023,,,10.0,7.2,2.6867997528,82.0731707317073,,,0.752440880642089,85.687,,,,,,67.25,51.78,37219.0,Europe and Central Asia
1989,Liechtenstein,2015,0.110419,,,6268.51314,,,8.7,6.7,0.0,82.6560975609756,,,0.658778023875938,85.697,,,,,,66.5,52.1,37465.0,Europe and Central Asia
1990,Liechtenstein,2016,0.115519,,,6237.299538,,,10.0,7.2,0.0,82.2585365853659,,,0.505858373704087,85.697,,,,,,66.4,51.9,37655.0,Europe and Central Asia
1991,Liechtenstein,2017,0.134898,,,6474.31091,,,8.9,6.6,2.6451527576,83.7463414634147,,,0.397562145691811,85.685,,,,,,66.4,51.9,37805.0,Europe and Central Asia
1992,Liechtenstein,2018,0.13756,,,6839.261671,,,9.9,7.2,2.6372698982,83.0414634146342,,,0.298456436961338,85.662,,,,,,66.4,51.9,37918.0,Europe and Central Asia
1993,Liechtenstein,2019,0.129325,,,6684.164863,,,9.2,6.8,2.6372698982,84.1609756097561,,,0.26864036804366,85.629,,,,,,66.4,51.9,38020.0,Europe and Central Asia
1994,Liechtenstein,2020,0.129325,,,6871.700089,,,9.1,6.8,2.6372698982,81.8073170731707,,,0.307260244097371,85.584,,,,,,66.4,51.9,38137.0,Europe and Central Asia
