Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Maldives,2000,6.19195,0.962383,,886.230585,99.0,,21.385,4.635,,70.173,0.375083650460667,31.7,2.12480729442437,72.294,0.348,0.109,8.84,19.994,,,,279396.0,South Asia
Maldives,2001,6.19195,0.740027,,887.119092,99.0,,20.439,4.423,,70.964,0.311486001600547,28.5,2.44415168389787,71.141,0.348,0.114,9.08,20.746,,,,286309.0,South Asia
Maldives,2002,6.01207,1.003658,,913.325489,99.0,,19.823,4.246,,71.708,0.277194979731008,25.5,2.71371739764331,69.958,0.325,0.125,8.63,22.349,,,,294185.0,South Asia
Maldives,2003,5.31118,1.36267,,1052.121056,121.0,,19.492,4.102,,72.399,0.246967297540171,22.8,2.84706244965545,68.748,0.325,0.182,8.21,23.947,,,,302681.0,South Asia
Maldives,2004,5.58431,1.188054,,1226.829565,935.0,,19.398,3.985,,73.034,0.22129333508093,21.4,2.79651937486891,67.51,0.326,0.239,9.66,24.508,,,,311265.0,South Asia
Maldives,2005,7.72848,0.873818,,1163.362434,335.0,,19.471,3.889,,73.612,0.18625150048333,18.3,2.64380900695878,66.25,0.374,0.394,7.7,27.389,,,,319604.0,South Asia
Maldives,2006,6.59535,1.219895,,1575.200391,1106.0,,19.629,3.809,,74.138,0.175387218212067,16.5,2.43717372666094,65.206,0.37,0.427,8.51,25.366,,,,327489.0,South Asia
Maldives,2007,6.16523,1.585932,,1868.38346,438.0,,19.787,3.738,,74.621,0.175071752895644,15.1,2.31893661743828,64.8,0.37,0.456,11.29,22.45,,,,335172.0,South Asia
Maldives,2008,6.87562,1.017251,,2271.646188,991.0,,19.865,3.671,,75.073,0.180755315882611,13.8,2.43918844796484,64.39,0.49,0.711,18.06,20.931,,,,343448.0,South Asia
Maldives,2009,5.41937,1.188076,,2345.294879,1094.0,,19.812,3.603,,75.499,0.178416078507185,12.8,2.85393752892743,63.979,0.601,0.839,15.76,18.01,,,,353391.0,South Asia
Maldives,2010,5.63407,1.087338,,2588.176058,8294.0,,19.585,3.529,,75.905,0.168286704228119,11.9,3.43202635768944,63.566,0.589,0.825,13.6,16.117,,,,365730.0,South Asia
Maldives,2011,5.38577,0.926985,,2774.350161,4699.0,,19.168,3.445,,76.293,0.155566169819855,11.1,3.9572424041097,63.151,0.594,0.818,12.28,18.649,,,,380493.0,South Asia
Maldives,2012,5.19063,0.759486,,2886.163937,3823.0,,18.603,3.353,,76.664,0.149687020907251,10.4,4.30501951635701,62.733,0.502,0.734,14.36,20.725,,,,397231.0,South Asia
Maldives,2013,5.41334,0.707838,,3295.00923,2647.0,,17.939,3.256,,77.018,0.142465104463449,9.7,4.51860343118191,62.315,0.433,0.576,15.74,21.397,,,,415592.0,South Asia
Maldives,2014,5.30739,0.514589,,3697.304619,4249.0,,17.2,3.157,,77.36,0.13558614224729,9.1,4.56833997812784,61.894,0.428,0.574,14.62,23.007,,,,435018.0,South Asia
Maldives,2015,5.56475,0.487944,,4109.416452,7402.0,,16.421,3.058,,77.691,0.127953159162877,8.4,4.47209805541824,61.471,0.379,0.51,18.5,23.115,,,,454914.0,South Asia
Maldives,2016,5.67558,0.497148,,4379.134275,4824.0,,15.641,2.965,,78.013,0.125220073306477,7.7,4.42690070801571,61.046,0.357,0.429,20.46,22.906,,,,475505.0,South Asia
Maldives,2017,5.35146,0.449976,,4754.185598,4155.0,,14.891,2.883,,78.325,0.119214767981501,7.1,4.30006271362034,60.62,0.348,0.426,21.51,22.752,,,,496398.0,South Asia
Maldives,2018,5.23585,0.392665,,5300.958485,4028.0,,14.199,2.814,,78.627,0.119214767981501,6.5,3.81549331609073,60.192,0.38,0.454,17.83,22.752,,,,515703.0,South Asia
Maldives,2019,5.2331,0.340249,,5607.747339,10896.0,,13.584,2.764,,78.921,0.119214767981501,6.0,2.91480812041913,59.762,0.692,0.796,19.15,22.752,,,,530957.0,South Asia
Maldives,2020,7.84428,0.340249,,3742.777384,7635.0,,13.055,2.734,,79.208,0.119214767981501,5.5,1.78913012096883,59.331,0.702,0.808,19.15,22.752,,,,540542.0,South Asia
