Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Mauritania,2000,Sub-Saharan Africa,24.8691,,,1779.520861,,2.76251573099236,38.14,9.286,,60.706,4.51781433763486,69.1,2.64405351470381,61.909,0.568,0.619,2.51,7.983,,,,2630217.0
Mauritania,2001,Sub-Saharan Africa,24.8691,,,1746.063579,,2.69236700883253,37.984,9.244,,60.788,4.48928553257232,68.9,2.70757649852556,61.384,0.568,0.648,2.42,8.057,,,,2702405.0
Mauritania,2002,Sub-Saharan Africa,24.2299,,,1777.057504,,2.64594901371292,37.824,9.189,,60.892,4.45397279201263,68.6,2.76240436522738,60.52,0.576,0.657,3.58,7.956,,,,2778097.0
Mauritania,2003,Sub-Saharan Africa,24.1786,,,2051.147606,,2.5860615032888,37.66,9.121,,61.018,4.41125225113034,68.3,2.80584635663688,59.649,0.568,0.657,2.61,7.883,,,,2857150.0
Mauritania,2004,Sub-Saharan Africa,22.918,,,2437.301154,,2.44098908877877,37.492,9.039,,61.17,4.34057875788324,67.8,2.83284613778509,58.771,0.582,0.697,2.96,8.713,,,,2939246.0
Mauritania,2005,Sub-Saharan Africa,20.0701,,,2936.811964,,2.50361235496931,37.325,8.943,,61.349,4.28196603874175,67.0,2.8492846490887,57.889,0.582,0.745,3.84,9.007,,,,3024198.0
Mauritania,2006,Sub-Saharan Africa,16.6071,,,3919.577286,,2.44794331962097,37.161,8.835,,61.552,4.23160608561259,66.1,2.85901105328559,57.002,0.67,0.871,3.56,9.037,,,,3111908.0
Mauritania,2007,Sub-Saharan Africa,18.4326,,,4346.212411,,2.39001111924221,37.003,8.717,,61.776,4.20025705604651,65.0,2.8699458957185,56.11,0.67,0.88,3.89,9.115,,,,3202512.0
Mauritania,2008,Sub-Saharan Africa,18.5593,,,5206.437123,,2.33301967179968,36.845,8.593,,62.015,4.17478857275667,63.8,2.88460129476346,55.212,0.703,0.871,4.48,8.833,,,,3296237.0
Mauritania,2009,Sub-Saharan Africa,19.1781,,,4714.59549,,2.26172504489313,36.683,8.464,,62.266,4.16692991921888,62.5,2.90532113394912,54.314,0.703,0.867,4.48,9.152,,,,3393408.0
Mauritania,2010,Sub-Saharan Africa,16.733,,,5628.878865,,2.20612408205894,36.502,8.33,,62.527,4.15007489816432,61.2,2.926972491675,53.412,0.7,0.865,4.22,9.201,,,,3494200.0
Mauritania,2011,Sub-Saharan Africa,14.5159,,,6764.627665,,2.15117664719774,36.288,8.191,,62.799,4.11393743311678,60.0,2.94532125452222,52.507,0.7,0.865,4.4,9.036,,,,3598646.0
Mauritania,2012,Sub-Saharan Africa,16.086,,,6728.208835,,2.09845107136747,36.032,8.047,,63.079,4.031879336284,58.8,2.95452101978226,51.6,0.7,0.865,4.17,9.737,,,,3706555.0
Mauritania,2013,Sub-Saharan Africa,16.2826,,,7223.071177,,2.0339280662563,35.729,7.9,,63.366,3.95924333178032,57.5,2.94920984544727,50.694,0.463,0.801,5.39,9.614,,,,3817497.0
Mauritania,2014,Sub-Saharan Africa,18.8143,,,6581.015977,,1.97135344523561,35.381,7.751,,63.654,3.87274209142536,56.2,2.92719086716152,49.797,0.388,0.786,5.24,9.647,,,,3930894.0
Mauritania,2015,Sub-Saharan Africa,20.6296,,,6166.86396,,1.91072821197078,34.991,7.606,,63.936,3.77581782096629,55.0,2.89369909323781,48.911,0.397,0.775,5.53,9.558,,,,4046304.0
Mauritania,2016,Sub-Saharan Africa,21.7392,,,6398.747532,,1.85510599016838,34.569,7.468,,64.208,3.6899262411686,53.8,2.85598806457222,48.038,0.397,0.775,5.76,9.488,,,,4163532.0
Mauritania,2017,Sub-Saharan Africa,20.8564,,,6800.135962,,1.81364534942469,34.132,7.339,,64.464,3.59394500922156,52.6,2.81923462214867,47.176,0.363,0.653,6.07,9.5,,,,4282582.0
Mauritania,2018,Sub-Saharan Africa,20.0364,,,7352.533586,,1.74222724325336,33.694,7.222,,64.704,3.59394500922156,51.5,2.78008863129266,46.328,0.408,0.686,6.98,9.5,,,,4403312.0
Mauritania,2019,Sub-Saharan Africa,18.7164,,,7889.655285,,1.74222724325336,33.262,7.118,,64.925,3.59394500922156,50.2,2.74148343597351,45.493,0.508,0.728,6.98,9.5,,,,4525698.0
Mauritania,2020,Sub-Saharan Africa,18.137,,,7915.985515,,1.74222724325336,32.843,7.026,,65.129,3.59394500922156,49.0,2.70222792468346,44.673,0.484,0.686,6.98,9.5,,,,4649660.0
