,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
2226,Mexico,2000,3.40327,0.651219,8801.237,707909.864022,26747200.0,0.532968186005589,23.85,4.737,10.856437642,74.658,0.169092575350732,23.8,1.4410967038977,25.278,0.623,0.789,9.9,27.008,19.6461296081543,80.0,37.61,98899845.0,Latin America and Caribbean
2227,Mexico,2001,3.40327,0.651219,8801.237,756702.925694,29213132.0,0.516583312898974,23.43,4.703,10.254426223,74.658,0.164263789382735,22.8,1.40395986845276,24.955,0.625,0.789,10.26,26.104,20.6242809295654,79.36,36.79,100298152.0,Latin America and Caribbean
2228,Mexico,2002,3.27828,0.651219,8801.237,772109.710671,27988478.0,0.509622831843045,23.009,4.689,9.9208569732,74.922,0.163602085175924,21.9,1.37302085830616,24.635,0.625,0.816,10.43,25.075,21.4649105072021,78.66,37.3,101684764.0,Latin America and Caribbean
2229,Mexico,2003,3.38749,0.651219,8726.476,729335.024013,28010656.0,0.496480941624097,22.584,4.7,9.785506585,75.118,0.159239258458201,21.0,1.36378023068234,24.318,0.625,0.816,10.69,24.975,22.4718704223633,77.84,36.75,103081020.0,Latin America and Caribbean
2230,Mexico,2004,3.33919,0.589275,8641.744,782242.912348,30087088.0,0.48019318999953,22.158,4.734,8.9259971211,75.243,0.151317554547932,20.2,1.38146893230283,24.003,0.625,0.816,12.07,24.9,22.0538291931152,78.1,38.52,104514934.0,Latin America and Caribbean
2231,Mexico,2005,3.0732,0.59177,8539.014,877476.892365,31502066.0,0.466043403673066,21.741,4.792,9.358974931,75.3,0.147464017530559,19.5,1.4158169793862,23.692,0.625,0.816,11.14,25.803,21.9037895202637,77.61,39.31,106005199.0,Latin America and Caribbean
2232,Mexico,2006,3.07583,0.502528,8700.347,975383.402913,34703273.0,0.619251644560968,21.343,4.869,9.7173530477,75.296,0.138527177081453,18.8,1.4562132376675,23.384,0.613,0.805,10.73,25.982,20.8243198394775,78.0,40.47,107560155.0,Latin America and Caribbean
2233,Mexico,2007,3.18171,0.502568,8855.769,1052697.085016,38595108.0,0.618213512530518,20.973,4.961,8.1221573194,75.255,0.130379694865538,18.2,1.48606353186843,23.08,0.611,0.809,10.71,26.135,19.8890705108643,77.57,40.74,109170503.0,Latin America and Caribbean
2234,Mexico,2008,3.16038,0.554765,8949.289,1109987.401386,42612951.0,0.648183739220678,20.635,5.06,12.639052134,75.194,0.127314415290653,17.6,1.49536909755127,22.778,0.611,0.809,9.43,25.907,17.3801593780518,76.92,40.56,110815272.0,Latin America and Caribbean
2235,Mexico,2009,3.24149,0.466626,9214.911,900047.015738,35903609.0,0.691099688031247,20.327,5.163,17.608319172,75.128,0.130427343514169,17.0,1.47675580253545,22.48,0.609,0.809,10.29,25.599,18.6651191711426,74.77,40.47,112463886.0,Latin America and Caribbean
