Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Mongolia,2000,18.7582,,,1318.230619,227585.0,1.73087174346569,19.307,7.688,13.893586469,62.869,0.371865479069599,48.6,0.887755128845726,42.867,0.892,0.903,12.25,11.641,,,,2397417.0,East Asia and Pacific
Mongolia,2001,18.7582,,,1470.24037,233675.0,1.68809931409314,19.009,7.498,13.893586469,63.319,0.321576967596147,45.3,0.920784971784101,41.778,0.892,0.903,9.95,11.762,,,,2419594.0,East Asia and Pacific
Mongolia,2002,15.2084,,,1619.300885,201187.0,1.64573320948265,18.969,7.335,13.893586469,63.777,0.283037476561673,42.0,0.973386492778303,40.696,0.892,0.903,10.05,11.153,,,,2443261.0,East Asia and Pacific
Mongolia,2003,14.6546,,,1849.734484,203935.0,1.55606767909551,19.176,7.201,13.893586469,64.23,0.258341822636258,38.9,1.03844031715918,39.622,0.892,0.905,8.28,11.912,,,,2468765.0,East Asia and Pacific
Mongolia,2004,16.3112,,,2309.762218,242736.0,1.4452078353388,19.606,7.092,13.339240521,64.671,0.240122660334783,35.9,1.11292650156753,38.557,0.892,0.905,8.35,10.269,,,,2496394.0,East Asia and Pacific
Mongolia,2005,16.2706,,,2925.959124,260581.0,1.50522501232403,20.237,7.004,15.753460715,65.103,0.226983872984563,33.1,1.19595526235215,37.506,0.892,0.905,9.05,11.299,,,,2526429.0,East Asia and Pacific
Mongolia,2006,14.5908,,,3958.584962,300594.0,1.47252769502479,21.041,6.924,13.13087812,65.538,0.217708532818664,30.5,1.27526587760987,36.465,0.892,0.905,9.51,12.8,,,,2558854.0,East Asia and Pacific
Mongolia,2007,15.2692,,,4910.467662,440963.0,1.44369412452584,21.958,6.843,11.373191422,65.985,0.212350361473334,28.1,1.3571805039173,35.436,0.892,0.903,8.16,13.586,,,,2593819.0,East Asia and Pacific
Mongolia,2008,15.8146,,,6520.09735,765736.0,1.50375008735019,22.916,6.756,8.0550203484,66.447,0.208554588171825,25.9,1.45743318139209,34.419,0.892,0.903,8.55,15.2,,,,2631899.0,East Asia and Pacific
Mongolia,2009,14.7847,,,5314.958099,893886.0,1.49154200295013,23.843,6.66,8.190608551,66.916,0.19839411853616,23.9,1.57927987004671,33.42,0.892,0.903,8.75,16.173,,,,2673794.0,East Asia and Pacific
Mongolia,2010,11.7326,,,7189.48318,959502.0,1.46819313227054,24.665,6.562,8.7870812993,67.38,0.185797401596973,22.1,1.70974126800063,32.433,0.892,0.903,7.74,16.236,,,,2719902.0,East Asia and Pacific
Mongolia,2011,10.3073,,,10409.826296,1314301.0,1.42133724696892,25.318,6.468,9.6016506176,67.818,0.174168969674179,20.6,1.83803425141813,32.037,0.892,0.903,5.62,17.34,,,,2770357.0,East Asia and Pacific
Mongolia,2012,11.258,,,12292.756228,1058422.0,1.41484252062421,25.776,6.388,7.0450009169,68.217,0.164287347032026,19.4,1.94252634677933,31.97,0.892,0.9,6.49,18.172,,,,2824698.0,East Asia and Pacific
Mongolia,2013,13.4141,,,12582.094621,1055650.0,1.40777316028181,26.026,6.331,7.1136515137,68.566,0.157927314747747,18.3,2.00077435794101,31.903,0.861,0.893,7.03,19.959,,,,2881783.0,East Asia and Pacific
Mongolia,2014,13.3412,,,12226.539816,1061414.0,1.37904948029535,26.053,6.296,7.2446244376,68.863,0.153119167221689,17.4,2.00381359314742,31.837,0.839,0.894,7.38,20.72,,,,2940111.0,East Asia and Pacific
Mongolia,2015,13.3562,,,11749.628125,1155815.0,1.35967740682325,25.849,6.283,7.1370612583,69.111,0.148688955176022,16.6,1.96424831312739,31.77,0.843,0.895,7.75,20.286,,,,2998433.0,East Asia and Pacific
Mongolia,2016,11.6894,,,11186.734863,1024519.0,1.36852608958137,25.425,6.286,6.0202371581,69.321,0.144637541077164,15.9,1.9134192168807,31.703,0.846,0.899,6.62,20.472,,,,3056358.0,East Asia and Pacific
Mongolia,2017,10.279,,,11425.755104,874621.0,1.37744630637773,24.833,6.299,6.1340078387,69.509,0.141132782818876,15.1,1.86159804139428,31.637,0.843,0.868,7.64,20.666,,,,3113788.0,East Asia and Pacific
Mongolia,2018,10.7855,,,13108.759988,1128949.0,1.32589136230468,24.131,6.316,6.1825479289,69.689,0.141132782818876,14.4,1.7959102043121,31.555,0.849,0.859,7.77,20.666,,,,3170214.0,East Asia and Pacific
Mongolia,2019,11.0107,,,13996.719189,1182123.0,1.32589136230468,23.361,6.335,6.1825479289,69.87,0.141132782818876,13.8,1.71853282942005,31.457,0.856,0.872,6.8,20.666,,,,3225166.0,East Asia and Pacific
Mongolia,2020,12.0644,,,13137.128495,1581491.0,1.32589136230468,22.564,6.354,6.1825479289,70.056,0.141132782818876,13.2,1.63381332696237,31.343,0.839,0.859,6.8,20.666,,,,3278292.0,East Asia and Pacific
