Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Netherlands,2000,2.22462,,231.657,416442.466339,6774081.0,0.699805929476475,13.0,8.8,1.1302139595,77.9878048780488,0.0231830268844639,5.1,0.714770362784392,23.205,0.979,0.959,12.63,21.596,11.0814895629883,71.59,52.27,15926188.0,Europe and Central Asia
Netherlands,2001,2.22462,,215.511,431209.56412,6926111.0,0.66926202306354,12.6,8.7,1.261072466,78.190243902439,0.0222867055886246,5.0,0.754840057734904,22.17,0.979,0.959,13.1,21.592,11.1573896408081,72.17,53.72,16018112.0,Europe and Central Asia
Netherlands,2002,2.07767,,237.196,471635.418513,7087024.0,0.626524043422735,12.5,8.8,1.210401633,78.2926829268293,0.0224183961208856,4.9,0.638291666268526,20.887,0.979,0.948,13.93,21.001,11.231499671936,72.42,54.27,16110355.0,Europe and Central Asia
Netherlands,2003,2.05983,,216.6,578770.006048,8665350.0,0.706212441199561,12.3,8.7,1.246840617,78.4926829268293,0.0213001729706181,4.8,0.471814398788212,19.659,0.979,0.956,14.29,19.925,11.5314102172852,70.73,54.33,16200948.0,Europe and Central Asia
Netherlands,2004,1.86629,,203.655,657200.151484,9031549.0,0.620659118905288,11.9,8.4,1.1727012584,79.0951219512195,0.0195246938284566,4.6,0.347475412048658,18.486,0.979,0.956,14.39,20.097,11.8769397735596,69.92,54.06,16287183.0,Europe and Central Asia
Netherlands,2005,1.85793,,220.352,685075.610605,8700077.0,0.715372228439337,11.5,8.4,1.0631048662,79.3463414634146,0.0181363269987802,4.4,0.23366314793854,17.37,0.979,0.956,14.71,20.536,12.3359098434448,69.39,54.53,16367153.0,Europe and Central Asia
Netherlands,2006,1.94595,,176.084,733303.295424,9361933.0,0.545457930312058,11.3,8.3,0.7785844981,79.6975609756098,0.0160087568102863,4.3,0.160613668857538,16.364,0.979,0.956,14.78,20.196,11.971079826355,70.21,55.51,16440091.0,Europe and Central Asia
Netherlands,2007,1.81711,,183.318,847438.025012,11193917.0,0.476347377603122,11.1,8.1,0.86631740949,80.0975609756098,0.0146041148182788,4.1,0.217521601194242,15.461,0.979,0.956,14.76,19.29,11.762749671936,71.15,57.1,16506651.0,Europe and Central Asia
Netherlands,2008,1.63505,,173.993,948032.773654,11836736.0,0.536064907195189,11.2,8.2,0.9053539919,80.2512195121951,0.0138368052941654,4.0,0.389292461499527,14.598,0.979,0.956,14.3,19.196,11.878490447998,71.54,58.12,16568105.0,Europe and Central Asia
Netherlands,2009,1.55319,,180.514,868024.955021,9789967.0,0.488845249230429,11.2,8.1,0.92623896039,80.5487804878049,0.0128585094776475,3.8,0.514284544827762,13.712,0.979,0.956,13.98,17.993,11.6184597015381,70.81,58.33,16626379.0,Europe and Central Asia
Netherlands,2010,1.77851,,170.846,846554.894931,11310064.0,0.490164266584397,11.1,8.2,0.8631578859,80.7024390243902,0.0115628202799575,3.7,0.512923100553586,12.866,0.979,0.9563333333333331,14.25,17.569,11.6690502166748,68.33,56.26,16682927.0,Europe and Central Asia
Netherlands,2011,1.57897,,169.354,904085.980796,12229120.0,0.48928820431229,10.8,8.1,0.85433366127,81.2048780487805,0.0118262857403384,3.6,0.466428782200821,12.121,0.979,0.9566666666666668,14.71,17.172,11.8877096176147,67.25,55.58,16738190.0,Europe and Central Asia
Netherlands,2012,1.6595,,1224.17,838971.306991,11622659.0,0.483201494465223,10.5,8.4,0.86351414525,81.1048780487805,0.0109349475539757,3.6,0.370055034770235,11.412,0.978,0.957,15.02,17.123,11.7760696411133,67.01,55.6,16791850.0,Europe and Central Asia
Netherlands,2013,1.79087,,1218.316,876923.51885,13899573.0,0.481784538833169,10.2,8.4,0.74212551397,81.3048780487805,0.0101047035801446,3.5,0.294820793441482,10.813,0.973,0.957,15.29,16.442,12.0942401885986,65.72,54.91,16843512.0,Europe and Central Asia
Netherlands,2014,1.73834,,1200.825,890981.311078,12963225.0,0.46730326978455,10.4,8.3,0.72813305442,81.7073170731707,0.0097195010934453,3.5,0.359828172726548,10.31,0.972,0.957,15.59,16.145,12.1507997512817,65.46,53.93,16892517.0,Europe and Central Asia
Netherlands,2015,1.72433,,1202.539,765264.949781,10612897.0,0.457229353925294,10.1,8.7,0.61398618012,81.509756097561,0.009054601427838,3.4,0.443220089035769,9.827,0.97,0.957,15.26,16.11,12.2096500396729,65.55,54.52,16938492.0,Europe and Central Asia
Netherlands,2016,1.76653,,844.526,783528.181705,10668960.0,0.45638990612686,10.1,8.7,0.55355057053,81.5609756097561,0.0091944228172853,3.4,0.532178879608489,9.36499999999999,0.97,0.957,15.46,15.949,12.8068599700928,65.77,54.86,16981285.0,Europe and Central Asia
Netherlands,2017,1.85559,,846.725,833869.641687,12189774.0,0.450011316138218,9.9,8.8,0.77549697459,81.7609756097561,0.0084085497748536,3.5,0.591203366164118,8.923,0.973,0.958,15.33,15.873,12.1925296783447,65.77,54.86,17021343.0,Europe and Central Asia
Netherlands,2018,1.65067,,912.566,914043.43818,12554209.0,0.448710669279974,9.8,8.9,0.58618158968,81.8121951219512,0.0084085497748536,3.5,0.583933408920832,8.51000000000001,0.968,0.949,15.62,15.873,12.1925296783447,65.77,54.86,17059560.0,Europe and Central Asia
Netherlands,2019,1.64629,,930.442,910194.347569,12952518.0,0.448710669279974,9.8,8.8,0.58618158968,82.1121951219512,0.0084085497748536,3.5,0.65507157480522,8.124,0.972,0.935,15.96,15.873,12.1925296783447,65.77,54.86,17097123.0,Europe and Central Asia
Netherlands,2020,1.58231,,931.205,913865.39579,11633484.0,0.448710669279974,9.7,8.8,0.58618158968,81.409756097561,0.0084085497748536,3.6,0.55554079025497,7.764,0.965,0.934,15.96,15.873,12.1925296783447,65.77,54.86,17134873.0,Europe and Central Asia
