Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
New Caledonia,2000,2.36005,,,3411.540287,,,19.9,5.1,,75.1634146341463,,,1.90137437804069,38.081,,,,27.998,,,,217263.0,East Asia and Pacific
New Caledonia,2001,2.36005,,,3294.852702,,,19.9,5.2,,74.8317073170732,,,1.9017932212971,37.724,,,,27.164,,,,221499.0,East Asia and Pacific
New Caledonia,2002,1.89041,,,3722.48052,,,18.9,5.1,,75.1024390243903,,,1.89881141880703,37.368,,,,27.076,,,,225482.0,East Asia and Pacific
New Caledonia,2003,1.74335,,,4904.335297,,,18.2,5.0,,75.2707317073171,,,1.70376514357719,37.013,,,,26.891,,,,229251.0,East Asia and Pacific
New Caledonia,2004,1.78691,,,5884.445336,,,17.4,4.9,,75.4707317073171,,,1.52146109806749,36.659,,,,26.644,,,,232881.0,East Asia and Pacific
New Caledonia,2005,1.54855,,,6236.147012,,,17.4,4.9,,75.7219512195122,,,1.51846735383173,36.035,,,,26.115,,,,236441.0,East Asia and Pacific
New Caledonia,2006,1.7271,,,6972.959602,,,17.9,4.7,,76.0756097560976,,,1.49575438196191,35.362,,,,26.127,,,,239924.0,East Asia and Pacific
New Caledonia,2007,1.27199,,,8808.266121,,,17.1,5.0,,76.4780487804878,,,1.47371088194967,34.694,,,,26.922,,,,243332.0,East Asia and Pacific
New Caledonia,2008,1.38765,,,9031.073513,,,16.5,4.8,,76.6804878048781,,,1.45230768383707,34.031,,,,27.285,,,,246696.0,East Asia and Pacific
New Caledonia,2009,1.41668,,,8669.544317,,,16.7,5.1,,76.9804878048781,,,1.30961560699145,33.376,,,,26.908,,,,250082.0,East Asia and Pacific
New Caledonia,2010,1.3447,,,9355.22239,,,16.7,4.8,,77.2804878048781,,,1.53321542873142,32.898,,,,27.414,,,,253529.0,East Asia and Pacific
New Caledonia,2011,1.36827,,,10337.902024,,,16.2,5.2,,76.6317073170732,,,1.82508537401111,32.435,,,,27.445,,,,257065.0,East Asia and Pacific
New Caledonia,2012,1.64446,,,9659.70442,,,16.9,5.1,,77.0780487804878,,,1.81167904307637,31.976,,,,27.06,,,,260656.0,East Asia and Pacific
New Caledonia,2013,1.71326,,,10148.497701,,,16.6,5.2,,77.1780487804878,,,1.77944042769409,31.521,,,,26.927,,,,264239.0,East Asia and Pacific
New Caledonia,2014,1.77245,,,10620.889854,,,16.3,5.2,,77.2365853658537,,,1.65510642970682,31.069,,,,26.808,,,,267732.0,East Asia and Pacific
New Caledonia,2015,1.88653,,,8734.689592,,,15.4,5.4,,77.2804878048781,,,0.242198534789868,30.621,,,,27.002,,,,271062.0,East Asia and Pacific
New Caledonia,2016,1.79196,,,8718.646418,,,15.4,5.7,,76.9317073170732,,,0.241613350509724,30.179,,,,26.874,,,,274190.0,East Asia and Pacific
New Caledonia,2017,1.81821,,,9174.048669,,,14.5,5.5,,77.5390243902439,,,0.241030987183191,29.744,,,,26.917,,,,277159.0,East Asia and Pacific
New Caledonia,2018,1.83349,,,9846.920284,,,14.2,5.8,,77.4341463414634,,,0.240451424461215,29.317,,,,26.917,,,,279986.0,East Asia and Pacific
New Caledonia,2019,1.81463,,,9438.127994,,,14.0,5.8,,77.6341463414634,,,0.239874642189939,28.896,,,,26.917,,,,282757.0,East Asia and Pacific
New Caledonia,2020,1.80104,,,9708.737831,,,13.783,5.921,,77.7711707317073,,,0.242977699337273,28.482,,,,26.917,,,,285491.0,East Asia and Pacific
