,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
2604,Pakistan,2000,25.3821,0.564382,,76865.936391,16531162.0,2.13324479261317,34.703,8.862,6.256692302,62.82,1.48545418796702,84.6,2.52149866831143,67.018,0.305,0.72,5.88,17.995,,,,142343583.0,South Asia
2605,Pakistan,2001,25.3821,0.590987,,73268.805041,14048319.0,2.0953004971285,34.019,8.693,6.57151981,63.066,1.39096027654666,82.6,2.52149866831143,66.82,0.288,0.72,5.93,17.946,,,,145978408.0,South Asia
2606,Pakistan,2002,24.5818,0.627341,,80353.156003,15625907.0,2.03802506358291,33.376,8.539,6.3296685426,63.3,1.30282520900499,80.9,2.41700252616766,66.62,0.287,0.755,5.93,21.16,,,,149549695.0,South Asia
2607,Pakistan,2003,24.5595,0.631378,,90990.621089,17356795.0,1.95965309268075,32.781,8.397,6.1047711857,63.522,1.21981168365644,79.3,2.34192576063281,66.42,0.314,0.748,3.78,21.137,,,,153093371.0,South Asia
2608,Pakistan,2004,23.3418,0.457745,,104351.933422,19561949.0,1.90831778327154,32.239,8.269,6.1366728579,63.736,1.13797908995873,77.9,2.30598367710782,66.219,0.337,0.748,4.31,20.575,,,,156664698.0,South Asia
2609,Pakistan,2005,22.856,0.43511,,117708.404552,20550063.0,1.86574065427007,31.755,8.149,6.1021556373,63.951,1.08280360741635,76.6,2.29642161843433,66.018,0.337,0.748,3.71,20.508,,,,160304007.0,South Asia
2610,Pakistan,2006,21.608,0.400572,,136319.52901,21247748.0,1.83012792276932,31.332,8.034,6.1259841066,64.176,0.99802883772077,75.4,2.29323255388171,65.816,0.331,0.742,2.87,20.709,,,,164022626.0,South Asia
2611,Pakistan,2007,21.8005,0.382939,,152124.000286,23324664.0,1.77302582045374,30.96,7.92,6.2905185283,64.42,0.939350537656269,74.1,2.28167186525189,65.613,0.328,0.743,3.44,20.918,,,,167808106.0,South Asia
2612,Pakistan,2008,22.5003,0.331974,,151087.47534,21888900.0,1.72164332406818,30.631,7.804,7.0253838496,64.685,0.887699414795106,72.8,2.26305004896445,65.41,0.335,0.784,2.62,19.979,,,,171648984.0,South Asia
2613,Pakistan,2009,22.7173,0.328418,,161537.63171,25016283.0,1.6569839254748,30.339,7.686,7.1163404588,64.969,0.845054065094496,71.5,2.23333573207748,65.207,0.353,0.798,2.95,19.019,,,,175525610.0,South Asia
2614,Pakistan,2010,23.2816,0.314164,,174507.923711,27741748.0,1.64156235992601,30.082,7.568,7.3512755993,65.264,0.798417020441031,70.1,2.19703454391766,65.003,0.351,0.84,2.81,19.1,,,,179424643.0,South Asia
2615,Pakistan,2011,25.1292,0.300046,,211671.575683,31674207.0,1.59748476867509,29.86,7.454,7.5597181737,65.562,0.746491387815926,68.6,2.1587965238654,64.798,0.349,0.84,3.16,19.536,,,,183340168.0,South Asia
2616,Pakistan,2012,23.7102,0.343857,,214641.658203,35154438.0,1.54741917322559,29.667,7.349,7.3932030962,65.849,0.710216935432141,67.0,2.12622217687153,64.592,0.337,0.845,3.13,19.874,,,,187280125.0,South Asia
2617,Pakistan,2013,23.8321,0.35706,,220268.616258,43814636.0,1.49680964609959,29.491,7.257,7.2869088035,66.117,0.676074703199707,65.4,2.10324458397736,64.387,0.313,0.827,3.22,19.527,,,,191260799.0,South Asia
2618,Pakistan,2014,23.7445,0.375569,,248949.386617,46431748.0,1.42801241787752,29.318,7.176,6.7975726091,66.36,0.647964601587461,63.8,2.09245641637654,64.181,0.309,0.812,3.48,19.559,,,,195305012.0,South Asia
2619,Pakistan,2015,23.8171,0.393967,,267035.292424,42427665.0,1.38123640672899,29.124,7.107,4.7566288595,66.577,0.614998309835805,62.1,2.08855182687829,63.974,0.308,0.747,3.74,19.708,,,,199426953.0,South Asia
2620,Pakistan,2016,23.2152,0.351441,,277521.027411,43471662.0,1.35280391814111,28.888,7.048,4.1820671272,66.77,0.564881139739013,60.5,2.08632617723589,63.766,0.31,0.687,4.33,19.733,,,,203631356.0,South Asia
2621,Pakistan,2017,22.9259,0.323986,,302709.723378,50805095.0,1.32577973164094,28.599,6.994,3.9609206478,66.947,0.545877816351445,58.9,2.07757838708128,63.558,0.32,0.652,4.3,19.783,,,,207906210.0,South Asia
2622,Pakistan,2018,22.8517,0.26342,,284149.941136,44908431.0,1.31149632722033,28.25,6.942,3.8830827302,67.114,0.545877816351445,57.3,2.05754609472119,63.334,0.346,0.635,5.29,19.783,,,,212228288.0,South Asia
2623,Pakistan,2019,21.4732,0.269917,,253087.564027,33673415.0,1.31149632722033,27.841,6.893,3.8830827302,67.273,0.545877816351445,55.7,2.02296715968838,63.093,0.318,0.635,4.92,19.783,,,,216565317.0,South Asia
2624,Pakistan,2020,22.6938,0.269917,,257829.18303,31789274.0,1.31149632722033,27.379,6.844,3.8830827302,67.428,0.545877816351445,54.2,1.97831956650447,62.835,0.288,0.635,4.92,19.783,,,,220892331.0,South Asia
