,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
2730,Philippines,2000,13.2023,0.296538,,83669.788255,11509263.0,0.495040213766698,29.606,5.432,7.3533411999,68.793,0.641469430041248,28.7,2.15904576400315,53.865,0.668,0.884,6.52,16.16,,71.81,42.52,77991757.0,East Asia and Pacific
2731,Philippines,2001,13.2023,0.600278,,78921.157072,10392401.0,0.491696980111118,29.279,5.442,7.3450348575,68.835,0.647020771314231,28.2,2.13259721715136,53.95,0.666,0.875,5.5,16.184,,72.87,45.24,79672869.0,East Asia and Pacific
2732,Philippines,2002,13.1456,0.588059,,84307.346433,11009783.0,0.477773757753989,28.89,5.453,8.0538057643,68.88,0.623970744206035,27.8,2.10192867951874,54.035,0.657,0.875,4.75,15.6,,72.1,46.19,81365260.0,East Asia and Pacific
2733,Philippines,2003,12.7043,0.447193,,87039.092439,11115338.0,0.470324868123259,28.436,5.461,7.7493646448,68.937,0.598928944256071,27.3,2.05181558435414,54.12,0.657,0.867,5.46,15.816,,73.16,45.25,83051970.0,East Asia and Pacific
2734,Philippines,2004,13.3054,0.476929,,95002.00025,12755203.0,0.446088262718122,27.922,5.466,7.489032298,69.013,0.585741483375626,26.9,1.97735239047008,54.205,0.663,0.864,5.62,15.9,,74.18,44.9,84710544.0,East Asia and Pacific
2735,Philippines,2005,12.6648,0.492606,,107419.977968,13882997.0,0.437136656174594,27.372,5.469,7.4531210674,69.112,0.573874870731716,26.4,1.88936545844739,54.29,0.662,0.839,6.61,15.569,,72.83,45.18,86326251.0,East Asia and Pacific
2736,Philippines,2006,12.3691,0.473896,,127652.927612,16126011.0,0.425320307421518,26.823,5.478,7.0543787354,69.233,0.561469295820924,26.0,1.79372218827953,54.375,0.659,0.838,6.63,15.285,,72.73,45.56,87888675.0,East Asia and Pacific
2737,Philippines,2007,12.4967,0.44514,,155980.408072,20099479.0,0.414833778644696,26.307,5.497,6.6684948916,69.37,0.528138231374735,25.7,1.71110434098395,54.46,0.659,0.838,6.46,15.23,,72.69,45.72,89405482.0,East Asia and Pacific
2738,Philippines,2008,13.2435,0.88826,,181624.627927,24931351.0,0.404235752710896,25.841,5.529,6.4025017192,69.515,0.512842102354833,25.3,1.65996399032321,54.545,0.669,0.838,6.51,14.9,,72.66,45.07,90901967.0,East Asia and Pacific
2739,Philippines,2009,13.0807,0.875372,,175974.754207,23675806.0,0.440261326354415,25.422,5.572,9.8339907019,69.667,0.506378893709781,25.0,1.64985843674273,54.629,0.658,0.842,6.64,14.526,,72.49,45.78,92414161.0,East Asia and Pacific
