Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Portugal,2000,2.96075,,1241.381,134162.194152,3700932.0,1.72299922188974,11.7,10.2,1.126528911,76.3146341463415,0.0151621638893156,5.5,0.702859953319024,45.601,0.981,0.967,14.06,34.431,12.0528802871704,67.54,50.23,10297117.0,Europe and Central Asia
Portugal,2001,2.96075,,1233.84,134162.194152,3643951.0,1.67967324756424,10.9,10.1,1.0153309167,76.8146341463415,0.0153585000977083,5.1,0.705230637323876,44.956,0.981,0.967,13.72,33.446,12.0958204269409,68.17,50.85,10341456.0,Europe and Central Asia
Portugal,2002,2.72289,,1278.615,134162.194152,3868265.0,1.65300549459026,11.0,10.2,1.1457739284,77.0658536585366,0.0148053551008142,4.7,0.547667939660689,44.334,0.981,0.967,14.46,33.34,11.9001998901367,68.07,51.2,10385993.0,Europe and Central Asia
Portugal,2003,2.65118,,1235.746,164855.784907,4790976.0,1.69300359863821,10.8,10.4,1.428624163,77.219512195122,0.0144836091814544,4.3,0.375411414855816,43.713,0.981,0.967,14.2,32.675,11.6563301086426,66.35,50.8,10429615.0,Europe and Central Asia
Portugal,2004,2.60214,,1204.419,189042.717277,5733071.0,1.66912388604323,10.4,9.7,1.3752365359,77.6707317073171,0.0139663466083298,3.9,0.239128989611917,43.093,0.981,0.967,14.55,31.074,10.9674596786499,65.64,50.41,10470926.0,Europe and Central Asia
Portugal,2005,2.30349,,1230.335,197175.426553,5413617.0,1.68908058440009,10.4,10.2,1.2846750448,78.0707317073171,0.0136065419825485,3.6,0.185532266654625,42.478,0.978,0.968,14.64,30.387,10.8581199645996,64.52,50.52,10508494.0,Europe and Central Asia
Portugal,2006,2.25314,,1203.941,208571.010351,5351032.0,1.64487627367198,10.0,9.7,1.4701925108,78.419512195122,0.0132694893460862,3.4,0.18033244147767,41.863,0.977,0.969,13.12,30.326,10.8709497451782,64.77,50.6,10542837.0,Europe and Central Asia
Portugal,2007,1.99816,,1194.16,240178.475646,5913716.0,1.63866411779366,9.7,9.8,1.7497150802,78.3219512195122,0.0126794727973668,3.3,0.196304384487306,41.251,0.977,0.969,13.03,30.258,11.0546998977661,64.58,50.65,10573150.0,Europe and Central Asia
Portugal,2008,1.96377,,1201.506,262354.497759,6955582.0,1.64031024575633,9.9,9.9,1.1703289153,78.5243902439025,0.0124155819999249,3.2,0.144191279853498,40.641,0.977,0.969,13.21,29.272,10.3718299865723,64.46,50.95,10595312.0,Europe and Central Asia
Portugal,2009,1.95063,,1154.701,243686.955801,6217436.0,1.65765975732327,9.4,9.9,1.2259448404,78.7268292682927,0.0124823889732527,3.1,0.0953308592370666,40.036,0.977,0.969,12.87,28.214,11.0748100280762,61.73,50.04,10604066.0,Europe and Central Asia
Portugal,2010,1.93708,,1137.107,237880.908318,6412361.0,1.64552906070919,9.6,10.0,1.1702468513,79.0268292682927,0.0123387010457853,3.1,0.0459100367184907,39.433,0.974,0.968,12.86,27.677,10.4265604019165,60.66,49.24,10596055.0,Europe and Central Asia
Portugal,2011,1.83402,,1288.748,244797.226567,6299603.0,1.6626065067017,9.2,9.7,1.0785865747,80.4707317073171,0.0109896462430444,3.0,-0.147084878575482,38.833,0.974,0.963,12.55,27.317,10.2392301559448,58.81,47.51,10569388.0,Europe and Central Asia
