Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Saint Lucia,2001,Latin America and Caribbean,4.13483,0.581925,,883.465006,51377.0,,,,,,,,,,,,8.09,20.369,,,,158184.0
Saint Lucia,2002,Latin America and Caribbean,4.5905,0.441881,,887.924622,57423.0,,,,,,,,,,,,7.77,19.937,,,,159392.0
Saint Lucia,2003,Latin America and Caribbean,3.88691,0.536001,,964.518306,55943.0,,,,,,,,,,,,7.16,17.983,,,,160530.0
Saint Lucia,2004,Latin America and Caribbean,3.71947,0.496369,,1059.557777,55334.0,,,,,,,,,,,,6.86,17.925,,,,161821.0
Saint Lucia,2005,Latin America and Caribbean,2.90264,0.49938,,1119.6695,51029.0,,,,,,,,,,,,6.16,20.344,,,,163408.0
Saint Lucia,2006,Latin America and Caribbean,2.98032,0.373996,,1268.318519,57915.0,,,,,,,,,,,,6.31,21.487,,,,165378.0
Saint Lucia,2007,Latin America and Caribbean,2.91447,0.350793,,1336.088889,64262.0,,,,,,,,,,,,6.9,19.432,,,,167644.0
Saint Lucia,2008,Latin America and Caribbean,3.58969,0.314617,,1437.907407,79885.0,,,,,,,,,,,,7.22,20.018,,,,170011.0
Saint Lucia,2009,Latin America and Caribbean,3.64892,0.3113,,1401.537037,79046.0,,,,,,,,,,,,7.4,19.649,,,,172223.0
Saint Lucia,2010,Latin America and Caribbean,2.69916,0.382307,,1486.637037,67361.0,,,,,,,,,,,,6.98,18.71,,,,174092.0
Saint Lucia,2011,Latin America and Caribbean,2.3418,0.36671,,1577.414815,68145.0,,,,,,,,,,,,6.73,18.857,,,,175538.0
Saint Lucia,2012,Latin America and Caribbean,2.36987,0.346798,,1605.777778,55783.0,,,,,,,,,,,,7.28,18.703,,,,176654.0
Saint Lucia,2013,Latin America and Caribbean,2.62791,0.30455,,1665.811111,66359.0,,,,,,,,,,,,8.16,17.996,,,,177505.0
Saint Lucia,2014,Latin America and Caribbean,2.21864,0.283898,,1756.062963,69151.0,,,,,,,,,,,,8.12,17.355,,,,178307.0
Saint Lucia,2015,Latin America and Caribbean,2.16141,0.251296,,1809.977778,71167.0,,,,,,,,,,,,8.4,17.47,,,,179131.0
Saint Lucia,2016,Latin America and Caribbean,2.08055,0.185625,,1865.514815,70292.0,,,,,,,,,,,,8.52,17.526,,,,180028.0
Saint Lucia,2017,Latin America and Caribbean,1.7613,0.206756,,1996.77037,77834.0,,,,,,,,,,,,8.75,17.591,,,,180955.0
Saint Lucia,2018,Latin America and Caribbean,1.79247,0.158387,,2065.125926,80816.0,,,,,,,,,,,,8.52,18.34625,,,,181890.0
Saint Lucia,2019,Latin America and Caribbean,2.01135,0.105315,,2118.792593,79567.0,,,,,,,,,,,,8.23,19.1015,,,,182795.0
Saint Lucia,2020,Latin America and Caribbean,2.59076,0.2363355,,1616.774074,72866.0,,,,,,,,,,,,8.16,19.85675,,,,183629.0
Saint Lucia,2000,Latin America and Caribbean,2.59076,0.367356,,936.200187,41149.0,,,,,,,,,,,,8.09,20.612,,,,156737.0
