Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Sao Tome and Principe,2000,20.6424,,,72.465434,,,39.589,9.054,,61.365,0.999203999883594,54.3,1.62992397560912,46.576,0.9,0.784,31.91,16.74,6.42043018341064,,,142264.0,Sub-Saharan Africa
Sao Tome and Principe,2001,20.6424,,,72.230278,,,39.602,8.672,,62.017,0.960941305863818,51.2,1.73927122541821,45.623,0.9,0.784,6.85,17.894,6.42043018341064,,,144760.0,Sub-Saharan Africa
Sao Tome and Principe,2002,22.0975,,,81.053329,,,39.545,8.282,,62.687,0.936627796334256,48.0,1.84119365657435,44.445,0.9,0.784,8.3,17.867,6.42043018341064,,,147450.0,Sub-Saharan Africa
Sao Tome and Principe,2003,21.4968,,,96.343939,,,39.401,7.895,,63.359,0.922449073631428,45.0,1.9842520382713,43.234,0.9,0.784,11.66,18.868,6.69200992584229,,,150405.0,Sub-Saharan Africa
Sao Tome and Principe,2004,20.634,,,105.361124,,,39.157,7.52,,64.02,0.908531120114966,42.1,2.19051899861275,42.028,0.9,0.793,8.56,18.989,5.85359001159668,,,153736.0,Sub-Saharan Africa
Sao Tome and Principe,2005,18.4246,,,126.193762,,,38.808,7.167,,64.659,0.888342942968628,39.3,2.40108190534416,40.835,0.911,0.798,11.52,17.164,12.1254796981812,,,157472.0,Sub-Saharan Africa
Sao Tome and Principe,2006,18.2089,,,134.441165,,,38.358,6.844,,65.27,0.853259666278374,36.6,2.63466678781434,39.652,0.911,0.798,1.69,14.826,14.0842304229736,,,161676.0,Sub-Saharan Africa
Sao Tome and Principe,2007,18.8233,,,145.827416,,,37.831,6.551,,65.854,0.819142798973495,34.2,2.81810137871417,38.48,0.911,0.798,4.28,15.898,16.6573505401611,,,166297.0,Sub-Saharan Africa
Sao Tome and Principe,2008,9.47772,,,188.021169,,,37.251,6.287,,66.412,0.783960684376782,31.9,2.86014060615314,37.32,0.911,0.798,4.02,16.499,18.2486305236816,,,171122.0,Sub-Saharan Africa
Sao Tome and Principe,2009,10.8135,,,187.821049,,,36.636,6.053,,66.938,0.748107258200126,29.7,2.74081346723756,36.177,0.911,0.798,3.27,15.24,20.5607795715332,,,175877.0,Sub-Saharan Africa
Sao Tome and Principe,2010,11.2636,,,197.454025,,,36.003,5.848,,67.43,0.713369480077229,27.6,2.52364978563294,35.048,0.911,0.81,4.1,15.76,19.3274097442627,,,180372.0,Sub-Saharan Africa
Sao Tome and Principe,2011,11.2988,,,233.21351,,,35.363,5.669,,67.885,0.686989703324678,25.7,2.27418932025697,33.936,0.911,0.81,4.31,15.011,16.5245146751404,,,184521.0,Sub-Saharan Africa
Sao Tome and Principe,2012,11.5022,,,252.560581,,,34.726,5.509,,68.306,0.663348414762681,23.7,2.0772236359715,32.84,0.911,0.81,4.57,14.528,13.7216196060181,,,188394.0,Sub-Saharan Africa
Sao Tome and Principe,2013,11.8674,,,302.925497,,,34.103,5.364,,68.695,0.647501372065907,22.0,1.93556125383945,31.792,0.921,0.804,8.44,13.878,18.8296699523926,,,192076.0,Sub-Saharan Africa
Sao Tome and Principe,2014,11.3758,,,348.899565,,,33.508,5.232,,69.052,0.634182893498367,20.1,1.88297041207015,30.787,0.921,0.804,7.78,13.238,12.3246698379517,,,195727.0,Sub-Saharan Africa
Sao Tome and Principe,2015,11.9462,,,318.257372,,,32.95,5.111,,69.377,0.622543122591522,18.5,1.87875940029521,29.826,0.921,0.804,4.94,13.597,11.2973403930664,,,199439.0,Sub-Saharan Africa
Sao Tome and Principe,2016,11.3969,,,347.547473,,,32.437,5.002,,69.67,0.610424542556677,16.9,1.87856316577205,28.908,0.921,0.804,8.0,13.57,15.9666795730591,,,203221.0,Sub-Saharan Africa
Sao Tome and Principe,2017,10.8796,,,378.598871,,,31.967,4.908,,69.933,0.601782738424072,15.5,1.88401091022563,28.032,0.921,0.807,10.76,13.545,18.3999996185303,,,207086.0,Sub-Saharan Africa
Sao Tome and Principe,2018,11.1157,,,415.355831,,,31.538,4.828,,70.17,0.601782738424072,14.4,1.88756148214117,27.197,0.921,0.79,10.76,13.545,20.1165409088135,,,211032.0,Sub-Saharan Africa
Sao Tome and Principe,2019,12.2244,,,430.633136,,,31.152,4.761,,70.385,0.601782738424072,13.5,1.8851478278935,26.402,0.921,0.817,10.76,13.545,20.1165409088135,,,215048.0,Sub-Saharan Africa
Sao Tome and Principe,2020,13.9921,,,476.462168,,,30.811,4.706,,70.583,0.601782738424072,12.7,1.89453605124968,25.646,0.923,0.799,10.76,13.545,20.1165409088135,,,219161.0,Sub-Saharan Africa
