,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
2961,Saudi Arabia,2000,5.1712,,,189514.933333,5815840.0,3.41274599293294,26.375,3.691,,72.561,0.0986646514284295,18.8,2.29734876534761,20.152,0.156,0.101,9.16,19.86,,,,20663840.0,Middle East and North Africa
2962,Saudi Arabia,2001,5.1712,,,184137.638182,6509456.0,3.30501700668627,25.85,3.647,,72.759,0.0933389712104156,17.7,2.57406723814462,19.923,0.146,0.103,8.76,21.0,,,,21202646.0,Middle East and North Africa
2963,Saudi Arabia,2002,5.07734,,,189605.957365,6274231.0,3.13833793622897,25.398,3.614,,72.92,0.0885755636271761,16.7,2.8028083230475,19.696,0.145,0.103,8.57,20.9,,,,21805322.0,Middle East and North Africa
2964,Saudi Arabia,2003,4.5045,,,215807.858023,6739549.0,2.98662630414858,24.991,3.591,,73.051,0.0844326214377391,15.8,2.94324930419448,19.47,0.145,0.103,8.7,20.955,,,,22456645.0,Middle East and North Africa
2965,Saudi Arabia,2004,3.90113,,,258742.133333,7485931.0,2.82652804880014,24.61,3.575,,73.159,0.0805242652750571,15.0,2.96600342613357,19.246,0.145,0.103,8.24,20.668,,,,23132686.0,Middle East and North Africa
2966,Saudi Arabia,2005,3.22083,,,328461.16047,8363642.0,2.7159227762565,24.236,3.561,,73.256,0.0770638345077037,14.2,2.91183759436303,19.021,0.187,0.112,8.8,20.313,,,,23816175.0,Middle East and North Africa
2967,Saudi Arabia,2006,2.94858,,,376900.136938,9023989.0,2.89194674769259,23.854,3.546,,73.355,0.073512568983685,13.4,2.82392863492397,18.796,0.19,0.111,9.69,20.259,,,,24498313.0,Middle East and North Africa
2968,Saudi Arabia,2007,2.77016,,,415964.582946,9431042.0,2.75301159804458,23.458,3.53,,73.467,0.0703671176529917,12.6,2.762800178975,18.573,0.196,0.112,8.51,20.858,,,,25184589.0,Middle East and North Africa
2969,Saudi Arabia,2008,2.31685,,,519796.737528,10482872.0,2.65032256541425,23.043,3.51,,73.598,0.0671304809875188,11.9,2.75679467813432,18.351,0.197,0.116,7.08,19.76,,,,25888535.0,Middle East and North Africa
2970,Saudi Arabia,2009,2.85411,,,429097.90011,11050568.0,2.67164085421693,22.599,3.488,,73.75,0.0636234217487732,11.2,2.82495712979043,18.133,0.196,0.116,7.52,20.369,,,,26630303.0,Middle East and North Africa
2971,Saudi Arabia,2010,2.64028,,,528207.33265,11208766.0,2.51948248008546,22.123,3.464,,73.917,0.0591405377060951,10.5,2.92764323588465,17.916,0.202,0.116,6.84,21.712,,,,27421468.0,Middle East and North Africa
2972,Saudi Arabia,2011,2.17143,,,671238.840108,11209923.0,2.35713936808975,21.613,3.441,,74.089,0.0548734893044959,9.9,3.03897438018909,17.698,0.202,0.115,7.58,22.478,,,,28267591.0,Middle East and North Africa
2973,Saudi Arabia,2012,2.07935,,,735974.843349,11181318.0,2.20239107141815,21.078,3.422,,74.254,0.0512852863084923,9.3,3.09072464553231,17.48,0.201,0.115,8.26,24.7,,,,29154906.0,Middle East and North Africa
2974,Saudi Arabia,2013,2.15731,,,746647.127408,12656627.0,2.09930102874932,20.528,3.41,,74.402,0.0484863285665893,8.8,3.03079439709524,17.26,0.21,0.109,8.75,23.773,,,,30052058.0,Middle East and North Africa
2975,Saudi Arabia,2014,2.22697,,,756350.34732,10401894.0,2.00300969130156,19.969,3.407,,74.533,0.0463298148727554,8.3,2.83622090250505,17.04,0.21,0.109,9.28,23.032,,,,30916603.0,Middle East and North Africa
2976,Saudi Arabia,2015,2.61939,,,654269.739552,10516866.0,1.90717639766455,19.41,3.412,,74.651,0.0449526705650161,7.8,2.55807744862499,16.82,0.208,0.099,10.06,22.736,,,,31717676.0,Middle East and North Africa
2977,Saudi Arabia,2016,2.68563,,,644935.682011,11203166.0,1.84814508328374,18.858,3.426,,74.761,0.043625287663938,7.3,2.2624230012955,16.599,0.21,0.108,10.06,22.742,,,,32443443.0,Middle East and North Africa
2978,Saudi Arabia,2017,2.52847,,,688586.094413,11849127.0,1.82085766442345,18.319,3.446,,74.874,0.0426522727779456,6.9,2.00706639082931,16.378,0.206,0.096,13.51,22.708,,,,33101182.0,Middle East and North Africa
2979,Saudi Arabia,2018,2.22445,,,786521.889855,13207571.0,1.79733506562199,17.798,3.472,,74.998,0.0426522727779456,6.6,1.8010622175453,16.156,0.186,0.095,11.05,22.708,,,,33702757.0,Middle East and North Africa
2980,Saudi Arabia,2019,2.23334,,,792966.83819,14680174.0,1.79733506562199,17.297,3.505,,75.133,0.0426522727779456,6.3,1.66477670240957,15.935,0.219,0.095,11.05,22.708,,,,34268529.0,Middle East and North Africa
2981,Saudi Arabia,2020,2.56257,,,700117.923268,14369811.0,1.79733506562199,16.814,3.545,,75.28,0.0426522727779456,6.0,1.57883732958732,15.713,0.192,0.093,11.05,22.708,,,,34813867.0,Middle East and North Africa
