Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Senegal,2000,Sub-Saharan Africa,16.2312,0.182587,,6054.968872,483100.0,0.552415238338478,39.246,10.752,,57.787,3.04230373192923,67.7,2.3651696565344,59.68,0.852,0.863,8.96,13.56,17.6184902191162,,,9797731.0
Senegal,2001,Sub-Saharan Africa,16.2312,0.217075,,6311.158495,410416.0,0.546182151747608,39.014,10.508,,58.177,2.96038173500285,65.2,2.40379636073153,59.536,0.852,0.885,9.01,14.046,15.7297401428223,,,10036102.0
Senegal,2002,Sub-Saharan Africa,13.5247,0.254682,,6901.516474,314927.0,0.5182836491397,38.834,10.212,,58.675,2.89003118463659,62.3,2.43707421375491,59.393,0.852,0.885,8.64,15.279,16.7219200134277,,,10283694.0
Senegal,2003,Sub-Saharan Africa,15.0064,0.201681,,8875.670161,580863.0,0.618466409460009,38.707,9.878,,59.259,2.834450485521,59.2,2.47574680772691,59.102,0.852,0.885,9.05,15.723,16.1175098419189,,,10541470.0
Senegal,2004,Sub-Saharan Africa,13.6084,0.248481,,10391.804476,587679.0,0.583200520214864,38.626,9.516,,59.912,2.78402148460848,56.1,2.51625851370763,58.694,0.852,0.885,8.97,16.342,16.9622497558594,,,10810086.0
Senegal,2005,Sub-Saharan Africa,14.5092,0.186076,,11267.094384,740376.0,0.59961611944858,38.583,9.137,,60.62,2.73397257842634,53.2,2.5575305157668,58.286,0.852,0.885,8.54,16.827,21.7709693908691,,,11090123.0
Senegal,2006,Sub-Saharan Africa,12.848,0.194933,,12109.220555,556467.0,0.583257202919479,38.566,8.749,,61.365,2.69710140548107,50.6,2.60021649034163,57.876,0.852,0.885,8.27,17.354,17.9546394348145,,,11382272.0
Senegal,2007,Sub-Saharan Africa,11.8002,0.206222,,14601.216259,646814.0,0.573820496868148,38.553,8.363,,62.126,2.64548911585099,48.2,2.64267297338368,57.465,0.852,0.885,5.95,19.213,18.590389251709,,,11687078.0
Senegal,2008,Sub-Saharan Africa,13.8847,0.181677,,17320.699636,1521465.0,0.564687812342946,38.519,7.987,,62.88,2.58468543875522,46.1,2.68144527622377,57.053,0.852,0.881,6.62,20.149,19.2261390686035,,,12004700.0
Senegal,2009,Sub-Saharan Africa,15.1299,0.14815,,16533.038428,1315353.0,0.544520868425978,38.446,7.632,,63.607,2.48096420440481,44.1,2.71499686317668,56.641,0.852,0.878,6.66,20.486,23.3004493713379,,,12335092.0
Senegal,2010,Sub-Saharan Africa,15.1848,0.175567,,16724.613898,1284455.0,0.535917557344186,38.306,7.305,,64.284,2.34280515490455,42.4,2.74312787749023,56.227,0.857,0.887,5.35,21.045,24.046350479126,,,12678143.0
Senegal,2011,Sub-Saharan Africa,12.6585,0.178873,,18599.110639,890837.0,0.527049094623164,38.077,7.013,,64.898,2.20922184680826,40.7,2.7667570258595,55.812,0.857,0.887,5.63,20.934,21.0869693756104,,,13033814.0
Senegal,2012,Sub-Saharan Africa,13.6104,0.152919,,18395.462069,1111130.0,0.518831491063128,37.757,6.753,,65.448,2.0767840886355,39.2,2.78561459548468,55.397,0.854,0.884,5.31,20.903,20.7952499389648,,,13401990.0
Senegal,2013,Sub-Saharan Africa,13.6018,0.123269,,19209.970131,997644.0,0.510457938403095,37.352,6.522,,65.939,1.96100135223042,37.6,2.79913166148371,54.981,0.859,0.942,5.3,20.766,25.7423496246338,,,13782429.0
Senegal,2014,Sub-Saharan Africa,13.3687,0.172074,,19770.923075,1429761.0,0.50232880715273,36.867,6.319,,66.37,1.84935316334707,36.2,2.80669872856731,54.564,0.859,0.942,4.68,20.458,24.7624702453613,,,14174740.0
Senegal,2015,Sub-Saharan Africa,14.2826,0.18562,,17761.402705,1650958.0,0.494328247776453,36.318,6.141,,66.747,1.73622302080676,34.7,2.80829036215636,54.138,0.8625,0.942,4.7,20.439,23.7585601806641,,,14578450.0
Senegal,2016,Sub-Saharan Africa,14.414,0.155222,,19040.319081,1399388.0,0.479616925320293,35.727,5.985,,67.078,1.62766583906098,33.3,2.80732966748881,53.704,0.866,0.94,4.46,20.548,21.3372192382813,,,14993514.0
Senegal,2017,Sub-Saharan Africa,14.982,0.161178,,20996.569847,2327445.0,0.47542395931572,35.12,5.845,,67.38,1.5283111839002,32.0,2.80057660226301,53.26,0.865,0.95,4.26,20.669,21.0452194213867,,,15419354.0
Senegal,2018,Sub-Saharan Africa,15.0144,0.157799,,23116.70154,3260430.0,0.451208146199202,34.523,5.716,,67.665,1.5283111839002,30.8,2.78187970760459,52.808,0.864,0.936,4.26,20.669,21.5294094085693,,,15854324.0
Senegal,2019,Sub-Saharan Africa,14.9582,0.152479,,23306.213218,3186327.0,0.451208146199202,33.952,5.596,,67.941,1.5283111839002,29.8,2.74996220289833,52.347,0.848,0.937,4.26,20.669,21.5294094085693,,,16296362.0
Senegal,2020,Sub-Saharan Africa,15.8177,0.152479,,24412.490299,3820957.0,0.451208146199202,33.418,5.481,,68.213,1.5283111839002,28.9,2.70939118149213,51.878,0.848,0.937,4.26,20.669,21.5294094085693,,,16743930.0
