Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Seychelles,2000,Sub-Saharan Africa,3.73452,1.310157,,746.848934,,,18.6,6.8,,72.7780487804878,0.127298117245907,11.8,0.892658566766174,49.567,0.796,0.439,6.83,,,,,80998.0
Seychelles,2001,Sub-Saharan Africa,3.73452,1.141746,,746.284513,,,17.7,6.8,,73.2536585365854,0.125426986805454,11.8,0.0874745178458057,49.354,0.796,0.407,8.03,,,,,82413.0
Seychelles,2002,Sub-Saharan Africa,3.80705,1.053768,,837.920679,,,17.7,7.7,,71.0878048780488,0.124457789848528,11.8,3.05738532610948,49.124,0.796,0.44,6.46,,,,,84077.0
Seychelles,2003,Sub-Saharan Africa,3.48425,1.226976,,846.384798,,,18.1,8.1,,71.0292682926829,0.1237023516964,11.8,-1.13151642070391,48.877,0.796,0.457,9.29,,,,,85807.0
Seychelles,2004,Sub-Saharan Africa,3.45752,0.808505,,839.327273,,,17.4,7.2,,72.6609756097561,0.125397268635425,11.8,-0.370334934558794,48.612,0.796,0.571,9.55,,,,,87388.0
Seychelles,2005,Sub-Saharan Africa,3.25427,0.750379,,919.102909,,,18.5,8.1,,72.1317073170732,0.123511858285975,11.8,0.463308214458562,48.33,0.796,0.583,9.29,,,,,88652.0
Seychelles,2006,Sub-Saharan Africa,2.98108,0.869792,,1016.406955,,,17.3,7.8,,72.2170731707317,0.125971798692134,11.9,2.0805967352947,48.031,0.793,0.583,7.91,,,,,89528.0
Seychelles,2007,Sub-Saharan Africa,2.74655,0.673002,,1033.664298,,,17.6,7.4,,73.1439024390244,0.128216652406688,11.9,0.510514982843497,47.715,0.793,0.592,7.26,,,,,90082.0
Seychelles,2008,Sub-Saharan Africa,2.5693,0.456298,,967.187766,,,17.8,7.6,,73.1634146341463,0.129707281380059,12.0,2.23628271543202,47.381,0.793,0.592,8.9,,,,,90450.0
Seychelles,2009,Sub-Saharan Africa,2.25744,0.943036,,847.421783,,,18.1,7.8,,73.0829268292683,0.130474201937428,12.0,0.39253094807516,47.031,0.793,0.592,7.43,,,,,90788.0
Seychelles,2010,Sub-Saharan Africa,2.26092,0.756867,,969.96487,,,16.8,7.4,,73.1975609756098,0.130384599813835,12.1,2.79232906929128,46.664,0.798,0.592,8.98,,,,,91273.0
Seychelles,2011,Sub-Saharan Africa,2.2671,0.859458,,1018.477304,,,18.6,7.9,,72.7243902439024,0.129805808891023,12.2,1.886654629709801,46.28,0.807,0.592,8.29,,,,,91882.0
Seychelles,2012,Sub-Saharan Africa,2.04436,1.026008,,1059.498462,,,18.6,7.4,,74.2756097560976,0.129259307366537,12.4,0.980980190128322,45.88,0.804,0.592,10.41,,,,,92608.0
Seychelles,2013,Sub-Saharan Africa,2.66699,0.643887,,1328.089688,,,17.4,8.0,,73.119512195122,0.129168752514755,12.5,1.84687609296508,45.463,0.834,0.631,8.48,,,,,93397.0
Seychelles,2014,Sub-Saharan Africa,2.36934,0.971094,,1342.993794,,,17.0,7.9,,73.2292682926829,0.12889095504683,12.6,1.55539570911507,45.031,0.833,0.631,9.73,,,,,94214.0
Seychelles,2015,Sub-Saharan Africa,2.04575,1.432643,,1377.492466,,,17.0,7.5,,74.2951219512195,0.128841262222869,12.7,2.22979505321923,44.6,0.832,0.631,10.03,,,,,94981.0
Seychelles,2016,Sub-Saharan Africa,2.01093,1.468127,,1425.708688,,,17.4,7.9,,74.309756097561,0.128231296743604,12.8,1.33763477950025,44.169,0.842,0.65,9.5,,,,,95711.0
Seychelles,2017,Sub-Saharan Africa,1.88059,1.582194,,1528.270954,,,17.2,7.8,,74.3,0.126779298295975,12.7,1.22403375818123,43.739,0.842,0.664,10.14,,,,,96418.0
Seychelles,2018,Sub-Saharan Africa,1.98354,1.613012,,1547.733407,,,17.1,8.4,,72.8414634146341,0.126779298295975,12.5,0.954291917891324,43.309,0.85,0.67,10.18,,,,,97094.0
Seychelles,2019,Sub-Saharan Africa,2.32037,1.274673,,1582.869257,,,16.4,8.1,,74.0463414634146,0.126779298295975,12.3,0.887925293341637,42.881,0.85,0.695,10.18,,,,,97741.0
Seychelles,2020,Sub-Saharan Africa,2.48013,1.274673,,1058.881171,,,15.8,6.8,,74.0463414634146,0.126779298295975,12.0,0.853707878128979,42.454,0.884,0.695,10.18,,,,,98340.0
