Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
South Sudan,2000,,,,,,,43.081,16.075,,49.166,10.2571988092525,108.9,4.37728946384276,83.496,0.055,0.164,,,,,,6199396.0,Sub-Saharan Africa
South Sudan,2001,,,,,,,42.483,15.704,,49.592,9.91625383408323,104.1,3.92857235770112,83.368,0.051,0.191,,,,,,6447791.0,Sub-Saharan Africa
South Sudan,2002,,,,,,,41.904,15.319,,50.05,9.61488159302136,99.5,3.66109260333622,83.239,0.051,0.183,,,,,,6688225.0,Sub-Saharan Africa
South Sudan,2003,,,,,,,41.359,14.915,,50.55,9.2602468896047,95.0,3.63284220195551,83.109,0.051,0.19,,,,,,6935665.0,Sub-Saharan Africa
South Sudan,2004,,,,,,,40.855,14.493,,51.095,8.82492090871272,90.7,3.92570907901996,82.977,0.073,0.239,,,,,,7213354.0,Sub-Saharan Africa
South Sudan,2005,,,,,,,40.389,14.055,,51.686,8.30929025561972,86.6,4.37483508104279,82.846,0.104,0.277,,,,,,7535931.0,Sub-Saharan Africa
South Sudan,2006,,,,,,,39.952,13.608,,52.315,7.74614170235785,82.8,4.81175339609109,82.713,0.104,0.297,,,,,,7907407.0,Sub-Saharan Africa
South Sudan,2007,,,,,,,39.525,13.166,,52.96,7.18214223517372,79.1,5.02785154526534,82.58,0.107,0.285,,,,,,8315144.0,Sub-Saharan Africa
South Sudan,2008,,,,,,,39.096,12.742,,53.6,6.61841320787304,75.7,4.94806676990423,82.445,0.107,0.298,,,,,,8736932.0,Sub-Saharan Africa
South Sudan,2009,,,,,,,38.66,12.344,,54.219,6.07558190774529,72.4,4.53483026132962,82.299,0.107,0.302,,,,,,9142258.0,Sub-Saharan Africa
South Sudan,2010,,,,,,,38.219,11.984,,54.8,5.64102280317108,69.2,3.9265272772907,82.14,0.102,0.31,,,,,,9508372.0,Sub-Saharan Africa
South Sudan,2011,,,,,,,37.776,11.669,,55.325,5.41790086786473,66.4,3.33369599126706,81.968,0.1263333333333333,0.356,,,,,,9830695.0,Sub-Saharan Africa
South Sudan,2012,,,,,,,37.34,11.399,,55.791,5.24787728449232,64.5,2.83761652164451,81.783,0.1506666666666666,0.369,,,,,,10113648.0,Sub-Saharan Africa
South Sudan,2013,,,,,,,36.918,11.171,,56.2,5.37608925708001,63.6,2.35865931853706,81.585,0.175,0.196,,,,,,10355030.0,Sub-Saharan Africa
South Sudan,2014,,,,,,,36.509,10.983,,56.552,5.55353847528303,63.3,1.91161097075419,81.374,0.124,0.183,,,,,,10554882.0,Sub-Saharan Africa
South Sudan,2015,,,,,,,36.116,10.826,,56.855,5.35279733839836,63.3,1.51174412560417,81.148,0.114,0.164,,,,,,10715657.0,Sub-Saharan Africa
South Sudan,2016,,,,,,,35.738,10.694,,57.12,5.40714023802935,63.3,1.08467779680228,80.908,0.086,0.08,,,,,,10832520.0,Sub-Saharan Africa
South Sudan,2017,,,,,,,35.37,10.574,,57.365,5.50774206783823,63.3,0.719802049046745,80.654,0.069,0.131,,,,,,10910774.0,Sub-Saharan Africa
South Sudan,2018,,,,,,,35.01,10.459,,57.604,5.50774206783823,63.3,0.595340534474696,80.385,0.078,0.112,,,,,,10975924.0,Sub-Saharan Africa
South Sudan,2019,,,,,,,34.653,10.342,,57.846,5.50774206783823,63.3,0.782197030861146,80.101,0.099,0.11,,,,,,11062114.0,Sub-Saharan Africa
South Sudan,2020,,,,,,,34.297,10.22,,58.095,5.50774206783823,63.3,1.18275937083062,79.801,0.123,0.176,,,,,,11193729.0,Sub-Saharan Africa
