Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Spain,2000,Europe and Central Asia,3.67764,1.161677,4041.482,596877.190531,27290219.0,1.32296909061632,9.8,8.9,1.3545706164,78.9658536585366,0.0061165998479467,4.4,0.447137014535835,23.738,0.981,0.962,12.58,30.831,10.6626300811768,59.36,32.43,40824745.0
Spain,2001,Europe and Central Asia,3.67764,1.09558,4168.829,627281.18764,27722464.0,1.17889964022421,9.9,8.8,1.3964374292,79.3682926829268,0.0062132146405263,4.3,0.694068084334464,23.657,0.981,0.962,12.69,31.46,10.712610244751,60.54,33.61,41319431.0
Spain,2002,Europe and Central Asia,3.48902,1.176275,4314.321,705426.402795,28062768.0,1.3177953095615,10.1,8.8,1.3454329101,79.5682926829268,0.0062828023054309,4.2,1.41259540475782,23.467,0.981,0.962,12.68,31.042,10.7089996337891,60.84,35.37,41919593.0
Spain,2003,Europe and Central Asia,3.43116,1.16031,4429.076,905457.182332,38290384.0,1.12910151797114,10.4,9.1,1.378048948,79.619512195122,0.0067364910229489,4.1,1.80845446818345,23.222,0.981,0.962,14.02,30.719,10.8875503540039,61.26,36.78,42596455.0
Spain,2004,Europe and Central Asia,3.12833,1.198201,4563.151,1067139.744091,39268620.0,1.07252967287406,10.6,8.6,1.2006923839,79.8707317073171,0.0066418945727363,3.9,1.7254663034483,22.978,0.981,0.962,14.07,30.207,10.7242603302002,61.59,38.24,43308345.0
Spain,2005,Europe and Central Asia,2.76905,1.23981,4695.876,1153256.976571,37528224.0,1.03359173126615,10.6,8.8,1.1767614244,80.1707317073171,0.006707672969961,3.8,1.68934904712031,22.737,0.981,0.962,14.38,29.57,10.7791204452515,63.25,40.92,44019118.0
Spain,2006,Europe and Central Asia,2.41168,1.220853,4741.825,1259279.36197,39534729.0,1.01352225875214,10.8,8.3,1.0641969904,80.8219512195122,0.0067381663944954,3.7,1.69035255626114,22.498,0.984,0.962,14.69,29.403,10.8859100341797,64.03,42.47,44728561.0
Spain,2007,Europe and Central Asia,2.50795,1.067345,4879.103,1472055.567912,47481251.0,0.988423248534039,10.9,8.5,1.0609946217,80.8731707317073,0.0067124073131713,3.6,1.85108130845179,22.26,0.984,0.962,14.58,29.113,10.8469896316528,64.14,43.72,45429071.0
Spain,2008,Europe and Central Asia,2.36846,1.088419,4892.71,1625285.04679,50333302.0,0.966537810850804,11.3,8.4,0.883461047,81.1756097560976,0.0067128431829064,3.4,1.59533049906372,22.024,0.984,0.962,14.82,27.791,10.9364004135132,61.78,43.89,46068811.0
Spain,2009,Europe and Central Asia,2.26545,1.021118,4556.108,1485494.011251,42156232.0,0.953149493952963,10.6,8.3,0.88443207632,81.4756097560976,0.0064115592106004,3.3,0.88573598057307,21.79,0.984,0.962,14.79,24.699,10.6325702667236,55.85,42.12,46583566.0
Spain,2010,Europe and Central Asia,2.43113,0.939195,4451.938,1420722.034063,44752552.0,0.948477484070162,10.4,8.2,0.85444568837,81.6268292682927,0.0058716225443304,3.1,0.460408305051304,21.558,0.984,0.962,14.75,22.946,10.5619201660156,54.16,41.61,46931011.0
Spain,2011,Europe and Central Asia,2.37327,0.945437,4400.698,1478772.824224,46332534.0,0.915071171283039,10.1,8.3,0.81768333448,82.4756097560976,0.0058786898964805,3.0,0.355338396471428,21.327,0.984,0.962,14.6,21.743,10.618109703064,52.76,41.3,47084242.0
Spain,2012,Europe and Central Asia,2.4083,1.011669,4193.089,1324820.091195,41481017.0,0.914223838802153,9.7,8.6,0.77343038836,82.4268292682927,0.0056082718393869,2.9,0.0649259625617232,21.098,0.977,0.951,13.57,20.638,9.21341037750244,50.02,40.06,47063059.0
Spain,2013,Europe and Central Asia,2.62234,0.978188,4044.031,1354757.433213,50451898.0,0.914901033109069,9.1,8.3,0.64350401659,83.0780487804878,0.0053323816426346,2.8,-0.327669039579687,20.867,0.974,0.934,14.05,19.755,9.49991035461426,48.82,39.15,46930554.0
Spain,2014,Europe and Central Asia,2.53634,1.034861,4080.639,1369398.8446,46375109.0,0.862745998001708,9.2,8.5,0.69049660965,83.2292682926829,0.0051680273856933,2.8,-0.298951059088036,20.634,0.974,0.932,14.16,19.454,9.54349040985107,49.69,39.61,46777927.0
Spain,2015,Europe and Central Asia,2.73536,1.027381,4292.581,1195119.269972,40789538.0,0.864978107120758,9.0,9.1,0.64707002941,82.8317073170732,0.0049669231600669,2.7,-0.077588861590047,20.398,0.974,0.904,14.83,19.673,9.77103996276855,51.36,40.61,46671919.0
Spain,2016,Europe and Central Asia,2.82572,1.110085,4516.018,1232076.017362,42386985.0,0.856825590824422,8.8,8.8,0.63043953794,83.3292682926829,0.0048693822119918,2.7,0.0844301500680736,20.16,0.979,0.904,15.09,19.503,9.97323989868164,52.63,41.7,46634131.0
Spain,2017,Europe and Central Asia,2.78853,1.232319,2305.559,1312539.279462,44235749.0,0.850448574741478,8.4,9.1,0.65812850334,83.2829268292683,0.00464846008437,2.7,0.234587922968563,19.92,0.974,0.898,15.33,19.219,10.2250900268555,52.63,41.7,46647425.0
Spain,2018,Europe and Central Asia,2.76116,1.408378,2385.791,1420994.142512,52951892.0,0.851258978863805,7.9,9.1,0.62107992821,83.4317073170732,0.00464846008437,2.7,0.437982993728698,19.679,0.975,0.912,15.17,19.219,10.2250900268555,52.63,41.7,46692863.0
Spain,2019,Europe and Central Asia,2.61494,1.532325,2438.543,1393046.093137,45677494.0,0.851258978863805,7.6,8.8,0.62107992821,83.8317073170732,0.00464846008437,2.7,0.717715637103499,19.435,0.978,0.93,15.34,19.219,10.2250900268555,52.63,41.7,46736782.0
Spain,2020,Europe and Central Asia,3.14802,1.532325,2375.217,1281484.640044,51727818.0,0.851258978863805,7.1,8.8,0.62107992821,82.3341463414634,0.00464846008437,2.7,0.483781300300834,19.19,0.974,0.929,15.34,19.219,10.2250900268555,52.63,41.7,46754783.0
