Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Switzerland,2000,Europe and Central Asia,0.918861,0.757678,,279834.109457,4561849.0,0.692823895170992,10.9,8.5,0.96587737221,79.6804878048781,0.0106363828119885,4.7,0.561954617400164,26.617,0.982,0.979,7.84,22.489,14.6406497955322,75.99,55.83,7143764.0
Switzerland,2001,Europe and Central Asia,0.918861,0.825674,,287223.978218,4382233.0,0.660763028434753,10.0,8.5,1.1979093974,80.1804878048781,0.0104427484506976,4.6,0.632771238018431,26.625,0.982,0.979,8.7,22.876,15.4277095794678,76.08,56.79,7179174.0
Switzerland,2002,Europe and Central Asia,0.931025,0.759015,,310174.279926,4836963.0,0.67412239522526,9.9,8.5,1.1910733759,80.3853658536585,0.0107136404996989,4.5,0.756469145838096,26.599,0.984,0.979,8.84,23.049,15.3115196228027,74.58,57.47,7220378.0
Switzerland,2003,Europe and Central Asia,0.834714,0.848579,,363076.549539,5497194.0,0.663988018275848,9.8,8.6,1.0043526995,80.5365853658537,0.0098369935807104,4.5,0.74191960337232,26.573,0.984,0.979,9.31,22.918,16.3348903656006,73.86,56.79,7268363.0
Switzerland,2004,Europe and Central Asia,0.931269,0.785293,,405532.680112,6280515.0,0.0963981784600198,9.9,8.1,1.0650313611,81.0878048780488,0.0095327763161588,4.4,0.687425960233006,26.548,0.984,0.979,9.31,22.69,16.2223091125488,72.97,56.3,7323728.0
Switzerland,2005,Europe and Central Asia,0.814219,0.892112,,420552.82838,5790060.0,2.61199278514874,9.8,8.2,1.015322159,81.2365853658537,0.0099584993479924,4.3,0.640601540243491,26.522,0.984,0.979,9.39,22.811,15.8206996917725,72.18,56.32,7386818.0
Switzerland,2006,Europe and Central Asia,0.749619,1.218093,,443786.567434,5750489.0,0.542773245621177,9.8,8.1,0.80450943629,81.490243902439,0.0095143140187489,4.2,0.627558473346134,26.496,0.984,0.979,9.34,22.869,15.9700498580933,72.85,56.95,7457961.0
Switzerland,2007,Europe and Central Asia,0.768781,1.216225,,493551.424531,6190196.0,0.533847436151266,9.9,8.1,0.67666305868,81.7414634146342,0.0089576804435833,4.1,0.893690977823134,26.47,0.984,0.979,9.56,22.609,15.6751298904419,73.56,57.23,7536986.0
Switzerland,2008,Europe and Central Asia,0.779363,1.073724,,570309.462741,7449024.0,0.521505882246239,10.0,8.0,0.70839869623,81.9926829268293,0.0088653245672349,4.0,1.27061807385776,26.444,0.984,0.979,9.78,22.86,16.0096397399902,73.33,58.86,7622826.0
Switzerland,2009,Europe and Central Asia,0.717348,1.160519,,558178.47902,6797476.0,0.571790380129012,10.1,8.1,0.6611439969,82.0439024390244,0.0085699007987781,4.0,1.24948463127384,26.419,0.983,0.979,9.97,22.199,15.6436195373535,72.4,58.78,7713902.0
