,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
3339,Tajikistan,2000,23.8015,,,860.686334,425135.0,0.446533781520944,30.624,8.511,,61.974,0.228610863470818,67.6,1.56723465363582,73.499,0.334,0.26,4.62,18.27,,,,6216329.0,Europe and Central Asia
3340,Tajikistan,2001,23.8015,,,1080.899168,537492.0,0.433877910371671,30.081,8.044,,62.807,0.218826612286248,62.9,1.63038812768161,73.497,0.344,0.338,4.76,18.727,,,,6318510.0,Europe and Central Asia
3341,Tajikistan,2002,22.2361,,,1221.033718,598284.0,0.42029413584607,29.721,7.61,,63.653,0.175669423257526,58.4,1.70028177768677,73.495,0.341,0.334,4.21,18.835,,,,6426861.0,Europe and Central Asia
3342,Tajikistan,2003,24.1971,,,1555.024444,783757.0,0.406096867639494,29.552,7.215,,64.496,0.140261384942331,54.2,1.76879018000987,73.493,0.339,0.361,4.03,17.967,,,,6541550.0,Europe and Central Asia
3343,Tajikistan,2004,19.2244,,,2076.109308,943548.0,0.647983152438037,29.565,6.867,,65.314,0.128436343489277,50.4,1.83042886865691,73.492,0.345,0.356,4.41,18.054,,,,6662391.0,Europe and Central Asia
3344,Tajikistan,2005,21.1921,,,2312.320181,1102234.0,0.687955539021103,29.742,6.572,,66.08,0.124113012105685,47.0,1.88720655667795,73.49,0.307,0.309,4.3,16.285,,,,6789318.0,Europe and Central Asia
3345,Tajikistan,2006,21.4515,,,2830.152927,1329086.0,0.88358277221496,30.056,6.333,,66.771,0.114458695040341,44.1,1.94394823621184,73.488,0.307,0.311,4.27,15.723,,,,6922590.0,Europe and Central Asia
3346,Tajikistan,2007,19.4336,,,3719.437034,1155545.0,0.870724550386013,30.452,6.141,,67.382,0.107635873626336,41.7,2.00327651488055,73.486,0.305,0.316,3.85,15.753,,,,7062667.0,Europe and Central Asia
3347,Tajikistan,2008,19.8675,,,5161.241429,1387722.0,0.859077007662967,30.873,5.984,,67.911,0.102825479505533,39.7,2.06356681152108,73.484,0.307,0.326,5.04,15.231,,,,7209924.0,Europe and Central Asia
3348,Tajikistan,2009,18.5523,,,4979.375409,1785011.0,0.801925802676071,31.276,5.856,,68.36,0.106030372390106,38.1,2.12469662451,73.482,0.305,0.326,3.79,15.69,,,,7364752.0,Europe and Central Asia
3349,Tajikistan,2010,19.5868,,,5642.175856,2159782.0,0.782360694198724,31.627,5.746,,68.736,0.0950111505561093,36.9,2.18439215473896,73.48,0.275,0.292,4.52,15.284,,,,7527397.0,Europe and Central Asia
3350,Tajikistan,2011,23.8355,,,6522.755783,2607594.0,0.766784224567108,31.906,5.643,,69.055,0.0908011235931353,35.8,2.2347212083873,73.479,0.272,0.297,4.83,12.585,,,,7697507.0,Europe and Central Asia
3351,Tajikistan,2012,23.3267,,,7698.884167,2811685.0,0.751533035179123,32.109,5.542,,69.34,0.086953678638396,35.0,2.27761028692613,73.455,0.266,0.287,6.55,12.67,,,,7874838.0,Europe and Central Asia
3352,Tajikistan,2013,20.4313,,,8653.589037,2839528.0,0.737614301934043,32.228,5.435,,69.609,0.0836387423568739,34.2,2.32138959348237,73.411,0.235,0.23,6.83,12.974,,,,8059782.0,Europe and Central Asia
3353,Tajikistan,2014,23.4453,,,9477.768271,2719804.0,0.724867122517664,32.241,5.322,,69.874,0.0805392028700161,33.4,2.3669420480681,73.345,0.229,0.221,7.28,12.905,,,,8252827.0,Europe and Central Asia
3354,Tajikistan,2015,21.9328,,,8271.431932,2031567.0,0.713626813454886,32.115,5.201,,70.137,0.0771473570527043,32.6,2.40860201118626,73.258,0.176,0.181,6.41,12.937,,,,8454019.0,Europe and Central Asia
3355,Tajikistan,2016,20.3761,,,6992.416097,1627824.0,0.703871682896739,31.822,5.078,,70.397,0.073768979537719,31.8,2.44855053416867,73.149,0.16,0.166,5.14,12.993,,,,8663575.0,Europe and Central Asia
3356,Tajikistan,2017,20.2833,,,7536.403147,2165590.0,0.73314099163788,31.364,4.961,,70.647,0.0713907070898872,30.9,2.47045070066645,73.018,0.192,0.135,5.88,13.397,,,,8880270.0,Europe and Central Asia
3357,Tajikistan,2018,19.7719,,,7765.000282,1998693.0,0.72334194311174,30.761,4.856,,70.879,0.0713907070898872,30.1,2.45355241672442,72.866,0.188,0.121,6.14,13.397,,,,9100847.0,Europe and Central Asia
3358,Tajikistan,2019,20.7446,,,8300.81389,2116463.0,0.72334194311174,30.038,4.767,,71.097,0.0713907070898872,29.2,2.3904900507883,72.691,0.187,0.127,6.58,13.397,,,,9321023.0,Europe and Central Asia
3359,Tajikistan,2020,23.7878,,,7996.848138,1663728.0,0.72334194311174,29.227,4.694,,71.301,0.0713907070898872,28.4,2.29738984750059,72.494,0.17,0.125,6.58,13.397,,,,9537642.0,Europe and Central Asia
