Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Thailand,2000,East Asia and Pacific,8.57929,0.308049,,126392.223203,11400388.0,1.18956860834093,14.524,6.877,8.1680451871,70.623,0.072382124396393,18.7,0.927419911266926,68.614,0.71,0.704,12.67,17.882,,75.15,60.46,62952639.0
Thailand,2001,East Asia and Pacific,8.57929,0.284705,,120296.47618,11439119.0,1.16097985227069,14.118,6.951,7.9006358123,70.832,0.0706788196572798,17.8,0.927419911266926,67.452,0.695,0.696,10.58,18.838,,79.09,63.13,63539190.0
Thailand,2002,East Asia and Pacific,8.69218,0.268631,,134300.903358,12792533.0,1.1700574643425,13.751,7.012,7.0829783715,71.089,0.0695978329451846,17.0,0.830519827451946,66.266,0.689,0.696,10.28,19.8,,79.36,63.495000000000005,64069093.0
Thailand,2003,East Asia and Pacific,9.44135,0.227328,,152280.616469,14798227.0,1.1773431229561,13.423,7.06,9.967487617,71.389,0.0690897833009552,16.2,0.747597771296771,65.059,0.69,0.696,13.77,19.8,,79.63,63.86,64549867.0
Thailand,2004,East Asia and Pacific,9.29111,0.230458,,172895.635786,16515946.0,1.13810589029556,13.131,7.097,6.5743212244,71.728,0.0704760845593343,15.5,0.687694887393632,63.831,0.663,0.696,12.99,20.6,,80.41,64.18,64995303.0
Thailand,2005,East Asia and Pacific,9.19435,0.220098,,189318.457214,19011870.0,1.12726588140236,12.87,7.123,7.3468052381,72.099,0.065679091868067,14.8,0.645476031073619,62.589,0.659,0.674,13.14,20.24,,80.25,65.39,65416189.0
Thailand,2006,East Asia and Pacific,9.402,0.203684,,221758.373918,21608995.0,1.11775150127333,12.632,7.141,7.1217430599,72.499,0.0633212714203786,14.1,0.604063162436286,61.327,0.63,0.615,14.8,20.679,,80.1,64.2,65812539.0
Thailand,2007,East Asia and Pacific,9.34768,0.178815,,262942.682506,29434261.0,1.09644399716491,12.407,7.154,6.7012113735,72.916,0.0629234806191368,13.4,0.559909199584795,60.05,0.647,0.551,14.59,20.762,,80.58,65.12,66182064.0
Thailand,2008,East Asia and Pacific,10.0724,0.124903,,291382.985569,31520734.0,1.08637642163709,12.188,7.164,5.9731571668,73.341,0.0629552632516434,12.8,0.525821416507964,58.758,0.663,0.615,15.28,19.559,,80.37,64.93,66530979.0
Thailand,2009,East Asia and Pacific,9.78704,0.106734,,281710.541673,28601427.0,1.07066413942703,11.971,7.175,5.5378724825,73.766,0.0620718156155203,12.2,0.503538550690529,57.457,0.663,0.618,14.38,20.821,,79.81,63.43,66866834.0
Thailand,2010,East Asia and Pacific,10.5222,0.096413,,341104.671649,37847253.0,1.07740396079745,11.757,7.191,5.4379020163,74.184,0.0602625316375411,11.7,0.489622687570703,56.144,0.65,0.615,14.36,20.721,,79.47,63.28,67195032.0
Thailand,2011,East Asia and Pacific,11.5918,0.075407,,370818.768366,48992490.0,1.18456054937849,11.548,7.213,4.8979256448,74.593,0.0582576318491728,11.2,0.480052607326658,55.302,0.668,0.637,14.04,20.621,,80.49,65.36,67518379.0
Thailand,2012,East Asia and Pacific,11.5041,0.072757,,397558.393886,46157352.0,1.1308351736987,11.351,7.241,4.8985811642,74.992,0.0562832744423795,10.6,0.469272819846721,54.555,0.674,0.665,14.39,20.96,,80.6,64.88,67835969.0
Thailand,2013,East Asia and Pacific,11.3222,0.07258,,420333.691698,43207733.0,1.15513814769682,11.169,7.279,4.2468565961,75.378,0.055421835942856,10.2,0.453815887976248,53.807,0.599,0.599,13.74,20.382,,79.51,62.4,68144519.0
Thailand,2014,East Asia and Pacific,10.0889,0.079213,,407339.097594,39407823.0,1.1630883183697,10.999,7.327,3.8706143485,75.747,0.0543157901298101,9.7,0.430842608467137,53.057,0.372,0.271,14.45,22.786,,78.23,61.18,68438748.0
Thailand,2015,East Asia and Pacific,8.87273,0.095678,,401296.183736,34413911.0,1.16793610825497,10.836,7.389,3.4737927802,76.091,0.0535233485961556,9.3,0.402136059408841,52.306,0.344,0.276,14.79,22.427,,77.47,60.73,68714519.0
Thailand,2016,East Asia and Pacific,8.44797,0.092255,,413366.345844,35861869.0,1.17563072051486,10.676,7.467,3.2317784062,76.403,0.0528340776033051,8.9,0.373014846949147,51.552,0.35,0.294,15.06,22.427,,77.12,60.91,68971313.0
Thailand,2017,East Asia and Pacific,8.32367,0.087612,,456356.812775,36726902.0,1.18214402369817,10.513,7.559,2.5820036484,76.683,0.052481853481726,8.5,0.345205219913361,50.8,0.33,0.281,14.48,22.693,,77.12,60.91,69209817.0
Thailand,2018,East Asia and Pacific,8.11679,0.084818,,506610.852246,38379005.0,1.16902975079838,10.344,7.666,2.5820036484,76.931,0.052481853481726,8.1,0.315406676202042,50.051,0.369,0.37,14.15,22.693,,77.12,60.91,69428454.0
Thailand,2019,East Asia and Pacific,8.29614,0.076484,,544263.738706,39126186.0,1.16902975079838,10.168,7.786,2.5820036484,77.15,0.052481853481726,7.7,0.283525943067606,49.308,0.371,0.436,13.87,22.693,,77.12,60.91,69625581.0
Thailand,2020,East Asia and Pacific,8.64485,0.076484,,501795.391454,38180607.0,1.16902975079838,9.987,7.786,2.5820036484,77.344,0.052481853481726,7.4,0.250165166562935,48.57,0.307,0.41,13.87,22.693,,77.12,60.91,69799978.0
