,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
3528,Ukraine,2000,13.9761,0.508819,,32375.081951,6822085.0,1.81017491396394,7.8,15.4,,67.6756097560976,0.038411578954146,15.7,-1.00657902702927,32.855,0.738,0.582,7.08,24.255,11.3589696884155,,,48838058.0,Europe and Central Asia
3529,Ukraine,2001,13.9761,0.508819,,39309.154142,7832034.0,1.84667592614669,7.7,15.3,,67.8370731707317,0.0362241219281201,15.0,-1.05092091504282,32.817,0.733,0.574,7.63,23.767,12.8109502792358,,,48401648.0,Europe and Central Asia
3530,Ukraine,2002,12.6033,0.508819,,43956.163612,7673317.0,1.83721373869142,8.1,15.7,,68.2756097560976,0.0359010602701284,14.3,-0.949639340714078,32.717,0.747,0.554,8.11,23.728,14.3609600067139,,,47980033.0,Europe and Central Asia
3531,Ukraine,2003,10.4995,0.650346,,52010.352502,9711849.0,1.79547731294123,8.5,16.0,,68.2107317073171,0.0360380011753764,13.6,-0.811376216452802,32.573,0.745,0.554,9.39,23.622,14.4195203781128,,,47582463.0,Europe and Central Asia
3532,Ukraine,2004,10.437,0.576851,,67217.871023,11124954.0,1.21563972995932,9.0,16.0,,68.1853658536585,0.0382289642459464,13.0,-0.758571027336172,32.403,0.731,0.551,8.18,23.82,12.7817497253418,,,47217489.0,Europe and Central Asia
3533,Ukraine,2005,8.8753,0.655208,,89238.865119,13285266.0,1.23153226025822,9.0,16.6,,67.9568292682927,0.0399008638185005,12.5,-0.732800943705215,32.21,0.77,0.807,8.43,22.71,13.7386503219604,,,46890775.0,Europe and Central Asia
3534,Ukraine,2006,7.23907,0.67947,,111884.752475,15887359.0,0.975361860384344,9.8,16.2,,68.0775609756098,0.0391785356564838,12.0,-0.676059672626708,32.031,0.8,0.839,8.7,23.953,13.9232301712036,,,46607397.0,Europe and Central Asia
3535,Ukraine,2007,6.283,0.627372,,148733.861386,19453470.0,0.980640961528041,10.2,16.4,,68.2221951219512,0.0434051719621119,11.5,-0.596871080118823,31.853,0.804,0.853,8.16,23.906,14.036190032959,,,46366347.0,Europe and Central Asia
3536,Ukraine,2008,6.5354,1.008164,,188110.375779,25271540.0,0.985616147161384,11.0,16.3,,68.2514634146342,0.0449184272837943,11.1,-0.541496740974727,31.675,0.807,0.857,6.78,22.701,13.5578298568726,,,46158709.0,Europe and Central Asia
3537,Ukraine,2009,6.9054,0.858774,,121552.148244,17430076.0,0.987960744627841,11.1,15.3,,69.19,0.0392194845041466,10.6,-0.443841324029999,31.498,0.813,0.858,7.91,25.912,15.05482006073,,,45970942.0,Europe and Central Asia
3538,Ukraine,2010,7.44757,0.769895,,136012.480322,23938485.0,0.991032293743956,10.8,15.2,,70.2653658536586,0.0365353816146486,10.1,-0.397263167656909,31.404,0.725,0.702,7.5,25.677,14.2695698738098,,,45792086.0,Europe and Central Asia
3539,Ukraine,2011,8.1966,0.731784,,163160.432769,32453937.0,0.992742468048802,11.0,14.5,,70.8092682926829,0.0348185300818777,9.6,-0.359600092788762,31.311,0.743,0.703,7.49,25.653,13.4843196868896,,,45619850.0,Europe and Central Asia
3540,Ukraine,2012,7.81572,0.778641,,175780.733796,28572478.0,1.00277378851531,11.4,14.5,,70.9441463414634,0.035591451195694,9.2,-0.246976481186878,31.218,0.743,0.697,7.64,25.886,13.6655197143555,,,45453805.0,Europe and Central Asia
3541,Ukraine,2013,8.78639,0.716099,,183310.146378,33672715.0,0.562938805586558,11.1,14.6,,71.159512195122,0.0351137252792857,8.8,-0.227691350050529,31.125,0.74,0.683,6.94,24.81,13.867639541626,,,45286988.0,Europe and Central Asia
3542,Ukraine,2014,10.1546,0.699661,,133503.867182,28124681.0,0.973696821357181,10.8,14.7,,71.1865853658537,0.0358591501067605,8.4,-0.479262000344597,31.032,0.6579999999999999,0.631,7.71,26.14,13.1213502883911,,,45111530.0,Europe and Central Asia
3543,Ukraine,2015,12.0594,0.509716,,91030.968761,22494719.0,1.22183252446588,10.7,14.9,,71.189512195122,0.0308366429778121,8.1,-0.261249679711809,30.939,0.576,0.654,8.55,24.69,12.7372350692749,,,44921636.0,Europe and Central Asia
3544,Ukraine,2016,11.7257,0.574431,,93355.868978,23533629.0,1.40623702722263,10.3,14.7,,71.4763414634146,0.0288032502762912,7.9,-0.331333796371949,30.846,0.625,0.648,8.97,24.42,12.3531198501587,,,44713708.0,Europe and Central Asia
3545,Ukraine,2017,10.1864,0.706242,,112190.328583,24646700.0,1.44021542131272,9.4,14.5,,71.7809756097561,0.0272580767715393,7.6,-0.386345310894755,30.754,0.639,0.657,8.46,24.619,13.051420211792,,,44487708.0,Europe and Central Asia
3546,Ukraine,2018,10.1436,0.776009,,130901.895317,28687948.0,1.45463742574431,8.7,14.8,,71.5826829268293,0.0272580767715393,7.4,-0.466425620896808,30.648,0.646,0.672,8.37,24.619,13.051420211792,,,44246158.0,Europe and Central Asia
3547,Ukraine,2019,9.00909,0.918222,,153929.552493,30318430.0,1.45463742574431,8.1,14.7,,71.8273170731707,0.0272580767715393,7.2,-0.530994160113763,30.527,0.673,0.719,7.67,24.619,13.051420211792,,,43993643.0,Europe and Central Asia
3548,Ukraine,2020,9.2684,0.918222,,155581.867992,30302110.0,1.45463742574431,7.8,15.9,,71.1851219512195,0.0272580767715393,6.9,-0.568251538691365,30.392,0.71,0.767,7.67,24.619,13.051420211792,,,43733759.0,Europe and Central Asia
