Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
United Arab Emirates,2000,1.99628,0.586536,,105700.982176,,3.74863473019202,16.494,1.869,,74.327,0.0199864129112645,9.6,5.5107500989409,19.764,0.556,0.174,7.57,34.158,,,,3134067.0,Middle East and North Africa
United Arab Emirates,2001,1.99628,0.520274,,104661.744313,,3.47968024901857,15.996,1.816,,74.544,0.0179010744925315,9.3,5.24154548212896,19.345,0.556,0.174,7.58,36.543,,,,3302722.0,Middle East and North Africa
United Arab Emirates,2002,1.96519,0.354593,,111251.308555,,2.02617822263646,15.514,1.763,,74.758,0.0164151137472118,9.1,5.19315186182676,18.933,0.551,0.142,7.8,37.107,,,,3478769.0,Middle East and North Africa
United Arab Emirates,2003,1.71923,0.24518,,125971.349039,,2.24896736770616,15.024,1.71,,74.968,0.0151168595297276,8.9,6.48737308141272,18.528,0.534,0.142,8.09,38.16,,,,3711931.0,Middle East and North Africa
United Arab Emirates,2004,1.48538,0.234994,,149756.056208,,1.97303103341052,14.518,1.658,,75.174,0.0138263287393587,8.6,9.17410804804272,18.129,0.5326666666666667,0.11,7.94,38.623,,,,4068577.0,Middle East and North Africa
United Arab Emirates,2005,1.24456,0.217291,,182977.708322,,1.73269302964774,14.001,1.605,,75.376,0.0126453193765188,8.4,12.0199278323734,17.738,0.5313333333333333,0.119,8.38,40.117,,,,4588222.0,Middle East and North Africa
United Arab Emirates,2006,0.975975,0.303175,,225019.084677,,1.45998315007682,13.49,1.555,,75.573,0.0111913285460843,8.2,14.4246687668402,17.352,0.53,0.126,8.53,32.356,,,,5300172.0,Middle East and North Africa
United Arab Emirates,2007,0.871105,0.294002,,261286.649417,,1.21788921649843,13.01,1.508,,75.767,0.0100847739269293,8.1,15.1772513526911,16.977,0.553,0.126,8.53,27.776,,,,6168846.0,Middle East and North Africa
United Arab Emirates,2008,0.737857,0.350555,,319597.350364,,1.03107685869294,12.581,1.467,,75.957,0.0093641779572608,7.9,13.9101055053539,16.613,0.553,0.127,8.53,24.398,,,,7089486.0,Middle East and North Africa
United Arab Emirates,2009,0.924754,0.072423,,256860.757132,,0.902005901948421,12.208,1.431,,76.145,0.0088247020389843,7.6,11.0445985920276,16.258,0.555,0.127,8.53,23.123,,,,7917368.0,Middle East and North Africa
United Arab Emirates,2010,0.763418,0.095941,,289787.452661,,0.819833146272058,11.888,1.403,,76.332,0.0083284414020176,7.4,7.68722216681039,15.913,0.566,0.135,8.53,23.121,,,,8549998.0,Middle East and North Africa
United Arab Emirates,2011,0.671921,0.183016,,350666.058392,,0.787872692749578,11.616,1.382,,76.521,0.0077921612228681,7.2,4.53624184406951,15.577,0.526,0.127,8.53,22.794,,,,8946778.0,Middle East and North Africa
United Arab Emirates,2012,0.638887,0.313423,,374590.657683,,0.775460418219488,11.377,1.369,,76.711,0.007235365879466,7.0,2.15417385990529,15.251,0.58,0.136,8.53,22.48,,,,9141598.0,Middle East and North Africa
United Arab Emirates,2013,0.643769,0.399144,,390107.528483,,0.956908874479225,11.159,1.363,,76.903,0.0067044627040707,6.8,0.614086082306359,14.934,0.561,0.138,8.53,21.989,,,,9197908.0,Middle East and North Africa
United Arab Emirates,2014,0.639519,0.330207,,403137.207535,,0.958572621461802,10.958,1.366,,77.095,0.0062686826644068,6.7,0.176775197578861,14.625,0.576,0.123,7.78,21.775,,,,9214182.0,Middle East and North Africa
United Arab Emirates,2015,0.741025,0.152322,,358134.94442,,0.954538223195279,10.772,1.377,,77.285,0.0058962129475875,6.5,0.527292387564473,14.326,0.59,0.121,7.89,21.464,,,,9262896.0,Middle East and North Africa
United Arab Emirates,2016,0.776042,0.121735,,357045.156019,,0.952720705690812,10.603,1.398,,77.47,0.0057118863461844,6.3,1.05327089864392,14.035,0.605,0.108,7.89,21.146,,,,9360975.0,Middle East and North Africa
United Arab Emirates,2017,0.770536,0.19002,,385605.506855,,0.943639130827477,10.456,1.429,,77.647,0.0056017669466753,6.2,1.33947023681167,13.752,0.592,0.09,7.36,21.108,,,,9487206.0,Middle East and North Africa
United Arab Emirates,2018,0.718738,0.182875,,422215.043585,,0.932898947941721,10.331,1.47,,77.814,0.0056017669466753,6.0,1.50393782063358,13.478,0.579,0.072,7.4,21.108,,,,9630966.0,Middle East and North Africa
United Arab Emirates,2019,0.730841,0.090312,,417215.559513,,0.932898947941721,10.223,1.521,,77.972,0.0056017669466753,5.8,1.43867705802644,13.211,0.566,0.0735,7.4,21.108,,,,9770526.0,Middle East and North Africa
United Arab Emirates,2020,0.717894,0.090312,,358868.765175,,0.932898947941721,10.126,1.582,,78.12,0.0056017669466753,5.6,1.21942868246666,12.952,0.572,0.075,7.4,21.108,,,,9890400.0,Middle East and North Africa
