,Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
3612,Vanuatu,2000,24.1803,0.078325,,264.975213,55913.0,,33.384,6.118,,67.363,0.666242025628747,23.9,2.26910126490365,78.327,0.85,0.896,9.7,6.832,,,,184964.0,East Asia and Pacific
3613,Vanuatu,2001,24.1803,0.078325,,254.959116,56139.0,,33.25,5.999,,67.583,0.63338112163321,23.7,2.26910126490365,78.047,0.85,0.896,11.27,6.234,,,,189209.0,East Asia and Pacific
3614,Vanuatu,2002,24.1541,0.078325,,264.219504,54477.0,,33.144,5.885,,67.793,0.598949019496265,23.6,2.46295753924096,77.765,0.85,0.896,11.75,6.274,,,,193927.0,East Asia and Pacific
3615,Vanuatu,2003,22.8296,0.081595,,314.455046,68741.0,,33.054,5.781,,67.99,0.56952290955467,23.5,2.56219999059576,77.479,0.85,0.896,13.21,6.047,,,,198960.0,East Asia and Pacific
3616,Vanuatu,2004,23.5973,0.071614,,364.996869,77169.0,,32.971,5.692,,68.176,0.543799942856523,23.6,2.56189538295377,77.191,0.85,0.896,12.56,6.075,,,,204123.0,East Asia and Pacific
3617,Vanuatu,2005,22.2757,0.079586,,394.962432,79497.0,,32.887,5.621,,68.35,0.516239949761006,23.6,2.49598714734069,76.901,0.85,0.896,11.7,6.186,,,,209282.0,East Asia and Pacific
3618,Vanuatu,2006,20.9841,0.097716,,439.376662,79278.0,,32.797,5.571,,68.515,0.48643552227005,23.8,2.4062851840164,76.608,0.85,0.896,10.67,6.354,,,,214379.0,East Asia and Pacific
3619,Vanuatu,2007,20.5592,0.081599,,526.42831,91909.0,,32.696,5.541,,68.672,0.461592465811598,23.9,2.34427333143859,76.313,0.85,0.896,9.9,6.352,,,,219464.0,East Asia and Pacific
3620,Vanuatu,2008,20.1921,0.069718,,607.958816,94897.0,,32.578,5.526,,68.824,0.442304780915938,24.1,2.35779692386399,76.015,0.85,0.896,8.18,6.749,,,,224700.0,East Asia and Pacific
3621,Vanuatu,2009,19.76,0.078408,,610.066438,91238.0,,32.437,5.523,,68.974,0.424826234774466,24.2,2.43734369726789,75.714,0.85,0.896,7.27,7.383,,,,230244.0,East Asia and Pacific
3622,Vanuatu,2010,20.7249,0.093751,,700.804045,144645.0,,32.262,5.526,,69.123,0.405837442778975,24.3,2.56070245091676,75.538,0.856,0.896,6.85,7.313,,,,236216.0,East Asia and Pacific
3623,Vanuatu,2011,22.8808,0.062811,,792.149996,176324.0,,32.048,5.529,,69.272,0.388909624770975,24.5,2.69064039319617,75.439,0.856,0.896,9.39,6.732,,,,242658.0,East Asia and Pacific
3624,Vanuatu,2012,25.016,0.074831,,781.702874,182604.0,,31.794,5.527,,69.421,0.371896060715499,24.5,2.78259104658423,75.339,0.856,0.896,9.4,6.247,,,,249505.0,East Asia and Pacific
3625,Vanuatu,2013,24.9928,0.050818,,801.787556,186646.0,,31.502,5.514,,69.57,0.355593569692041,24.3,2.81836800127082,75.239,0.856,0.896,9.8,6.396,,,,256637.0,East Asia and Pacific
3626,Vanuatu,2014,25.1966,0.039975,,814.950466,162166.0,,31.174,5.489,,69.719,0.345689631482271,24.1,2.78621356221544,75.139,0.856,0.896,2.06,6.475,,,,263888.0,East Asia and Pacific
3627,Vanuatu,2015,21.6035,0.06512,,759.689266,130549.0,,30.814,5.45,,69.869,0.325196571182501,23.6,2.70662633869409,75.039,0.861,0.903,4.71,6.804,,,,271128.0,East Asia and Pacific
3628,Vanuatu,2016,20.928,0.040188,,804.328186,129767.0,,30.424,5.396,,70.021,0.31088603350433,23.2,2.62020544375229,74.938,0.861,0.903,3.35,6.682,,,,278326.0,East Asia and Pacific
3629,Vanuatu,2017,21.3704,0.040098,,880.046992,139353.0,,30.015,5.334,,70.172,0.298925421214643,22.7,2.54454379327002,74.837,0.861,0.908,3.95,6.783,,,,285499.0,East Asia and Pacific
3630,Vanuatu,2018,21.219,0.072546,,914.701139,138254.0,,29.595,5.266,,70.323,0.298925421214643,22.2,2.48242519027756,74.726,0.8586666666666667,0.898,6.72,6.783,,,,292675.0,East Asia and Pacific
3631,Vanuatu,2019,21.1731,0.07626,,934.239701,132399.0,,29.175,5.197,,70.474,0.298925421214643,21.6,2.43262855812858,74.606,0.8563333333333333,0.88,5.02,6.783,,,,299882.0,East Asia and Pacific
3632,Vanuatu,2020,23.5508,0.07626,,854.79364,126526.0,,28.763,5.197,,70.623,0.298925421214643,21.1,2.39471636629146,74.475,0.854,0.834,5.02,6.783,,,,307150.0,East Asia and Pacific
