,Country,Year,Gender Equality,% Undernourishment,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,%EmploymentAgriFishForest,TotalAgri,% Soldiers,Marriage Rate,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Literacy Rate,Infant Mortality,% Population Growth,% Rural Population,Suicide Rate,Gini,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
84,Antigua and Barbuda,2000,,,1.61278,0.384769,,783.837037,,15973.0,,,19.84,6.216,,73.94,0.099308153982053,,12.6,1.76934686581224,67.873,1.9,,,,11.86,,,,,76007.0,Latin America and Caribbean
85,Antigua and Barbuda,2001,,,1.61278,0.342373,,773.766667,,16534.0,,,19.635,6.124,,74.171,0.0995149802975,,12.3,1.57294440575692,68.26,1.9,,,,12.12,,,,,77212.0,Latin America and Caribbean
86,Antigua and Barbuda,2002,,,1.73138,0.298467,,802.52963,,15896.0,,,19.339,6.051,,74.395,0.0951662299236648,,11.9,1.39671745207427,68.902,1.3,,,,10.65,,,,,78298.0,Latin America and Caribbean
87,Antigua and Barbuda,2003,,,1.74801,0.216797,,839.996296,,17443.0,,,18.977,5.999,,74.613,0.0970533197653173,,11.5,1.28547728798399,69.536,1.3,,,,12.45,,,,,79311.0,Latin America and Caribbean
88,Antigua and Barbuda,2004,,,1.60917,0.272001,,898.355556,,17653.0,,,18.566,5.967,,74.821,0.0896482920620249,,11.0,1.29779220681331,70.163,1.7,,,,12.13,,,,,80347.0,Latin America and Caribbean
89,Antigua and Barbuda,2005,,,1.75667,0.189686,,1014.981481,,17975.0,,,18.137,5.955,,75.019,0.0851731764287246,,10.6,1.37818990118547,70.782,1.3,,,,11.53,,,,,81462.0,Latin America and Caribbean
90,Antigua and Barbuda,2006,,,1.65247,0.170004,,1149.025926,,18097.0,,,17.72,5.96,,75.204,0.0960604173703046,,10.1,1.52643102127801,71.394,0.5,,,,8.37,,,,,82715.0,Latin America and Caribbean
91,Antigua and Barbuda,2007,,,1.60578,0.166035,,1302.388889,,18263.0,,,17.341,5.976,,75.376,0.0985649652209231,,9.6,1.57610132986139,71.998,0.4,,,,8.45,,,,,84029.0,Latin America and Caribbean
92,Antigua and Barbuda,2008,,,1.54737,0.15107,,1370.07037,,22463.0,,,17.014,5.999,,75.535,0.0991712927948866,,9.2,1.61138633575081,72.595,0.3,,,,8.08,,,,,85394.0,Latin America and Caribbean
93,Antigua and Barbuda,2009,,,1.49146,0.149668,,1228.32963,,21633.0,,,16.749,6.026,,75.683,0.088538396729918,,8.7,1.56738832134701,73.182,0.0,,,,6.33,,,,,86743.0,Latin America and Caribbean
94,Antigua and Barbuda,2010,,,1.63315,0.114015,,1148.7,,13353.0,,,16.547,6.055,,75.823,0.0867488441024099,,8.3,1.47279415442432,73.762,0.2,,,,13.9,,,,,88030.0,Latin America and Caribbean
95,Antigua and Barbuda,2011,,,1.93295,0.103761,,1137.637037,,14437.0,,,16.396,6.085,,75.956,0.0844955856974399,,7.9,1.37637551869337,74.297,0.2,,,,12.99,,,,,89250.0,Latin America and Caribbean
96,Antigua and Barbuda,2012,,,1.89925,0.102111,,1199.948148,,14281.0,,,16.272,6.116,,76.087,0.0865496427765522,,7.5,1.28802773688723,74.474,0.0,,,,14.63,,,,,90407.0,Latin America and Caribbean
97,Antigua and Barbuda,2013,,,2.01786,0.089699,,1181.448148,,14118.0,,,16.152,6.151,,76.218,0.0847560687845126,,7.1,1.2126557898666,74.65,0.0,,,,13.3,,,,,91510.0,Latin America and Caribbean
98,Antigua and Barbuda,2014,,,1.65556,0.032736,,1249.733333,,14612.0,,,16.026,6.188,,76.349,0.0820725207824337,,6.8,1.14304343305706,74.825,0.4,,,,15.11,,,,,92562.0,Latin America and Caribbean
99,Antigua and Barbuda,2015,,,1.61219,0.031542,,1336.692593,,14706.0,,,15.883,6.227,,76.483,0.0845745358364229,,6.5,1.08418161589205,75.0,0.4,,,,11.82,,,,,93571.0,Latin America and Caribbean
100,Antigua and Barbuda,2016,,,1.5676,0.030992,,1436.585185,,29418.0,,,15.717,6.27,,76.617,0.083550562080159,,6.2,1.00909459019292,75.154,0.5,,,,11.61,,,,,94520.0,Latin America and Caribbean
101,Antigua and Barbuda,2017,,,1.79362,0.012025,,1467.977778,,33689.0,,,15.53,6.316,,76.752,0.0827386431396182,,6.0,0.952914631258636,75.287,0.0,,,,11.61,,,,,95425.0,Latin America and Caribbean
102,Antigua and Barbuda,2018,,,1.73669,0.008356,,1605.944444,,32849.0,,,15.327,6.366,,76.885,0.0827386431396182,,5.8,0.894078681398432,75.401,0.4,,,,12.68,,,,,96282.0,Latin America and Caribbean
103,Antigua and Barbuda,2019,,,1.75997,0.021173,,1687.533333,,33427.0,,,15.107,6.422,,77.016,0.0827386431396182,,5.6,0.861445783881833,75.494,0.4,,,,11.3,,,,,97115.0,Latin America and Caribbean
104,Antigua and Barbuda,2020,,,2.13631,0.021173,,1370.351852,,32205.0,,,14.876,6.484,,77.146,0.0827386431396182,,5.4,0.833667148911523,75.567,0.4,,,,11.3,,,,,97928.0,Latin America and Caribbean
105,Argentina,2000,,3.0,3.96074,1.926413,,308148.233467,0.7,20204510.0,0.627072542179057,,19.499,7.845,8.3942211703,73.576,0.177867198555016,,17.5,1.10060813455916,10.858,9.1,51.1,0.832,0.953,17.82,22.768,16.2261505126953,,,36870796.0,Latin America and Caribbean
106,Argentina,2001,,3.0,3.96074,1.784372,,291334.718272,0.8,19878164.0,0.613426049279488,,19.328,7.83,8.3942211703,73.755,0.178208295212495,,16.9,1.09203361158056,10.671,10.3,53.3,0.842,0.953,17.37,22.01,16.3559608459473,,,37275644.0,Latin America and Caribbean
107,Argentina,2002,,3.8,8.84866,0.552721,,110583.590317,1.0,16575966.0,0.609241525034584,,19.175,7.815,9.4740840412,73.932,0.17072937811621,,16.4,1.08355691032176,10.49,10.2,53.8,0.842,0.94,18.46,20.281,16.4422092437744,,,37681743.0,Latin America and Caribbean
108,Argentina,2003,,4.5,8.95402,0.595562,,140444.139675,1.4,21006685.0,0.604261349983462,,19.026,7.802,7.7898824786,74.107,0.169379455775768,,15.8,1.07200471174976,10.314,9.7,50.9,0.854,0.902,17.13,21.774,14.3547201156616,,,38087866.0,Latin America and Caribbean
109,Argentina,2004,,4.0,8.35656,0.782324,,165947.750429,1.5,21752144.0,0.587046947237889,,18.879,7.788,6.0739941344,74.28,0.1577696714638,,15.3,1.05538943935448,10.14,8.7,48.4,0.88,0.915,16.26,23.17,15.1393003463745,,,38491970.0,Latin America and Caribbean
110,Argentina,2005,,3.7,7.93875,1.07785,,200622.205937,1.3,23961040.0,0.582149415496304,,18.735,7.775,5.6514136093,74.451,0.150518521819536,,14.8,1.03626836534216,9.96899999999999,8.6,47.7,0.88,0.915,16.02,23.518,15.8031702041626,,,38892924.0,Latin America and Caribbean
111,Argentina,2006,,3.4,6.93557,1.306762,,234391.234167,1.1,23964600.0,0.600027971397396,,18.596,7.762,5.3728853713,74.62,0.145880561018034,,14.4,1.01545457815013,9.8,8.6,46.3,0.88,0.912,15.1,23.755,15.5098400115967,,,39289876.0,Latin America and Caribbean
112,Argentina,2007,,3.3,7.45235,1.337822,,289755.142707,1.15,32156766.0,0.599266139805318,,18.469,7.749,5.3900404903,74.787,0.142463437896611,,14.0,0.998884153148277,9.634,8.3,46.2,0.878,0.913,14.4,24.322,15.1015701293945,,,39684303.0,Latin America and Caribbean
113,Argentina,2008,,3.3,7.31896,1.396887,,365644.37665,1.2,38083320.0,0.598464998802511,,18.355,7.735,5.9156451949,74.952,0.133923813824042,,13.7,0.992570475708135,9.47,8.7,44.9,0.873,0.912,14.66,24.121,15.7478399276733,,,40080159.0,Latin America and Caribbean
114,Argentina,2009,,3.3,5.27362,1.957345,,336359.389616,1.2,26742136.0,0.57241951756347,,18.252,7.722,6.5262306799,75.116,0.138703629005199,,13.3,0.999542288700286,9.309,8.4,43.7,0.873,0.906,16.42,23.27,16.0206699371338,,,40482786.0,Latin America and Caribbean
115,Argentina,2010,,3.4,7.13217,1.431524,,426487.434874,1.3,40122899.0,0.572606178000288,,18.154,7.708,5.8294564636,75.278,0.125610915637969,,12.9,1.0763007843820729,9.151,8.6,43.6,0.873,0.901,16.69,23.34,15.0479698181152,,,40895751.0,Latin America and Caribbean
116,Argentina,2011,,3.3,6.99873,1.52893,,530158.176682,0.6,50015364.0,0.56232376862007,,18.055,7.694,6.0768872165,75.439,0.119321261920035,,12.4,1.15305928006386,9.01000000000001,8.5,42.6,0.875,0.901,16.28,23.944,15.1585597991943,,,41320497.0,Latin America and Caribbean
117,Argentina,2012,,3.1,5.78174,1.73694,,581430.904393,0.6,49334647.0,0.555884445713955,,17.949,7.68,6.341726925,75.598,0.114201724251702,,11.9,1.13690569378967,8.879,9.1,41.3,0.881,0.898,16.66,24.046,14.5182600021362,,,41755188.0,Latin America and Caribbean
118,Argentina,2013,,2.8,6.05292,1.632248,,613316.027357,0.55,51394670.0,0.558069023075481,,17.831,7.665,7.2803050637,75.756,0.108466163908373,,11.3,1.11910919999772,8.751,8.6,40.9,0.882,0.903,16.54,23.947,14.4579296112061,,,42196034.0,Latin America and Caribbean
119,Argentina,2014,,2.5,6.7127,1.383496,,567050.145343,0.5,49528136.0,0.555809596519585,,17.698,7.651,7.5707989313,75.913,0.102548973963198,,10.8,1.09946109101836,8.623,9.3,41.6,0.882,0.912,16.29,24.699,13.7993297576904,,,42637508.0,Latin America and Caribbean
120,Argentina,2015,,2.5,5.15669,1.729312,,644903.200499,0.3666666666666667,60356793.0,0.544646302455908,,17.548,7.638,6.5861232774,76.068,0.0994964441798539,,10.2,1.07800134449604,8.497,8.3,41.8,0.868,0.891,16.5,24.668,13.9633102416992,,,43075416.0,Latin America and Caribbean
121,Argentina,2016,,2.6,6.26457,1.406299,,557532.317366,0.2333333333333333,53899226.0,0.535384498219827,,17.383,7.626,6.0333095226,76.221,0.0955825870424317,,9.7,1.05718157762752,8.373,8.3,42.0,0.859,0.854,13.47,24.763,13.3555402755737,,,43508459.0,Latin America and Caribbean
122,Argentina,2017,,3.1,5.47838,1.760318,,643628.396191,0.1,51212530.0,0.524093161602479,,17.205,7.616,5.2097151606,76.372,0.0919574330196077,,9.2,1.03713389686514,8.251,8.9,41.1,0.851,0.836,16.05,24.845,13.2639198303223,,,43937143.0,Latin America and Caribbean
123,Argentina,2018,,3.5,6.09713,1.709182,,517626.853947,0.1,41876065.0,0.51188021925017,,17.021,7.609,5.3244787387,76.52,0.0919574330196077,,8.6,1.01580834908002,8.13,9.2,41.3,0.86,0.852,15.03,24.845,13.2639198303223,,,44361150.0,Latin America and Caribbean
124,Argentina,2019,,3.9,7.20078,1.529369,,445445.254556,0.1,38179048.0,0.51188021925017,,16.833,7.604,5.3244787387,76.667,0.0919574330196077,,8.1,0.993397493293046,8.009,8.4,42.9,0.825,0.852,15.47,24.845,13.2639198303223,,,44780675.0,Latin America and Caribbean
