Country,Year,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population,Region
Algeria,2000,9.79393,,,54666.896857,4120974.0,3.43711227611048,19.554,4.961,,70.64,0.403372854462751,33.9,1.35841747006607,40.081,0.555,0.672,8.79,23.879,,,,31042238.0,Middle East and North Africa
Algeria,2001,9.79393,,,55056.733057,4364914.0,3.35135915073133,19.257,4.882,,71.116,0.377529846477244,33.3,1.30982968660351,39.288,0.555,0.672,9.36,24.2,,,,31451513.0,Middle East and North Africa
Algeria,2002,9.31027,,,56819.210891,5534594.0,3.40820447768811,19.27,4.814,,71.605,0.356788306478692,32.4,1.27507186121623,38.499,0.555,0.672,8.19,24.458,,,,31855110.0,Middle East and North Africa
Algeria,2003,9.81055,,,67863.851626,7353352.0,3.23439256284591,19.557,4.757,,72.101,0.35125916504191,31.3,1.27591769425927,37.716,0.555,0.672,8.58,24.024,,,,32264159.0,Middle East and North Africa
Algeria,2004,9.44047,,,85332.517817,8959512.0,3.25680790630061,20.077,4.71,,72.594,0.330894978441868,30.1,1.31780940348245,36.939,0.555,0.672,8.22,26.052,,,,32692153.0,Middle East and North Africa
Algeria,2005,7.69131,,,103198.216067,8930083.0,3.19474035573985,20.774,4.674,,73.072,0.32148186808983,28.8,1.38991904537154,36.17,0.583,0.679,8.27,27.097,,,,33149720.0,Middle East and North Africa
Algeria,2006,7.54308,,,117027.277939,9907469.0,3.275743988642,21.582,4.651,,73.521,0.31968259868147,27.6,1.4711499117686,35.407,0.583,0.679,7.96,28.145,,,,33641007.0,Middle East and North Africa
Algeria,2007,7.57063,,,134977.088396,10372372.0,3.2110435285792,22.424,4.639,,73.936,0.323148386952017,26.4,1.55137942695249,34.652,0.583,0.683,8.02,29.471,,,,34166976.0,Middle East and North Africa
Algeria,2008,6.58668,,,171000.692135,12074853.0,3.15089018779777,23.226,4.637,,74.311,0.329832802149616,25.3,1.6361694381198,33.903,0.583,0.684,7.97,30.616,,,,34730604.0,Middle East and North Africa
Algeria,2009,9.34337,,,137211.008421,15629814.0,3.09407229630436,23.932,4.643,,74.644,0.338927707965948,24.4,1.7221075716178,33.174,0.583,0.676,8.92,33.577,,,,35333882.0,Middle East and North Africa
