Country,Year,Region,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
Bermuda,2000,North America,0.69232,,,3480.218951,,,13.5,8.0,0.0,77.8853658536585,,,0.890208773614165,0.0,,,,,,,,65016.0
Bermuda,2001,North America,0.69232,,,3680.483,,,13.3,7.2,4.663961569,77.8853658536585,,,1.07933521651731,0.0,,,,,,,,65330.0
Bermuda,2002,North America,0.795468,,,3937.228,,,13.2,6.7,1.5477480266,78.0878048780488,,,0.650636983025823,0.0,,,,,,,,65652.0
Bermuda,2003,North America,0.821851,,,4186.525,,,13.2,7.2,3.0830892554,78.3341463414634,,,0.65432713630377,0.0,,,,,,,,65936.0
Bermuda,2004,North America,0.844157,,,4484.702566,,,13.2,6.8,1.5369246138,78.4853658536585,,,0.653211310145151,0.0,,,,,,,,66156.0
Bermuda,2005,North America,0.801643,,,4868.135685,,,13.1,7.1,3.0707815139,78.6853658536586,,,0.647413398667903,0.0,,,,,,,,66260.0
Bermuda,2006,North America,0.864155,,,5368.123,,,12.5,7.1,4.6109155741,78.8878048780488,,,0.573530641034438,0.0,,,,,,,,66240.0
Bermuda,2007,North America,0.606224,,,6085.08898,,,13.4,7.0,4.6230660174,78.9341463414634,,,0.564095738183002,0.0,,,,,,,,66126.0
Bermuda,2008,North America,0.487988,,,6578.290955,,,12.8,6.8,7.7369439072,79.2365853658537,,,0.591576774606153,0.0,,,,,,,,65940.0
Bermuda,2009,North America,0.356998,,,6524.29266,,,12.5,7.2,9.3308243783,79.3884390243903,,,0.554585139879867,0.0,,,,,,,,65675.0
Bermuda,2010,North America,0.286097,,,6634.524,,,12.0,7.4,10.945024704,79.2885365853658,,,-0.783118104363585,0.0,,,,,,,,65388.0
Bermuda,2011,North America,0.31285,,,6312.69,,,10.6,6.8,12.582375238,81.1526829268293,,,-0.863616495823495,0.0,,,,,,,,65075.0
Bermuda,2012,North America,0.28132,,,6378.189,,,10.4,6.8,9.4968264772,81.6778048780488,,,0.361775877335588,0.0,,,,,,,,64736.0
Bermuda,2013,North America,0.32828,,,6465.756,,,10.5,7.6,7.9654617578,80.5724390243902,,,0.312791570829084,0.0,,,,,,,,64381.0
Bermuda,2014,North America,0.211033,,,6413.987,,,9.3,7.8,6.4121060562,80.7973170731707,,,0.210544188304464,0.0,,,,,,,,64038.0
Bermuda,2015,North America,0.2278,,,6654.543,,,9.4,7.7,6.4513007435,81.0121951219512,,,0.151869636092964,0.0,,,,,,,,63695.0
Bermuda,2016,North America,0.306914,,,6899.912,,,9.3,7.7,12.960124936,81.2270731707317,,,0.1252437540913778,0.0,,,,,,,,63360.0
Bermuda,2017,North America,0.274614,,,7142.316,,,9.0,7.5,8.1428850908,81.4419512195122,,,0.0986178720897916,0.0,,,,,,,,63040.0
