,Country,Year,Gender Equality,% Undernourishment,AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,%EmploymentAgriFishForest,TotalAgri,Gender Inequality,% Soldiers,Marriage Rate,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Literacy Rate,Infant Mortality,% Population Growth,% Rural Population,Suicide Rate,Gini,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,Women Schooling Years,Men Schooling Years,% Education Expenditure,% Men Employment,% Women Employment,Population
179,Spain,1990,,,,,,536527.782598,11.9,,,1.68614019685142,5.7,10.3,8.6,1.2345072281,76.8375609756098,,,7.4,0.101828842607043,24.649,,32.0,0.978,0.962,,,,,10.1169500350952,58.15,24.75,39202524.0
396,Spain,1991,,,,,,577146.587565,10.9,31925046.0,,1.56230798615643,5.6,10.2,8.7,1.118346531,76.9712195121951,,96.4949722290039,7.1,0.254527424551043,24.472,,,0.978,0.962,,33.262,,,10.0068597793579,57.48,25.03,39299081.0
613,Spain,1992,,,,,3727.392,630905.064556,9.8,30390528.0,,1.24599942935743,5.6,10.1,8.5,1.1183978972,77.41,,,6.7,0.48975790543999,24.39,,,0.978,0.962,,33.162,,,9.70611000061035,57.24,25.87,39410852.0
830,Spain,1993,,,,,3596.249,525109.612617,9.8,25086968.0,,1.26539392022882,5.1,9.8,8.6,1.1984606378,77.5465853658537,,,6.3,0.518543520866421,24.308,,,0.978,0.962,,31.036,,,10.021900177002,53.56,25.03,39533726.0
1047,Spain,1994,,,,,3561.345,530560.312418,9.5,26580385.0,,1.29617714761796,5.1,9.4,8.6,1.0816922478,77.9014634146342,,,5.9,0.476100555169168,24.226,,,0.978,0.962,,30.264,,,10.2413597106934,52.2,24.86,39660079.0
1264,Spain,1995,,,,,3528.645,614612.315184,9.0,27694580.0,0.157,1.70151838763731,5.1,9.1,8.7,1.0329900062,77.9807317073171,,,5.6,0.441365749537872,24.144,,36.7,0.978,0.962,,30.206,,,10.6316299438477,52.73,25.57,39787413.0
1481,Spain,1996,,,,,3519.995,642629.976792,8.4,34298174.0,,1.67740550823604,4.9,9.1,8.8,0.9947640332,78.1204878048781,,,5.2,0.416515798212804,24.062,,,0.981,0.962,,29.472,,,10.7087497711182,52.97,26.3,39908962.0
1698,Spain,1997,,,,,3653.638,590101.662198,8.0,31352677.0,,1.59265646939098,5.0,9.2,8.7,1.1564798113,78.6041463414634,,,4.9,0.41911951720212,23.981,,,0.981,0.962,,29.914,,,,54.03,27.42,40035286.0
1915,Spain,1998,,,,,3761.787,619225.850406,7.7,30137459.0,,1.54713525286865,5.2,9.1,9.0,1.2984570425,78.6658536585366,,,4.7,0.413847481113965,23.9,,,0.981,0.962,,30.517,,,10.4872303009033,55.8,28.2,40201561.0
2132,Spain,1999,,,,,3915.211,634674.716299,7.2,27579190.0,,1.47678839012103,5.2,9.4,9.2,1.2013504959,78.7170731707317,,,4.5,0.405323025522848,23.819,,,0.981,0.962,,30.682,,,10.693920135498,57.94,30.2,40454472.0
2349,Spain,2000,,,,1.161677,4041.482,596877.190531,6.7,27290219.0,0.119,1.32296909061632,5.4,9.8,8.9,1.3545706164,78.9658536585366,0.0061165998479467,,4.4,0.447137014535835,23.738,8.6,34.3,0.981,0.962,12.58,30.831,,,10.6626300811768,59.36,32.43,40824745.0
2566,Spain,2001,,2.5,3.67764,1.09558,4168.829,627281.18764,6.6,27722464.0,,1.17889964022421,5.1,9.9,8.8,1.3964374292,79.3682926829268,0.0062132146405263,,4.3,0.694068084334464,23.657,8.0,,0.981,0.962,12.69,31.46,,,10.712610244751,60.54,33.61,41319431.0
2783,Spain,2002,,2.5,3.48902,1.176275,4314.321,705426.402795,6.0,28062768.0,,1.3177953095615,5.1,10.1,8.8,1.3454329101,79.5682926829268,0.0062828023054309,,4.2,1.41259540475782,23.467,8.3,,0.981,0.962,12.68,31.042,,,10.7089996337891,60.84,35.37,41919593.0
3000,Spain,2003,,2.5,3.43116,1.16031,4429.076,905457.182332,5.7,38290384.0,,1.12910151797114,5.0,10.4,9.1,1.378048948,79.619512195122,0.0067364910229489,,4.1,1.80845446818345,23.222,8.5,31.8,0.981,0.962,14.02,30.719,,,10.8875503540039,61.26,36.78,42596455.0
3217,Spain,2004,,2.5,3.12833,1.198201,4563.151,1067139.744091,5.5,39268620.0,,1.07252967287406,5.0,10.6,8.6,1.2006923839,79.8707317073171,0.0066418945727363,97.1651229858398,3.9,1.7254663034483,22.978,8.5,33.3,0.981,0.962,14.07,30.207,8.4,9.0,10.7242603302002,61.59,38.24,43308345.0
3434,Spain,2005,,2.5,2.76905,1.23981,4695.876,1153256.976571,5.3,37528224.0,0.117,1.03359173126615,4.7,10.6,8.8,1.1767614244,80.1707317073171,0.006707672969961,97.7506866455078,3.8,1.68934904712031,22.737,8.0,32.4,0.981,0.962,14.38,29.57,8.6,9.3,10.7791204452515,63.25,40.92,44019118.0
3651,Spain,2006,,2.5,2.41168,1.220853,4741.825,1259279.36197,4.8,39534729.0,,1.01352225875214,4.5,10.8,8.3,1.0641969904,80.8219512195122,0.0067381663944954,97.7521362304688,3.7,1.69035255626114,22.498,7.5,33.5,0.984,0.962,14.69,29.403,8.8,9.4,10.8859100341797,64.03,42.47,44728561.0
