AgriShareGDP,CreditToAgriFishForest,EmploymentRural,GDP,TotalAgri,% Soldiers,Birth Rate,Death Rate,Homicides,Life Expectancy,Maternal Death Risk,Infant Mortality,% Population Growth,% Rural Population,Civil Liberties,Freedom of Expression,% Healthcare Investment,% Employment Industry,% Education Expenditure,% Men Employment,% Women Employment,Population
54.063,,,3342.034168,,7.88796097983463,48.021,11.718,,55.841,11.2156379912129,90.5,2.97505722281038,77.922,0.4,0.625,1.21,11.014,,,,20779957.0
54.063,,,3598.470576,,5.020511240390225,47.505,11.387,,56.308,10.6049681394364,87.9,3.90280496415438,77.831,0.4,0.625,1.21,12.037,,,,21606992.0
45.1344,,,4141.523943,,2.15306150094582,46.901,11.048,,56.784,9.73650912005909,85.3,4.4967187466326,77.739,0.4,0.625,1.21,10.048,,,,22600774.0
41.9034,,,4729.042179,,2.20829036368334,46.231,10.704,,57.271,8.97836614020107,82.7,4.66834379545461,77.647,0.403,0.687,5.46,10.227,,,,23680871.0
35.6128,,,5388.482107,,0.435599375060097,45.507,10.356,,57.772,8.31549443527835,80.0,4.32155951673842,77.5,0.403,0.677,3.6,11.414,,,,24726689.0
35.1476,,,6220.574147,,0.416444370204238,44.723,10.003,,58.29,7.81041080451062,77.3,3.68269988149014,77.297,0.403,0.677,3.37,11.184,,,,25654274.0
34.3934,,,7104.711445,,0.767568167954751,43.87,9.645,,58.826,7.58144008868269,74.6,2.9905238360968,77.093,0.397,0.707,2.72,11.535,,,,26433058.0
35.266,,,9412.161765,,0.753282650704164,42.944,9.287,,59.375,7.26897290852062,71.9,2.49383039084495,76.887,0.397,0.708,2.61,11.182,,,,27100542.0
30.9046,,,10236.901594,,1.3647280801078,41.949,8.932,,59.93,6.82759665545794,69.2,2.26827304079294,76.68,0.407,0.735,3.0,11.393,,,,27722281.0
32.7856,,,11595.133469,,3.63882306707489,40.903,8.584,,60.484,6.44358057382544,66.7,2.39697830237036,76.472,0.404,0.74,2.51,9.455,,,,28394806.0
30.9138,,,14698.889678,,4.25262122534817,39.829,8.25,,61.028,6.03931129230311,64.2,2.74661463795293,76.263,0.404,0.745,2.26,9.409,,,,29185511.0
29.8295,,,17350.694945,,4.52434071376244,38.75,7.936,,61.553,5.5208063944762,61.8,3.14310555651301,76.052,0.406,0.745,2.19,9.885,,,,30117411.0
28.5562,,,19136.499341,,4.2852910158047,37.69,7.645,,62.054,5.02302719536136,59.5,3.40760003260595,75.84,0.405,0.747,1.37,9.244,,,,31161378.0
27.8781,,,19621.802455,,3.97997266680196,36.67,7.38,,62.525,4.53815117369347,57.3,3.49459192739625,75.627,0.378,0.743,1.78,9.283,,,,32269592.0
27.4791,,,19550.702567,,3.53247387908301,35.706,7.141,,62.966,4.21670381435676,55.2,3.35560233082199,75.413,0.384,0.724,1.86,9.699,,,,33370803.0
25.5322,,,18713.04841,,3.48093674906882,34.809,6.929,,63.377,3.6091255501105,53.2,3.07705362914441,75.197,0.392,0.712,2.01,9.94,,,,34413603.0
26.4075,,,18019.558182,,3.37609123264645,33.981,6.742,,63.763,3.3309138614947,51.3,2.77803478841236,74.98,0.3755,0.66,2.14,9.96,,,,35383028.0
25.5747,,,18896.352021,,3.24666839554272,33.211,6.575,,64.13,3.06359325193536,49.5,2.54783303994568,74.75,0.359,0.72,2.32,9.958,,,,36296111.0
22.4409,,,18418.8483,,2.6445968966639,32.487,6.423,,64.486,3.06359325193536,47.9,2.38430907940751,74.505,0.383,0.72,1.9,9.958,,,,37171922.0
25.5185,,,18904.490263,,2.6445968966639,31.802,6.285,,64.833,3.06359325193536,46.4,2.31307334941778,74.246,0.38,0.692,3.87,9.958,,,,38041757.0
27.0135,,,19793.262413,,2.6445968966639,31.153,6.157,,65.173,3.06359325193536,45.0,2.30381209309418,73.974,0.419,0.734,3.87,9.958,,,,38928341.0
22.7162,,,3487.586302,889117.0,5.02338291722358,16.436,5.914,4.1863119742,73.955,0.0504721636685486,24.1,-0.637356833943492,58.259,0.818,0.794,8.17,15.094,,,,3129246.0
22.7162,,,3926.887597,914923.0,3.06870024254097,15.59,5.879,7.0294254946,74.288,0.0469270539566516,22.9,-0.93847042771206,57.565,0.841,0.784,8.42,15.364,,,,3129701.0
22.0252,,,4355.865889,975105.0,2.05620444460014,14.79,5.891,6.9093843834,74.579,0.0421383683562508,21.7,-0.299876697084691,56.499,0.854,0.791,8.21,16.02,,,,3126183.0
21.9782,,,5561.459461,1201158.0,1.69192765932575,14.048,5.952,5.3238965663,74.828,0.0390587272203283,20.4,-0.374149169291299,55.427,0.857,0.791,9.0,16.704,,,,3118017.0
20.5375,,,7177.030365,1464842.0,1.67121132506071,13.381,6.061,4.2191470044,75.039,0.031703903431196,19.1,-0.417931377925999,54.349,0.867,0.791,9.35,17.134,,,,3104893.0
18.8453,,,8052.079314,1426053.0,1.76910575242426,12.821,6.206,4.9889691947,75.228,0.0371727751560624,17.8,-0.511790116421897,53.269,0.867,0.8,9.23,17.768,,,,3086810.0
17.7084,,,8896.076004,1501212.0,0.912552114660983,12.398,6.365,3.1015131793,75.423,0.0299066005110282,16.6,-0.630911244851673,52.185,0.867,0.794,8.77,18.124,,,,3063021.0
17.1536,,,10677.32222,1699586.0,1.16240291931481,12.118,6.518,3.4607858357,75.646,0.0302705908100668,15.3,-0.75571875541991,51.098,0.867,0.804,8.31,18.41,,,,3033993.0
16.8371,,,12881.352058,1891672.0,1.17481012637716,11.973,6.65,3.0972300439,75.912,0.0310654794952662,14.1,-0.767342959142321,50.009,0.867,0.804,7.16,19.673,,,,3002683.0
16.7944,,,12044.21039,1841674.0,1.20227882594965,11.945,6.756,2.8590226044,76.221,0.0322345113131938,12.9,-0.673894046451936,48.924,0.88,0.804,7.15,19.943,,,,2973044.0
17.9559,,,11926.948284,1903675.0,1.20278488137335,12.001,6.841,4.3079630492,76.562,0.0338759658737667,11.8,-0.49646196338738,47.837,0.884,0.814,8.09,19.927,,,,2948029.0
18.2268,,,12890.873323,2178454.0,1.07521943588521,12.1,6.915,4.8487315274,76.914,0.0361237760359253,10.8,-0.269017331764615,46.753,0.891,0.814,8.18,18.92,,,,2928601.0
18.7668,,,12319.779604,2199647.0,1.12249673714931,12.197,6.996,5.3876148686,77.252,0.0287993795350163,10.0,-0.165151040121679,45.67,0.891,0.814,8.7,17.344,,,,2914091.0
19.5652,,,12776.280738,2604243.0,0.689650136429024,12.257,7.096,4.2702841943,77.554,0.0276343008936864,9.3,-0.183211384606402,44.613,0.914,0.723,8.83,18.087,,,,2903788.0
