Country,1st_component,2nd_component,Cluster
Argentina,-140.56103515625,-637.4064331054688,11
Barbados,-157.02285766601562,-374.6519775390625,1
Azerbaijan,-226.81356811523438,426.7963562011719,2
Comoros,150.63116455078125,-915.8360595703125,3
Greenland,115.29862213134766,-900.6725463867188,3
Burkina Faso,206.64013671875,-886.841796875,3
Sierra Leone,342.2102355957031,-769.3278198242188,3
Iceland,161.022705078125,-977.9127807617188,3
South Africa,-66.33025360107422,244.3184051513672,2
Samoa,7.129742622375488,161.1934814453125,2
Tuvalu,-37.800697326660156,208.3306121826172,2
New Zealand,133.21348571777344,-370.9105224609375,1
United Kingdom,119.94722747802734,-324.341552734375,1
Belarus,-603.5691528320312,706.1429443359375,8
Oman,-953.0014038085938,44.58869552612305,6
Spain,-460.1626281738281,1164.5916748046875,4
Bhutan,-681.456787109375,-180.11807250976562,6
Libya,-722.3428344726562,-177.7872772216797,6
Colombia,1223.51806640625,-5.27867317199707,5
Djibouti,1169.21337890625,-18.811607360839844,5
Central African Republic,1145.609619140625,48.81367492675781,5
Slovakia,1153.918212890625,107.5359878540039,5
Madagascar,1135.4130859375,6.76240348815918,5
Dominican Republic,968.5138549804688,-505.446044921875,10
Lebanon,677.9804077148438,149.18814086914062,7
Lesotho,715.7965698242188,159.89405822753906,7
Guatemala,-187.7882080078125,1213.0887451171875,4
Papua New Guinea,1083.6988525390625,-473.3144836425781,10
Pakistan,1116.6722412109375,-456.0227966308594,10
Canada,504.8432312011719,900.0004272460938,7
Eswatini,411.9800720214844,-1216.5543212890625,9
Sweden,-225.76734924316406,269.361083984375,2
Bermuda,421.46856689453125,732.8629760742188,7
Finland,394.3312683105469,760.431640625,7
Puerto Rico,432.42864990234375,661.7847290039062,7
Kazakhstan,-197.83616638183594,345.7612609863281,2
Equatorial Guinea,-124.78681182861328,319.79241943359375,2
Slovenia,-196.97891235351562,303.8910827636719,2
Dominica,389.6492614746094,-1433.7906494140625,9
Chad,383.21051025390625,-799.5673217773438,3
Brazil,429.37054443359375,-865.388427734375,3
Yemen,460.84088134765625,-888.7305908203125,3
Indonesia,-764.3283081054688,-662.421875,11
Turkmenistan,492.1681213378906,24.825294494628906,7
Morocco,-1203.1954345703125,-164.57847595214844,0
Niger,-1153.5301513671875,-171.7356719970703,0
Gambia,-1205.36767578125,-116.70378875732422,0
Jamaica,-1058.5386962890625,-474.2117614746094,0
Japan,-1026.130859375,-458.0786437988281,0
Seychelles,361.8885498046875,-1382.2938232421875,9
Algeria,-504.3992919921875,754.0797119140625,8
United Arab Emirates,-803.7784423828125,-600.8817749023438,11
Kuwait,-1230.0736083984375,-237.16290283203125,0
Croatia,-674.5838012695312,752.2737426757812,8
Saint Lucia,77.37664031982422,-109.60258483886719,1
Germany,902.1945190429688,-482.8680419921875,10
Sri Lanka,-528.40185546875,389.9478759765625,8
Ireland,847.149658203125,-418.1388244628906,10
El Salvador,-507.14373779296875,427.80963134765625,8
Montenegro,-525.3351440429688,463.8258361816406,8
Liberia,660.651123046875,32.470733642578125,7
Rwanda,614.2301025390625,7.748248100280762,7
United States,495.23797607421875,856.2449951171875,7
Russia,-286.08685302734375,527.883056640625,8
Estonia,-557.8583984375,600.9708251953125,8
Portugal,187.46128845214844,1104.687255859375,4
Bosnia and Herzegovina,104.29716491699219,1105.57373046875,4
Ghana,-245.07635498046875,-677.5009155273438,11
Aruba,-201.71121215820312,-371.8901062011719,1
Cambodia,-207.66995239257812,-671.9412841796875,11
Jordan,309.2808532714844,-738.5161743164062,3
Egypt,-176.40744018554688,-854.2061767578125,11
Benin,-221.26194763183594,-886.0753784179688,11
Iraq,-269.81329345703125,-956.709228515625,11
Saudi Arabia,-250.03353881835938,-912.8164672851562,11
Serbia,30.08160972595215,1113.65869140625,4
Botswana,-772.439453125,-291.27392578125,6
Bulgaria,86.02975463867188,1145.5792236328125,4
Mongolia,-247.89768981933594,493.4681396484375,2
Guinea,206.63587951660156,-680.7468872070312,3
Vanuatu,241.77099609375,-698.15869140625,3
France,-775.684814453125,-334.2164001464844,6
Austria,-166.81036376953125,-33.19997024536133,2
Australia,543.9075927734375,884.2339477539062,7
Honduras,265.6343078613281,-410.35748291015625,1
Afghanistan,316.04669189453125,-440.6956787109375,1
Czechia,301.2720031738281,-392.31890869140625,1
Fiji,300.64593505859375,-1398.28759765625,9
French Polynesia,312.0028381347656,-1433.2801513671875,9
Luxembourg,49.57740020751953,-442.06817626953125,1
Guinea-Bissau,541.50537109375,-58.663055419921875,7
Senegal,557.4826049804688,-13.409099578857422,7
Latvia,-603.9624633789062,757.0482788085938,8
Uganda,-407.63043212890625,-794.9769897460938,11
Panama,-475.46856689453125,-510.2652587890625,11
Hungary,149.93405151367188,1165.9552001953125,4
Sudan,149.93405151367188,1165.9552001953125,4
Singapore,-630.88916015625,-321.8363037109375,6
Solomon Islands,-600.7536010742188,-228.63467407226562,6
Peru,-661.3955688476562,-231.79173278808594,6
Costa Rica,-480.61517333984375,-433.7843933105469,11
Suriname,-243.3147430419922,-251.20372009277344,1
Cyprus,-251.8896026611328,-215.85531616210938,1
India,-369.2055969238281,-673.3978881835938,11
Bahrain,-411.4045104980469,-732.0122680664062,11
Somalia,-411.4045104980469,-732.0122680664062,11
Tunisia,-452.2825622558594,792.3427734375,8
Kyrgyzstan,-419.29766845703125,812.1160278320312,8
Myanmar,-569.0093383789062,-163.5881805419922,6
Ecuador,-665.6139526367188,-104.96119689941406,6
Thailand,-507.0321350097656,-590.2619018554688,11
Georgia,-611.4291381835938,804.5297241210938,8
Mauritania,-855.0106811523438,78.76358032226562,6
San Marino,-889.8932495117188,97.06199645996094,6
Albania,-697.0936279296875,839.73193359375,8
Namibia,996.9166870117188,32.39550018310547,5
Malta,922.5581665039062,-102.84791564941406,5
Haiti,1024.477294921875,-78.66819763183594,5
Congo,1047.714111328125,-108.3831558227539,5
China,-490.1291198730469,-551.201171875,11
Armenia,-745.4334106445312,827.659423828125,8
Malawi,-892.3556518554688,43.62096405029297,6
Israel,895.638916015625,-436.8051452636719,10
Ethiopia,987.326416015625,-389.3485107421875,10
Uruguay,866.9075317382812,-506.5905456542969,10
Bangladesh,1062.492919921875,-386.49871826171875,10
Eritrea,1041.5758056640625,-354.5386962890625,10
Angola,697.7636108398438,17.375516891479492,7
Lithuania,-540.8809204101562,553.4849243164062,8
Tajikistan,-348.96136474609375,532.5534057617188,8
New Caledonia,-386.06878662109375,527.8616943359375,8
Mexico,16.97711181640625,575.2510375976562,2
Kiribati,77.30880737304688,570.96923828125,2
South Sudan,63.97129440307617,536.83447265625,2
Gabon,-1157.2510986328125,-229.59396362304688,0
Burundi,-754.1076049804688,-620.6910400390625,11
Nigeria,-1244.0142822265625,-146.2213134765625,0
Paraguay,-284.1767883300781,1219.7835693359375,4
Italy,-307.1490173339844,1160.22607421875,4
Norway,-421.5603942871094,1163.6376953125,4
Switzerland,-696.5851440429688,-0.45874956250190735,6
Cuba,-220.08457946777344,967.5590209960938,4
Philippines,-222.9735870361328,1005.1843872070312,4
Antigua and Barbuda,56.31889343261719,-51.08173370361328,2
Chile,-199.16799926757812,1062.6678466796875,4
Nepal,-275.7364196777344,-23.851547241210938,2
Liechtenstein,-209.6481170654297,-36.156986236572266,2
Greece,-177.8287353515625,-82.99568939208984,2
Mali,428.5725402832031,-646.4671630859375,3
Marshall Islands,462.068603515625,-660.4962158203125,3
Trinidad and Tobago,-112.7244644165039,-378.6637878417969,1
Uzbekistan,-266.91497802734375,381.78314208984375,2
Tonga,5.854975700378418,-463.1010437011719,1
Zambia,-20.995603561401367,-504.2356262207031,1
Nicaragua,215.31300354003906,-402.8187561035156,1
Sao Tome and Principe,-262.6351318359375,1175.6527099609375,4
Palau,-141.72528076171875,1073.3062744140625,4
Belize,-602.5715942382812,-118.03971862792969,6
Ukraine,-574.3619384765625,846.1861572265625,8
Belgium,869.403076171875,-128.0024871826172,5
Netherlands,-677.5508422851562,42.08580017089844,6
Cameroon,-620.3812866210938,50.71815872192383,6
Qatar,1035.3773193359375,20.502107620239258,5
Romania,-682.1771850585938,900.904052734375,8
Denmark,-697.80322265625,90.10411071777344,6
Mozambique,508.9214782714844,389.69287109375,7
Malaysia,485.3100280761719,491.2231750488281,7
Nauru,238.81910705566406,232.6933135986328,2
Zimbabwe,59.77964401245117,147.4294891357422,2
Grenada,377.60223388671875,-1332.687255859375,9
North Macedonia,190.40707397460938,227.5350341796875,2
Andorra,212.2974090576172,191.9515380859375,2
Togo,358.1726379394531,415.9638671875,7
Maldives,329.7680358886719,392.6717529296875,7
Cayman Islands,500.88641357421875,447.1705017089844,7
Mauritius,67.41944122314453,18.413293838500977,2
Guyana,70.65705871582031,55.91752624511719,2
Kenya,542.8187255859375,451.9976501464844,7
Poland,-797.0639038085938,821.2992553710938,8
