,Code,Year,Deaths,Fertility,GDP ,GenderInequality,LifeExpectancy,tertiary_education
0,AFG,2005,118653.0,6.9047,3451279104.0,0.748,58.4,3.61
1,AFG,2010,101658.0,6.0987,10313962496.0,0.753,60.9,3.65
2,ALB,2000,1449.0,2.231,2400530432.0,0.319,75.4,3.51
3,ALB,2005,815.0,1.8026,4487185408.0,0.306,76.6,2.35
4,ALB,2010,473.0,1.6564,7718873600.0,0.246,77.9,0.93
5,ARE,1990,775.0,4.5367,28553885696.0,0.659,71.9,
6,ARE,1995,634.0,3.2743,41659658240.0,0.627,72.7,8.66
7,ARE,2000,576.0,2.733,68959805440.0,0.605,74.4,9.7
8,ARE,2005,662.0,2.2042,99338993664.0,0.584,76.7,9.01
9,ARE,2010,784.0,1.7897,185125126144.0,,78.3,8.54
10,ARG,1990,20549.0,3.0342,79606398976.0,0.442,71.8,5.77
11,ARG,1995,17498.0,2.8638,163506454528.0,0.426,73.1,4.32
12,ARG,2000,14067.0,2.5906,187839070208.0,0.413,73.9,3.1
13,ARG,2005,11983.0,2.4259,121447137280.0,0.373,75.1,3.09
14,ARG,2010,10683.0,2.3462,,0.364,75.7,2.87
15,ARM,1990,3746.0,2.7128,1270999808.0,0.47,68.8,10.04
16,ARM,1995,2182.0,2.0551,930425728.0,0.469,69.3,10.47
17,ARM,2000,1238.0,1.6029,1263411712.0,0.453,70.6,10.08
18,ARM,2005,985.0,1.54,2695248384.0,0.386,71.8,11.51
19,ARM,2010,807.0,1.501,,0.346,73.2,
20,AUS,1990,,1.9017,175122694144.0,0.185,77.0,13.9
21,AUS,1995,1790.0,1.8312,233157640192.0,0.176,78.3,15.87
22,AUS,2000,1530.0,1.7701,274254610432.0,0.151,79.6,13.15
23,AUS,2005,1510.0,1.8441,381190144000.0,0.135,81.1,15.63
24,AUS,2010,1419.0,1.9501,,0.136,82.1,18.52
25,AUT,1990,840.0,1.4596,93522509824.0,0.202,75.7,2.97
26,AUT,1995,604.0,1.4354,152370298880.0,0.17,76.8,5.21
27,AUT,2000,449.0,,129821196288.0,0.149,78.2,7.06
28,AUT,2005,380.0,1.4073,173056311296.0,0.121,79.5,8.27
29,AUT,2010,338.0,1.4352,,0.111,80.5,9.37
30,BDI,2000,41890.0,6.8715,1150662400.0,0.616,47.5,0.24
31,BDI,2005,37617.0,6.7076,1228978432.0,0.562,53.0,0.34
32,BDI,2010,32252.0,6.2599,2623488256.0,0.54,57.1,0.54
33,BEL,1990,1194.0,1.6214,116257210368.0,0.18,76.1,12.98
34,BEL,1995,905.0,1.5632,183489724416.0,0.159,76.8,14.51
35,BEL,2000,663.0,1.664,157238738944.0,0.134,77.8,14.95
36,BEL,2005,584.0,1.7598,213050523648.0,0.103,79.1,15.82
37,BEL,2010,560.0,1.8577,,0.092,80.0,17.69
38,BGD,1990,521088.0,4.4794,17795459072.0,0.73,56.0,
39,BGD,1995,404817.0,3.6051,24041205760.0,0.708,59.5,1.97
40,BGD,2000,300051.0,3.2178,35273744384.0,0.689,65.8,1.98
41,BGD,2005,216274.0,2.8082,38193479680.0,0.644,67.3,2.11
42,BGD,2010,154269.0,2.3395,,0.607,68.6,2.28
43,BGR,1990,2005.0,1.8099,11672576000.0,0.368,71.4,8.11
44,BGR,1995,1588.0,1.2401,8277873152.0,0.342,71.0,9.25
45,BGR,2000,1162.0,1.2608,8689986560.0,0.322,71.6,9.79
